ticker,quarter_id,ds_pos_prob_mean,ds_net_sentiment
ABB,2022Q1,0.3964154261238485,0.13523746165546197
ABB,2022Q2,0.38236380587451746,0.08003058297209076
ABB,2022Q3,0.251683156164757,-0.18185426710318708
ABB,2022Q4,0.3483428057549951,-0.00010885792421089224
ABB,2023Q1,0.3065520817852701,0.01651363425264679
ABB,2023Q2,0.31264699801389434,0.08034859067481073
ABB,2023Q3,0.3312693992493308,0.0321610834851509
ABB,2023Q4,0.33233957497427574,0.11465171277603736
ABB,2024Q1,0.36876582772344296,0.08250575374392805
ABB,2024Q2,0.31608116727736696,0.07642928674539645
ABB,2024Q3,0.2957746742803034,0.026380271639313058
ABB,2024Q4,0.2936798368177517,-0.018349836525413
ABB,2025Q1,0.36097206816711563,0.14831090688180448
ABB,2025Q2,0.30603716594572,0.027107041634574447
ABB,2025Q3,0.35359335064078457,0.1387612424978232
ABB,2025Q4,0.3624206841364857,0.15679549863947248
ABB,2026Q1,0.39387844018161594,0.16594790015787228
ABB,2026Q2,0.38888912422409877,0.17565221871055522
ACB,2022Q1,0.21896645949902946,-0.17235598705534286
ACB,2022Q2,0.3061909793735017,-0.04687126215789161
ACB,2022Q3,0.2354682850694072,-0.10506471565852232
ACB,2022Q4,0.21434555859575785,-0.14342009501884748
ACB,2023Q1,0.253313128249177,-0.07301860556435208
ACB,2023Q2,0.24968959344364125,0.020125467375269795
ACB,2023Q3,0.2423053675284072,-0.10862790332428818
ACB,2023Q4,0.22240089078042044,-0.09578678428884554
ACB,2024Q1,0.25032151434719463,0.00833204101201196
ACB,2024Q2,0.26776501667464353,0.028695790818989375
ACB,2024Q3,0.29923280803056285,0.08008319912444722
ACB,2024Q4,0.24930342431065494,0.0034274558516405873
ACB,2025Q1,0.2381842874844072,-0.054501337556219415
ACB,2025Q2,0.2800145713703455,0.07895112712589542
ACB,2025Q3,0.23023613675336943,-0.0022094252686402915
ACB,2025Q4,0.2677407490295125,-0.0003865416884000772
ACB,2026Q1,0.24744552921058605,-0.003939816473581048
ACB,2026Q2,0.2641811058505103,-0.014015938798479621
ANV,2022Q1,0.31423071792880775,-0.18274757311850764
ANV,2022Q2,0.33868651226318236,-0.13142686986867602
ANV,2022Q3,0.363152141153458,-0.13182844439337954
ANV,2022Q4,0.5318345789586455,0.26969334016154095
ANV,2023Q1,0.4217317814434639,0.030349300048308936
ANV,2023Q2,0.41143834304151355,0.07930501440838517
ANV,2023Q3,0.4343774642938483,0.11225267339215361
ANV,2023Q4,0.34278246796125234,0.024404957297697538
ANV,2024Q1,0.372530615172138,-0.006101559295407177
ANV,2024Q2,0.45521314351265446,0.18627238633483872
ANV,2024Q3,0.3998345237421666,0.11197233688182079
ANV,2024Q4,0.40745842800741805,0.13615414157496153
ANV,2025Q1,0.30675360754738046,0.03316222005893915
ANV,2025Q2,0.43288668596578356,0.2081043292948679
ANV,2025Q3,0.38789449778396673,0.11418237765946265
ANV,2025Q4,0.3993184974543867,0.22191649931097565
ANV,2026Q1,0.3902740154529233,0.1282691675070362
ANV,2026Q2,0.3793953298679123,0.07885372945400215
BAB,2022Q1,0.2806703960606192,-0.050726781172510504
BAB,2022Q2,0.23033369803732978,-0.06068509010482526
BAB,2022Q3,0.22667596927055728,-0.019106183477604732
BAB,2022Q4,0.21691344166218884,0.003930362999266662
BAB,2023Q1,0.2128969609105059,0.014505459957155686
BAB,2023Q2,0.24068213702127228,0.01626179028213859
BAB,2023Q3,0.24519203300593814,-0.019897482598713018
BAB,2023Q4,0.223177325720225,0.031035869839955432
BAB,2024Q1,0.2130131386042028,0.02187872777855876
BAB,2024Q2,0.113820172672498,-0.05613240783824808
BAB,2024Q3,0.2549506413798259,-0.003092449399044739
BAB,2024Q4,0.1516437535445458,-0.05499794020415333
BAB,2025Q1,0.15957147573912966,0.018773025103749508
BAB,2025Q2,0.11672952053479059,0.0005671413448028878
BAB,2025Q3,0.1875546163936616,0.014688855207732887
BAB,2025Q4,0.22107104390009502,0.05572035773480158
BAB,2026Q1,0.21446299587919257,0.0523364995152269
BAB,2026Q2,0.22563472815118435,0.07527579794837555
BCM,2022Q1,0.38395722053501463,0.05137434597670204
BCM,2022Q2,0.3009548157700433,-0.01749501649625823
BCM,2022Q3,0.38490030160029604,0.10918604999506631
BCM,2022Q4,0.3839123162045513,0.16355395810721945
BCM,2023Q1,0.3443199999332806,0.13092316679098948
BCM,2023Q2,0.34256565911457587,0.1462430140141213
BCM,2023Q3,0.3468079913255699,0.09806528441830425
BCM,2023Q4,0.31633754490075067,0.017155900719957873
BCM,2024Q1,0.33140706582128276,0.08891213670747186
BCM,2024Q2,0.3008358052043586,-0.007429485174284489
BCM,2024Q3,0.26305562389255205,0.011653827033883013
BCM,2024Q4,0.2940772308720746,0.049263994981687986
BCM,2025Q1,0.2992945386135816,0.06425043908283554
BCM,2025Q2,0.30435641657753454,0.07291441536262375
BCM,2025Q3,0.308252801971155,0.08250517268961002
BCM,2025Q4,0.3076745035831121,0.08395815511641327
BCM,2026Q1,0.3071738559848698,0.08228532623451398
BCM,2026Q2,0.3309392097693738,0.0891675160830353
BID,2022Q1,0.3411299732799272,0.0015921228668994702
BID,2022Q2,0.283847777120659,-0.10565883359700495
BID,2022Q3,0.3051298897331467,-0.04817113118411992
BID,2022Q4,0.2834567778412617,-0.05894151068479331
BID,2023Q1,0.3196521491296428,-0.0323200246781441
BID,2023Q2,0.3195463212357643,0.02125076770740497
BID,2023Q3,0.3034432457273601,0.035391128698147534
BID,2023Q4,0.2799205330728455,0.006283413503917923
BID,2024Q1,0.2936564723116273,0.028887932001273875
BID,2024Q2,0.29773974559811217,0.004482239416482292
BID,2024Q3,0.31833408193724155,0.08140382271348912
BID,2024Q4,0.2655841614443213,-0.029525091058457076
BID,2025Q1,0.28497886321397403,-0.000730461416396766
BID,2025Q2,0.32733265251264726,0.08485307641731121
BID,2025Q3,0.27455221269369595,-0.03690690631773902
BID,2025Q4,0.2630301818456524,-0.005539956909220989
BID,2026Q1,0.2853706431513296,-0.0033382666386257975
BID,2026Q2,0.3049253436406042,0.023269745101766826
BMP,2022Q1,0.5043705119897117,0.2032025109183218
BMP,2022Q2,0.39225603073353804,0.034370376952101656
BMP,2022Q3,0.5804338707571094,0.39003636967902383
BMP,2022Q4,0.532040290642677,0.2938168417895288
BMP,2023Q1,0.4484931205080648,0.09710868775029835
BMP,2023Q2,0.40520326210135077,0.2179089761844699
BMP,2023Q3,0.3393874687436395,0.027151124752390343
BMP,2023Q4,0.5743176553655246,0.4766596423992535
BMP,2024Q1,0.3163102131590127,-0.13554354297092708
BMP,2024Q2,0.3996691595013159,0.17759604960601297
BMP,2024Q3,0.21737091227999436,-0.09575969310134916
BMP,2024Q4,0.3981994317258285,0.1863036072420435
BMP,2025Q1,0.44526125043550724,0.2982986786443048
BMP,2025Q2,0.4701792004570002,0.29625555160100786
