date,title,description,url,source,ticker,match_confidence,text_clean,text_tokenized
2025-07-14,"Bitcoin lập đỉnh mới, phá mốc 120.000 USD/BTC",,https://vietnambiz.vn/bitcoin-lap-dinh-moi-pha-moc-120000-usdbtc-2025714115651255.htm,vietnambiz,UNKNOWN,none,"bitcoin lập đỉnh mới, phá mốc 120.000 usd btc","bitcoin lập đỉnh mới , phá mốc 120.000 usd btc"
2025-07-14,"VIB: 17.7.2025, ngày GDKHQ thưởng cp (tỷ lệ 100:14)",Sở giao dịch chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng chốt danh sách cổ đông để thực hiện quyền nhận cổ phiếu thưởng từ nguồn vốn chủ sở hữu để tăng vốn điều lệ của Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,https://cafef.vn/du-lieu/VIB-2245548/vib-1772025-ngay-gdkhq-thuong-cp-ty-le-10014.chn,cafef,VIB,exact,"vib 17.7.2025, ngày gdkhq thưởng cp tỷ lệ 100 14 sở giao dịch chứng khoán tp.hcm thông báo về ngày đăng ký cuối cùng chốt danh sách cổ đông để thực hiện quyền nhận cổ phiếu thưởng từ nguồn vốn chủ sở hữu để tăng vốn điều lệ của ngân hàng thương mại cổ phần quốc tế việt nam","vib 17.7.2025 , ngày gdkhq thưởng_cp tỷ_lệ 100 14 sở giao_dịch chứng_khoán tp.hcm thông_báo về ngày đăng_ký cuối_cùng chốt danh_sách cổ_đông để thực_hiện quyền nhận cổ_phiếu thưởng từ nguồn vốn chủ_sở_hữu để tăng vốn_điều_lệ của ngân_hàng thương_mại cổ_phần quốc_tế việt_nam"
2025-07-14,"Hai nhân sự từ Tập đoàn Thành công được đề cử vào HĐQT, Ban Kiểm soát PGBank",,https://vietnambiz.vn/hai-nhan-su-tu-tap-doan-thanh-cong-duoc-de-cu-vao-hdqt-ban-kiem-soat-pgbank-2025713143749100.htm,vietnambiz,UNKNOWN,none,"hai nhân sự từ tập đoàn thành công được đề cử vào hđqt, ban kiểm soát pgbank","hai nhân_sự từ tập_đoàn thành_công được đề_cử vào hđqt , ban kiểm_soát pgbank"
2025-07-14,"VCB: Thông báo thay đổi địa chỉ Văn phòng đại diện, đơn vị sự nghiệp, Chi nhánh và Phòng giao dịch","Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam thông báo thay đổi địa chỉ VPĐD, đơn vị sự nghiệp, Chi nhánh và Phòng giao dịch",https://cafef.vn/du-lieu/VCB-2245571/vcb-thong-bao-thay-doi-dia-chi-van-phong-dai-dien-don-vi-su-nghiep-chi-nhanh-va-phong-giao-dich.chn,cafef,VCB,exact,"vcb thông báo thay đổi địa chỉ văn phòng đại diện, đơn vị sự nghiệp, chi nhánh và phòng giao dịch ngân hàng thương mại cổ phần ngoại thương việt nam thông báo thay đổi địa chỉ vpđd, đơn vị sự nghiệp, chi nhánh và phòng giao dịch","vcb thông_báo thay_đổi địa_chỉ văn_phòng đại_diện , đơn_vị sự_nghiệp , chi_nhánh và phòng giao_dịch ngân_hàng thương_mại cổ_phần ngoại_thương việt_nam thông_báo thay_đổi địa_chỉ vpđd , đơn_vị sự_nghiệp , chi_nhánh và phòng giao_dịch"
2025-07-14,Vicasa mở màn doanh nghiệp thép: Lợi nhuận quý II tăng gần 200%,,https://vietnambiz.vn/vicasa-mo-man-doanh-nghiep-thep-loi-nhuan-quy-ii-tang-gan-200-20257148284905.htm,vietnambiz,UNKNOWN,none,vicasa mở màn doanh nghiệp thép lợi nhuận quý ii tăng gần 200%,vicasa mở_màn thép lợi_nhuận quý ii tăng gần 200 %
2025-07-14,"Triển vọng ngân hàng nửa cuối năm: Lợi nhuận kỳ vọng cải thiện nhờ tín dụng và NIM, lãi suất tăng nhẹ",,https://vietnambiz.vn/trien-vong-ngan-hang-nua-cuoi-nam-loi-nhuan-ky-vong-cai-thien-nho-tin-dung-va-nim-lai-suat-tang-nhe-2025778430861.htm,vietnambiz,UNKNOWN,none,"triển vọng ngân hàng nửa cuối năm lợi nhuận kỳ vọng cải thiện nhờ tín dụng và nim, lãi suất tăng nhẹ","triển_vọng ngân_hàng nửa cuối năm lợi_nhuận kỳ_vọng cải_thiện nhờ tín_dụng và nim , lãi_suất tăng nhẹ"
2025-07-14,Nước Thủ Dầu Một lãi bán niên cao kỷ lục nhờ đâu?,,https://vietnambiz.vn/nuoc-thu-dau-mot-lai-ban-nien-cao-ky-luc-nho-dau-2025714111017161.htm,vietnambiz,UNKNOWN,none,nước thủ dầu một lãi bán niên cao kỷ lục nhờ đâu,nước thủ_dầu một lãi bán_niên cao_kỷ_lục nhờ đâu
2025-07-14,"Navico ước lãi kỷ lục quý II, sắp tiến vào thị trường Brazil",,https://vietnambiz.vn/navico-uoc-lai-ky-luc-quy-ii-sap-tien-vao-thi-truong-brazil-202571414574929.htm,vietnambiz,UNKNOWN,none,"navico ước lãi kỷ lục quý ii, sắp tiến vào thị trường brazil","navico ước_lãi kỷ_lục quý ii , sắp tiến vào thị_trường brazil"
2025-07-14,"TCB: Quyết định của HĐQT về việc thay đổi địa chỉ trụ sở chính, các Chi nhánh và các Phòng GD trực thuộc tại TP. Hà Nội","Ngân hàng Thương mại Cổ phần Kỹ Thương Việt Nam thông báo Quyết định của HĐQT về việc thay đổi địa chỉ trụ sở chính, các Chi nhánh và các Phòng GD trực thuộc tại TP. Hà Nội",https://cafef.vn/du-lieu/TCB-2245635/tcb-quyet-dinh-cua-hdqt-ve-viec-thay-doi-dia-chi-tru-so-chinh-cac-chi-nhanh-va-cac-phong-gd-truc-thuoc-tai-tp-ha-noi.chn,cafef,TCB,exact,"tcb quyết định của hđqt về việc thay đổi địa chỉ trụ sở chính, các chi nhánh và các phòng gd trực thuộc tại tp. hà nội ngân hàng thương mại cổ phần kỹ thương việt nam thông báo quyết định của hđqt về việc thay đổi địa chỉ trụ sở chính, các chi nhánh và các phòng gd trực thuộc tại tp. hà nội","tcb quyết_định của hđqt về việc thay_đổi địa_chỉ trụ_sở chính , các chi_nhánh và các phòng gd trực_thuộc tại tp . hà_nội ngân_hàng thương_mại cổ_phần kỹ_thương việt_nam thông_báo quyết_định của hđqt về việc thay_đổi địa_chỉ trụ_sở chính , các chi_nhánh và các phòng gd trực_thuộc tại tp . hà_nội"
2025-07-14,"Giao dịch chứng khoán sáng 14/7: Cổ phiếu VIC tăng trần, VN-Index tiếp tục chinh phục đỉnh mới",,https://www.tinnhanhchungkhoan.vn/giao-dich-chung-khoan-sang-147-co-phieu-vic-tang-tran-vn-index-tiep-tuc-chinh-phuc-dinh-moi-post373007.html,tnck,UNKNOWN,none,"giao dịch chứng khoán sáng 14 7 cổ phiếu vic tăng trần, vn index tiếp tục chinh phục đỉnh mới","giao_dịch chứng_khoán sáng 14 7 cổ_phiếu vic tăng trần , vn index tiếp_tục chinh_phục đỉnh mới"
2025-07-14,TPB: Nghị quyết HĐQT thông qua hợp đồng/giao dịch điều chỉnh nội dung khoản cấp tín dụng cho CTCP Phát triển Bất động sản Dragon,Ngân hàng Thương mại Cổ phần Tiên Phong thông báo Nghị quyết HĐQT về việc thông qua hợp đồng/giao dịch điều chỉnh nội dung khoản cấp tín dụng cho CTCP Phát triển Bất động sản Dragon,https://cafef.vn/du-lieu/TPB-2245544/tpb-nghi-quyet-hdqt-thong-qua-hop-donggiao-dich-dieu-chinh-noi-dung-khoan-cap-tin-dung-cho-ctcp-phat-trien-bat-dong-san-dragon.chn,cafef,TPB,exact,tpb nghị quyết hđqt thông qua hợp đồng giao dịch điều chỉnh nội dung khoản cấp tín dụng cho ctcp phát triển bất động sản dragon ngân hàng thương mại cổ phần tiên phong thông báo nghị quyết hđqt về việc thông qua hợp đồng giao dịch điều chỉnh nội dung khoản cấp tín dụng cho ctcp phát triển bất động sản dragon,tpb nghị_quyết hđqt thông_qua hợp_đồng giao_dịch điều_chỉnh nội_dung khoản cấp tín_dụng cho ctcp phát_triển bất_động_sản dragon ngân_hàng thương_mại cổ_phần tiên_phong thông_báo nghị_quyết hđqt về việc thông_qua hợp_đồng giao_dịch điều_chỉnh nội_dung khoản cấp tín_dụng cho ctcp phát_triển bất_động_sản dragon
2025-07-14,"Lãnh đạo Thế giới Di động: Tháng 10 về đích, cuối năm vượt trội, tầm nhìn 2030 trở thành nhà bán lẻ vĩ đại","Sau 5 tháng đầu năm 2025, MWG ghi nhận doanh thu đạt 61.229 tỷ đồng, tăng 13% so với cùng kỳ năm ngoái và đã hoàn thành 41% kế hoạch cả năm.",https://cafef.vn/lanh-dao-the-gioi-di-dong-thang-10-ve-dich-cuoi-nam-vuot-troi-tam-nhin-2030-tro-thanh-nha-ban-le-vi-dai-18825071414075089.chn,cafef,MWG,partial,"lãnh đạo thế giới di động tháng 10 về đích, cuối năm vượt trội, tầm nhìn 2030 trở thành nhà bán lẻ vĩ đại sau 5 tháng đầu năm 2025, mwg ghi nhận doanh thu đạt 61.229 tỷ đồng, tăng 13% so với cùng kỳ năm ngoái và đã hoàn thành 41% kế hoạch cả năm.","lãnh_đạo thế_giới di_động tháng 10 về đích , cuối năm vượt_trội , tầm nhìn 2030 trở_thành nhà bán_lẻ vĩ_đại sau 5 tháng đầu năm 2025 , mwg ghi_nhận doanh_thu đạt 61.229 tỷ đồng , tăng 13 % so với cùng kỳ và đã hoàn_thành 41 % kế_hoạch cả năm ."
2025-07-14,Giao dịch trái phiếu doanh nghiệp BĐS tăng 26% trong tháng 6,,https://vietnambiz.vn/giao-dich-trai-phieu-doanh-nghiep-bds-tang-26-trong-thang-6-2025714154440292.htm,vietnambiz,UNKNOWN,none,giao dịch trái phiếu doanh nghiệp bđs tăng 26% trong tháng 6,giao_dịch trái_phiếu bđs tăng 26 % trong tháng 6
2025-07-14,Thẻ SeABiz Ultra Cash của SeABank: 'Lợi ích kép' cho doanh nghiệp,,https://vietnambiz.vn/the-seabiz-ultra-cash-cua-seabank-loi-ich-kep-cho-doanh-nghiep-2025714105648391.htm,vietnambiz,SSB,partial,thẻ seabiz ultra cash của seabank lợi ích kép cho doanh nghiệp,thẻ seabiz ultra cash của seabank lợi_ích kép cho
2025-07-15,"FLC chốt ngày họp bất thường, sẽ bầu 1 thành viên HĐQT mới",,https://vietnambiz.vn/flc-chot-ngay-hop-bat-thuong-se-bau-1-thanh-vien-hdqt-moi-2025715172115464.htm,vietnambiz,UNKNOWN,none,"flc chốt ngày họp bất thường, sẽ bầu 1 thành viên hđqt mới","flc chốt ngày họp bất_thường , sẽ bầu 1 thành_viên hđqt mới"
2025-07-15,VPB: Nghị quyết HĐQT về việc thay đổi địa điểm Văn phòng Đại diện Miền Nam và Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng thông báo Nghị quyết HĐQT về việc thay đổi địa điểm Văn phòng Đại diện Miền Nam và Chi nhánh Sài Gòn,https://cafef.vn/du-lieu/VPB-2246171/vpb-nghi-quyet-hdqt-ve-viec-thay-doi-dia-diem-van-phong-dai-dien-mien-nam-va-chi-nhanh-sai-gon.chn,cafef,VPB,exact,vpb nghị quyết hđqt về việc thay đổi địa điểm văn phòng đại diện miền nam và chi nhánh sài gòn ngân hàng thương mại cổ phần việt nam thịnh vượng thông báo nghị quyết hđqt về việc thay đổi địa điểm văn phòng đại diện miền nam và chi nhánh sài gòn,vpb nghị_quyết hđqt về việc thay_đổi địa_điểm văn_phòng đại_diện miền nam và chi_nhánh sài gòn ngân_hàng thương_mại cổ_phần việt_nam thịnh_vượng thông_báo nghị_quyết hđqt về việc thay_đổi địa_điểm văn_phòng đại_diện miền nam và chi_nhánh sài gòn
2025-07-15,STB: Nghị quyết HĐQT về việc thuận chủ trương di dời địa điểm PGD Kiến Đức,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín thông báo Nghị quyết HĐQT về việc thuận chủ trương di dời địa điểm PGD Kiến Đức,https://cafef.vn/du-lieu/STB-2246085/stb-nghi-quyet-hdqt-ve-viec-thuan-chu-truong-di-doi-dia-diem-pgd-kien-duc.chn,cafef,STB,exact,stb nghị quyết hđqt về việc thuận chủ trương di dời địa điểm pgd kiến đức ngân hàng thương mại cổ phần sài gòn thương tín thông báo nghị quyết hđqt về việc thuận chủ trương di dời địa điểm pgd kiến đức,stb nghị_quyết hđqt về việc thuận chủ_trương di_dời địa_điểm pgd_kiến đức ngân_hàng thương_mại cổ_phần sài gòn thương_tín thông_báo nghị_quyết hđqt về việc thuận chủ_trương di_dời địa_điểm pgd_kiến đức
2025-07-15,Nhiều người chơi 'bán tháo' tiền ảo Pi,,https://vietnambiz.vn/nhieu-nguoi-choi-ban-thao-tien-ao-pi-2025715105316942.htm,vietnambiz,UNKNOWN,none,nhiều người chơi bán tháo tiền ảo pi,nhiều người_chơi bán_tháo tiền ảo pi
2025-07-15,Bộ Công an: Giấy phép con và cơ chế cấp quota hạn ngạch nhập khẩu vàng dễ dẫn đến việc tiêu cực,,https://vietnambiz.vn/bo-cong-an-giay-phep-con-va-co-che-cap-quota-han-ngach-nhap-khau-vang-de-dan-den-viec-tieu-cuc-202571581210765.htm,vietnambiz,UNKNOWN,none,bộ công an giấy phép con và cơ chế cấp quota hạn ngạch nhập khẩu vàng dễ dẫn đến việc tiêu cực,bộ công_an giấy_phép con và cơ_chế cấp quota hạn_ngạch nhập_khẩu vàng dễ dẫn đến việc tiêu_cực
