date,open,high,low,close,volume
2022-10-14,6.19,6.19,5.9,6.1,17263
2022-10-17,6.1,6.29,5.71,6.1,6862
2022-10-18,6.19,6.57,5.71,6.19,9922
2022-10-19,5.9,6.38,5.9,6.29,24569
2022-10-20,6.67,6.67,5.9,5.9,19600
2022-10-21,5.9,6.0,5.33,5.9,49900
2022-10-24,5.71,5.9,5.33,5.71,24800
2022-10-25,5.71,5.71,5.14,5.43,31100
2022-10-26,5.43,5.52,5.05,5.43,53511
2022-10-27,5.52,5.52,4.95,5.43,17099
2022-10-28,5.52,5.9,5.24,5.71,55200
2022-10-31,5.62,5.62,5.33,5.43,15405
2022-11-01,5.43,5.71,5.05,5.71,18100
2022-11-02,5.52,5.62,5.33,5.52,4200
2022-11-03,5.52,5.52,5.24,5.33,11400
2022-11-04,5.24,5.24,4.95,5.24,12801
2022-11-07,5.14,5.14,5.14,5.14,202
2022-11-08,5.05,5.24,4.76,4.76,36700
2022-11-09,4.76,5.05,4.76,4.76,31600
2022-11-10,4.86,4.86,4.48,4.76,38721
2022-11-11,4.76,5.14,4.57,4.76,73300
2022-11-14,4.76,4.76,4.29,4.38,4100
2022-11-15,4.19,4.57,4.0,4.0,28163
2022-11-16,4.0,4.38,3.62,4.38,25721
2022-11-17,4.67,4.76,4.57,4.76,90200
2022-11-18,4.95,5.24,4.76,5.24,68420
2022-11-21,5.52,5.71,5.24,5.33,15013
2022-11-22,5.71,5.71,5.43,5.52,11122
2022-11-23,5.52,5.52,5.14,5.14,14900
2022-11-24,5.14,5.14,4.67,5.14,14301
2022-11-25,4.67,5.43,4.67,5.24,9463
2022-11-28,5.24,5.71,5.14,5.71,156000
2022-11-29,5.81,6.29,5.71,6.29,293506
2022-11-30,6.29,6.86,5.81,6.29,40406
2022-12-01,6.29,6.86,6.29,6.48,393937
2022-12-02,6.67,7.05,6.38,6.67,43128
2022-12-05,6.67,7.24,6.57,6.86,25006
2022-12-06,6.86,6.86,6.19,6.48,44700
2022-12-07,6.38,6.38,5.9,6.1,24102
2022-12-08,6.1,6.67,6.1,6.19,5400
2022-12-09,6.67,6.67,6.0,6.48,10300
