date,title,description,url,source,ticker,match_confidence
2026-03-13,ACB: Thông báo tổ chức ĐHĐCĐ thường niên năm 2026,Ngân hàng Thương mại Cổ phần Á Châu thông báo tổ chức ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/ACB-2416993/acb-thong-bao-to-chuc-dhdcd-thuong-nien-nam-2026.chn,cafef,ACB,partial
2026-03-02,Hàng loạt ngân hàng ấn định lịch họp đại hội cổ đông năm 2026,"Mùa đại hội cổ đông năm 2026 đang đến gần, nhiều ngân hàng thương mại đã công bố kế hoạch chốt danh sách cổ đông và thời gian tổ chức đại hội đồng cổ đông thường niên (ĐHĐCĐ) năm 2026.",https://cafef.vn/hang-loat-ngan-hang-an-dinh-lich-hop-dai-hoi-co-dong-nam-2026-188260302120449237.chn,cafef,UNKNOWN,none
2026-02-12,"ACB: 27.2.2026, ngày GDKHQ tham dự ĐHĐCĐ thường niên năm 2026",Sở Giao dịch Chứng khoán TP.HCM thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2026 của Ngân hàng Thương mại Cổ phần Á Châu,https://cafef.vn/du-lieu/ACB-2402416/acb-2722026-ngay-gdkhq-tham-du-dhdcd-thuong-nien-nam-2026.chn,cafef,ACB,partial
2026-02-06,ACB: Thông báo về ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2026,Ngân hàng Thương mại Cổ phần Á Châu thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2026,https://cafef.vn/du-lieu/ACB-2398709/acb-thong-bao-ve-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2026.chn,cafef,ACB,partial
2026-01-28,ACB: Giải trình biến động LNST trên BCTC quý 4/2025 so với cùng kỳ năm trước,Ngân hàng Thương mại Cổ phần Á Châu công bố giải trình biến động LNST trên BCTC quý 4/2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/ACB-2391816/acb-giai-trinh-bien-dong-lnst-tren-bctc-quy-42025-so-voi-cung-ky-nam-truoc.chn,cafef,ACB,partial
2026-01-09,ACB: Nghị quyết HĐQT bổ nhiệm lại ông Nguyễn Khắc Nguyện giữ chức Phó Tổng giám đốc,Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT về việc bổ nhiệm lại Phó TGĐ,https://cafef.vn/du-lieu/ACB-2380160/acb-nghi-quyet-hdqt-bo-nhiem-lai-ong-nguyen-khac-nguyen-giu-chuc-pho-tong-giam-doc.chn,cafef,ACB,partial
2025-12-18,ACB: Nghị quyết HĐQT về việc cho các công ty con thuê một phần trụ sở kinh doanh thuộc sở hữu của ACB,Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT về việc cho các công ty con thuê một phần trụ sở kinh doanh thuộc sở hữu của ACB,https://cafef.vn/du-lieu/ACB-2364899/acb-nghi-quyet-hdqt-ve-viec-cho-cac-cong-ty-con-thue-mot-phan-tru-so-kinh-doanh-thuoc-so-huu-cua-acb.chn,cafef,ACB,partial
2025-12-15,ACB: Nghị quyết HĐQT về việc ký hợp đồng ủy quyền giữa ACB và ACBA,Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết HĐQT về việc ký hợp đồng ủy quyền giữa ACB và ACBA,https://cafef.vn/du-lieu/ACB-2362215/acb-nghi-quyet-hdqt-ve-viec-ky-hop-dong-uy-quyen-giua-acb-va-acba.chn,cafef,ACB,partial
2025-11-14,ACB: Quyết định của NHNNVN về việc bổ sung nội dung hoạt động vào Giấy phép thành lập và hoạt động,Ngân hàng Thương mại Cổ phần Á Châu công bố Quyết định của NHNNVN về việc bổ sung nội dung hoạt động vào Giấy phép thành lập và hoạt động,https://cafef.vn/du-lieu/ACB-2340709/acb-quyet-dinh-cua-nhnnvn-ve-viec-bo-sung-noi-dung-hoat-dong-vao-giay-phep-thanh-lap-va-hoat-dong.chn,cafef,ACB,partial
2025-11-11,ACB: Nghị quyết và Biên bản kiểm phiếu bằng hình thức lấy ý kiến cổ đông bằng văn bản,Ngân hàng Thương mại Cổ phần Á Châu thông báo Nghị quyết và Biên bản kiểm phiếu bằng hình thức lấy ý kiến cổ đông bằng văn bản,https://cafef.vn/du-lieu/ACB-2337846/acb-nghi-quyet-va-bien-ban-kiem-phieu-bang-hinh-thuc-lay-y-kien-co-dong-bang-van-ban.chn,cafef,ACB,partial
