ticker,quarter_id,avg_close,avg_volume,return_intra,trading_days
ABB,2021Q4,12.907931034482758,2722783.7586206896,0.15038232795242137,58.0
ABB,2022Q1,13.679827586206894,2315477.4137931033,-0.028676470588235206,58.0
ABB,2022Q2,10.181774193548387,1732178.6935483871,-0.3542600896860986,62.0
ABB,2022Q3,9.187968750000001,1401396.484375,-0.010514018691588767,64.0
ABB,2022Q4,6.807384615384616,1283061.3384615385,-0.17493796526054592,65.0
ABB,2023Q1,6.770508474576271,759211.779661017,-0.047277936962750726,59.0
ABB,2023Q2,7.557419354838712,1764489.177419355,0.19465081723625538,62.0
ABB,2023Q3,8.149047619047618,2397797.1428571427,-0.022388059701492394,63.0
ABB,2023Q4,7.248461538461539,776281.1538461539,-0.06997455470737922,65.0
ABB,2024Q1,7.531694915254237,1694432.3050847459,-0.012016021361815735,59.0
ABB,2024Q2,7.468852459016394,3378320.6885245903,0.012311901504788064,61.0
ABB,2024Q3,7.195,989769.625,0.012311901504788064,64.0
ABB,2024Q4,6.8993939393939385,802669.1515151515,-0.0752393980848153,66.0
ABB,2025Q1,6.969137931034483,1990989.6206896552,0.0547337278106509,58.0
ABB,2025Q2,7.108852459016394,2550453.9836065574,0.06371191135734072,61.0
ABB,2025Q3,10.5309375,7145395.8125,0.46354166666666674,64.0
ABB,2025Q4,12.878181818181819,4402881.863636363,0.2983230361871139,66.0
ABB,2026Q1,14.04578947368421,2736399.1403508773,0.024930747922437758,57.0
ABB,2026Q2,15.640983606557377,1069549.1803278688,0.23129251700680287,61.0
ACB,2021Q4,13.370689655172416,4917331.0344827585,0.05846621108580103,58.0
ACB,2022Q1,13.597931034482759,6107798.275862069,-0.03956834532374106,58.0
ACB,2022Q2,12.519193548387097,3704262.9032258065,-0.10222222222222228,62.0
ACB,2022Q3,12.17140625,2625782.296875,-0.07736625514403288,64.0
ACB,2022Q4,10.807846153846153,3860254.0153846154,0.013748854262144854,65.0
ACB,2023Q1,12.410847457627117,3566417.1016949154,0.10113339145597211,59.0
ACB,2023Q2,12.771612903225808,7009870.241935484,0.045490196078431376,62.0
ACB,2023Q3,13.543809523809522,8697272.26984127,-0.009002250562640602,63.0
ACB,2023Q4,13.534153846153847,5950153.215384616,0.09138972809667667,65.0
ACB,2024Q1,16.206271186440677,11883630.101694915,0.16576454668470914,59.0
ACB,2024Q2,17.05393442622951,9475289.967213115,-0.0040697674418604815,61.0
ACB,2024Q3,17.5453125,7914142.875,0.08231173380035027,64.0
ACB,2024Q4,18.178181818181816,6784716.651515151,0.0016181229773463398,66.0
ACB,2025Q1,18.4998275862069,6708082.793103448,0.015735214324470927,58.0
ACB,2025Q2,17.88901639344262,11983067.639344262,-0.021333333333333256,61.0
ACB,2025Q3,21.3775,19059346.078125,0.19727520435967286,64.0
ACB,2025Q4,21.485000000000003,10500860.621212121,-0.06972559604138555,66.0
ACB,2026Q1,20.600526315789473,15506947.210526315,-0.01885880077369442,57.0
ACB,2026Q2,20.939,18954086.533333335,0.10190151145782543,60.0
ANV,2021Q4,15.31189655172414,806322.4137931034,0.0969652109548483,58.0
ANV,2022Q1,15.774310344827587,638712.0689655172,0.2832674571805007,58.0
ANV,2022Q2,21.75354838709677,1836559.677419355,0.250132485426603,62.0
ANV,2022Q3,21.23015625,1339250.84375,-0.24031345232912493,64.0
ANV,2022Q4,11.655846153846154,1176938.3692307693,-0.36061538461538456,65.0
ANV,2023Q1,14.102542372881357,1354612.9830508474,0.25945945945945953,59.0
ANV,2023Q2,15.402258064516129,1765493.6129032257,0.1449375866851596,62.0
ANV,2023Q3,16.676190476190474,2211653.1746031744,-0.038840579710145026,63.0
ANV,2023Q4,15.020000000000001,2018695.9846153846,-0.16356457980823463,65.0
ANV,2024Q1,15.41169491525424,1884048.813559322,0.12110960757780792,59.0
ANV,2024Q2,15.310163934426228,1665175.7704918033,-0.06390748630553858,61.0
ANV,2024Q3,15.63875,1360210.546875,0.021126760563380288,64.0
ANV,2024Q4,17.51530303030303,1537275.303030303,0.20188087774294686,66.0
ANV,2025Q1,16.974310344827582,1534404.948275862,-0.1646565285789198,58.0
ANV,2025Q2,15.292131147540983,1839531.6065573771,0.28240450845335,61.0
ANV,2025Q3,24.871875000000003,5100645.28125,0.2765082266910421,64.0
ANV,2025Q4,28.84212121212121,2189338.757575758,-0.08148677626876344,66.0
ANV,2026Q1,25.721052631578946,1676457.894736842,-0.07100591715976334,57.0
ANV,2026Q2,22.761475409836066,575424.5901639344,-0.09433962264150943,61.0
BAB,2021Q4,15.617241379310347,66503.20689655172,0.013012361743656544,58.0
BAB,2022Q1,15.41206896551724,37203.44827586207,-0.03500954805856147,58.0
BAB,2022Q2,13.314838709677419,16231.822580645161,-0.19986807387862793,62.0
BAB,2022Q3,12.31984375,12344.328125,-0.03169307756463726,64.0
BAB,2022Q4,10.27753846153846,14693.538461538461,-0.1200716845878136,65.0
BAB,2023Q1,10.30084745762712,10869.118644067798,0.030303030303030193,59.0
BAB,2023Q2,10.303548387096773,10014.209677419354,0.014605647517039957,62.0
BAB,2023Q3,10.4568253968254,12706.57142857143,-0.027645376549094464,63.0
BAB,2023Q4,9.622000000000002,5165.907692307693,-0.07352941176470588,65.0
BAB,2024Q1,9.986101694915256,9882.152542372882,0.06666666666666675,59.0
BAB,2024Q2,9.862295081967213,7735.2786885245905,-0.02400000000000002,61.0
BAB,2024Q3,9.572499999999998,4296.78125,0.0,64.0
BAB,2024Q4,9.516363636363636,5552.181818181818,-0.024390243902439046,66.0
BAB,2025Q1,9.985172413793101,10142.948275862069,0.06932773109243699,58.0
BAB,2025Q2,9.66049180327869,11280.901639344262,0.03366336633663365,61.0
BAB,2025Q3,11.94359375,31399.140625,0.13526570048309183,64.0
BAB,2025Q4,11.063939393939394,6862.287878787879,-0.08919382504288173,66.0
BAB,2026Q1,10.870000000000001,16825.947368421053,-0.05055147058823536,57.0
BAB,2026Q2,10.63606557377049,14039.098360655738,0.15347018572825027,61.0
BCM,2021Q4,52.11706896551724,621313.7931034482,0.3869197347358793,58.0
BCM,2022Q1,72.26758620689654,512762.0689655172,0.11563753007217323,58.0
BCM,2022Q2,69.39306451612902,350770.96774193546,-0.07583697234352257,62.0
BCM,2022Q3,75.27953124999999,209937.296875,0.43362831858407075,64.0
BCM,2022Q4,76.55399999999999,109687.87692307692,-0.09731504279516955,65.0
BCM,2023Q1,79.80881355932203,94161.03389830509,-0.013210368893319892,59.0
BCM,2023Q2,75.69967741935481,142707.56451612903,-0.05152958876629889,62.0
BCM,2023Q3,70.8542857142857,276360.9365079365,-0.14080496958716185,63.0
BCM,2023Q4,59.95815384615385,327257.90769230766,-0.08130939809926094,65.0
BCM,2024Q1,61.70525423728814,887416.3220338983,0.04855664942432845,59.0
BCM,2024Q2,58.37918032786885,842536.0655737704,-0.007870221651140296,61.0
BCM,2024Q3,67.5896875,794160.25,0.1124386252045826,64.0
BCM,2024Q4,65.8372727272727,246349.18181818182,0.02379903040987226,66.0
BCM,2025Q1,72.39068965517241,462326.4137931034,0.056465517241379416,58.0
BCM,2025Q2,59.01967213114754,589575.2950819673,-0.1541348344725908,61.0
BCM,2025Q3,67.2540625,584386.71875,0.037223974763407046,64.0
BCM,2025Q4,64.2540909090909,225658.81818181818,-0.07618613138686138,66.0
BCM,2026Q1,63.07701754385965,1353101.245614035,-0.11588411588411589,57.0
BCM,2026Q2,53.96166666666667,435336.6666666667,-0.03327171903881709,60.0
BID,2021Q4,24.738793103448277,2185158.620689655,0.17510917030567694,58.0
BID,2022Q1,31.793793103448277,3250944.827586207,0.16291927755252494,58.0
BID,2022Q2,25.918548387096774,1603817.7419354839,-0.24463786136151697,62.0
BID,2022Q3,26.860156250000003,1696203.90625,-0.032651455546813604,64.0
BID,2022Q4,25.975076923076927,1725569.2153846154,0.22377622377622383,65.0
