keyword,direction,mean_shap,mean_abs_shap,shap_direction,direction_consistent
tăng trưởng,positive,0.0035116410140505713,0.0068518137437743945,positive,True
nợ xấu,negative,0.0008262059508263786,0.006589264477719167,positive,False
tăng trưởng,positive,0.0027070852778143806,0.006372203395018794,positive,True
nợ xấu,negative,0.0007535885255704254,0.005800434307816818,positive,False
báo lãi,positive,0.0009234639095246831,0.0035859051201265744,positive,True
chia cổ tức,positive,0.0013263787036647762,0.0035651883537180886,positive,True
nợ xấu,negative,-0.00016128734435526162,0.0033247890331380646,negative,True
tăng vốn điều lệ,positive,0.00015022334888850023,0.003054819036165471,positive,True
tăng trưởng,positive,0.0008229329760260006,0.0027575969858873546,positive,True
chia cổ tức,positive,5.357712732490355e-05,0.0026564653829139924,positive,True
tăng vốn điều lệ,positive,0.0006425895764992271,0.0026429877263378218,positive,True
tăng vốn điều lệ,positive,-0.0004912908057671533,0.0026286732115230233,negative,False
mua lại cổ phiếu,positive,4.948056534786188e-05,0.0020030305386186317,positive,True
bứt phá,positive,0.0005128702307406746,0.0018415242356745207,positive,True
tăng mạnh,positive,0.0007763246130259146,0.0017810238432548209,positive,True
báo lãi,positive,0.0009469932163696313,0.0017413597418391206,positive,True
mua lại cổ phiếu,positive,3.870172365045644e-05,0.001676356780910846,positive,True
kỷ lục,positive,-0.0001080320735284757,0.0014416444482262154,negative,False
tăng trưởng mạnh,positive,9.235600919581914e-05,0.0013974992407622994,positive,True
chia cổ tức,positive,-9.134040509915407e-06,0.001374858396911294,negative,False
lãi ròng,positive,0.00029702261935661756,0.0013002620172042302,positive,True
báo lãi,positive,-2.083880381392337e-05,0.0012701641568781399,negative,False
tăng mạnh,positive,0.00010976316410701533,0.0012341107493217176,positive,True
lãi ròng,positive,0.0004160658914303613,0.0012192647419159367,positive,True
mua lại,neutral,-0.000766198767014783,0.00118028492429244,negative,False
mua lại,neutral,-6.674049663597765e-05,0.0011667086839011564,negative,False
mua lại cổ phiếu,positive,0.00017276945768290853,0.0010740491999184539,positive,True
kỷ lục,positive,-3.664137696274025e-06,0.0009419248677373808,negative,False
giảm mạnh,negative,0.000126593520057856,0.0009232295045443612,positive,False
mua lại,neutral,-9.428071889396757e-05,0.0008954557945835674,negative,False
bứt phá,positive,0.00042370970517660285,0.0008405769047644262,positive,True
giảm mạnh,negative,-0.00046155275082026485,0.0008215253082378709,negative,True
đại hội cổ đông,neutral,0.0002752818049507839,0.0008194936286899136,positive,False
doanh thu kỷ lục,positive,0.00028036971495465737,0.0008063754122474783,positive,True
hợp tác chiến lược,positive,0.00010177302885602245,0.0008000566190809595,positive,True
thoái vốn,neutral,-0.00035430631493923136,0.0007986030432678891,negative,False
cổ tức tiền mặt,positive,0.00015873020312422544,0.0007875808180085817,positive,True
trả nợ,positive,-0.00011496809581575111,0.0007667801038897033,negative,False
hợp tác chiến lược,positive,0.0001727198880995253,0.0007399975393118748,positive,True
giảm mạnh,negative,-0.00028120944455480907,0.0007346594194926945,negative,True
thoái vốn,neutral,-0.00022753045997323247,0.0007075490118985603,negative,False
trả nợ,positive,-0.00029726196665874545,0.0006969655121021668,negative,False
cổ tức tiền mặt,positive,-0.0001439122640040038,0.0006957467452283733,negative,False
