artifact_schema_version,config,model,top_k,strategy,round_trip_cost_rate,periods,cumulative_net_return,mean_net_return,mean_net_excess_return,annualized_sharpe,annualization_factor,max_drawdown,hit_rate,avg_turnover,holding_period_days
topk_cost_sensitivity_v1,A_technical,LogisticRegression,5,model_topk,0.0,54,-0.06461858987084035,0.0018133936183097916,-0.003277863491446018,0.08154694252449034,3.5496478698597698,-0.3876797913360247,0.5,0.3185185185185185,20
topk_cost_sensitivity_v1,A_technical,LogisticRegression,10,model_topk,0.0,54,0.43946016343037186,0.008784559829835092,0.003693302720079284,0.48471000868526826,3.5496478698597698,-0.26326761530572074,0.5370370370370371,0.30000000000000004,20
topk_cost_sensitivity_v1,A_technical,RandomForest,5,model_topk,0.0,54,0.5546553157439198,0.010257701662914986,0.005166444553159182,0.5589430685347697,3.5496478698597698,-0.32791371843699035,0.6481481481481481,0.3185185185185185,20
topk_cost_sensitivity_v1,A_technical,RandomForest,10,model_topk,0.0,54,0.5478455027073881,0.009977794445196623,0.004886537335440818,0.5745801682007098,3.5496478698597698,-0.3236282072598229,0.5925925925925926,0.2888888888888889,20
topk_cost_sensitivity_v1,B_technical_keyword,LogisticRegression,5,model_topk,0.0,54,0.29891672242356604,0.007753957810006357,0.002662700700250548,0.36084788722078737,3.5496478698597698,-0.3876797913360247,0.5925925925925926,0.3,20
topk_cost_sensitivity_v1,B_technical_keyword,LogisticRegression,10,model_topk,0.0,54,0.7041587925845167,0.012051482428805601,0.006960225319049797,0.6467574800417318,3.5496478698597698,-0.26326761530572074,0.5740740740740741,0.26851851851851855,20
topk_cost_sensitivity_v1,B_technical_keyword,RandomForest,5,model_topk,0.0,54,0.07141493647035801,0.003064284074600054,-0.0020269730351557486,0.1818715718840576,3.5496478698597698,-0.32791371843699035,0.5555555555555556,0.3148148148148148,20
topk_cost_sensitivity_v1,B_technical_keyword,RandomForest,10,model_topk,0.0,54,0.484982253000271,0.009347571509399424,0.004256314399643616,0.5208930046493426,3.5496478698597698,-0.3236282072598229,0.5740740740740741,0.28518518518518526,20
topk_cost_sensitivity_v1,C_technical_semantic,LogisticRegression,5,model_topk,0.0,54,0.2582441413076426,0.007007526260568476,0.0019162691508126679,0.3331316018637141,3.5496478698597698,-0.34448137105123433,0.5925925925925926,0.4111111111111111,20
topk_cost_sensitivity_v1,C_technical_semantic,LogisticRegression,10,model_topk,0.0,54,0.44800529739738204,0.008729333702735697,0.003638076592979893,0.503307052387004,3.5496478698597698,-0.23061501387556516,0.5370370370370371,0.35370370370370374,20
topk_cost_sensitivity_v1,C_technical_semantic,RandomForest,5,model_topk,0.0,54,0.2784571336097097,0.006612224451576849,0.0015209673418210387,0.3610918364826447,3.5496478698597698,-0.2582925194778365,0.5925925925925926,0.4407407407407407,20
topk_cost_sensitivity_v1,C_technical_semantic,RandomForest,10,model_topk,0.0,54,0.34194791085181975,0.007343902626665912,0.0022526455169101043,0.4210889283992527,3.5496478698597698,-0.31289280149488463,0.5185185185185185,0.35185185185185197,20
topk_cost_sensitivity_v1,D_all,LogisticRegression,5,model_topk,0.0,54,0.5309445267586448,0.010709606616714015,0.005618349506958212,0.5057144946344685,3.5496478698597698,-0.34448137105123433,0.6296296296296297,0.3444444444444444,20
topk_cost_sensitivity_v1,D_all,LogisticRegression,10,model_topk,0.0,54,0.8983834939665991,0.014178169924748914,0.009086912814993109,0.7408524836257036,3.5496478698597698,-0.23061501387556516,0.5925925925925926,0.27777777777777785,20
topk_cost_sensitivity_v1,D_all,RandomForest,5,model_topk,0.0,54,0.46438117610281293,0.009013836281473727,0.003922579171717919,0.5081632478935756,3.5496478698597698,-0.2582925194778365,0.5740740740740741,0.36666666666666664,20
topk_cost_sensitivity_v1,D_all,RandomForest,10,model_topk,0.0,54,0.4295593023794817,0.008638264145443456,0.0035470070356876417,0.47853568673937696,3.5496478698597698,-0.31289280149488463,0.5555555555555556,0.31111111111111117,20
topk_cost_sensitivity_v1,A_technical,LogisticRegression,5,model_topk,0.0025,54,-0.10473484504672059,0.0010170973220134942,-0.004074159787742316,0.04567089949936739,3.5496478698597698,-0.39303254892164874,0.5,0.3185185185185185,20
topk_cost_sensitivity_v1,A_technical,LogisticRegression,10,model_topk,0.0025,54,0.38199453429026775,0.00803455982983509,0.002943302720079283,0.44258146323872016,3.5496478698597698,-0.2681785569311652,0.5370370370370371,0.30000000000000004,20
topk_cost_sensitivity_v1,A_technical,RandomForest,5,model_topk,0.0025,54,0.48844920199788655,0.00946140536661869,0.004370148256862885,0.5138910405437473,3.5496478698597698,-0.3326675938190995,0.6481481481481481,0.3185185185185185,20
topk_cost_sensitivity_v1,A_technical,RandomForest,10,model_topk,0.0025,54,0.4883553831598866,0.009255572222974405,0.004164315113218597,0.5319162484291932,3.5496478698597698,-0.3271750198807475,0.5925925925925926,0.2888888888888889,20
topk_cost_sensitivity_v1,B_technical_keyword,LogisticRegression,5,model_topk,0.0025,54,0.2467865023953253,0.007003957810006356,0.0019127007002505475,0.32553620118011467,3.5496478698597698,-0.39303254892164874,0.5925925925925926,0.3,20
topk_cost_sensitivity_v1,B_technical_keyword,LogisticRegression,10,model_topk,0.0025,54,0.6433850449437477,0.011380186132509303,0.006288929022753502,0.6099884261168381,3.5496478698597698,-0.2681785569311652,0.5740740740740741,0.26851851851851855,20
topk_cost_sensitivity_v1,B_technical_keyword,RandomForest,5,model_topk,0.0025,54,0.026024815850270056,0.0022772470375630152,-0.002814010072192786,0.1346641978916016,3.5496478698597698,-0.3326675938190995,0.5555555555555556,0.3148148148148148,20
topk_cost_sensitivity_v1,B_technical_keyword,RandomForest,10,model_topk,0.0025,54,0.4283361928961782,0.00863460854643646,0.0035433514366806523,0.47989564741829605,3.5496478698597698,-0.3271750198807475,0.5740740740740741,0.28518518518518526,20
topk_cost_sensitivity_v1,C_technical_semantic,LogisticRegression,5,model_topk,0.0025,54,0.18981975574084187,0.005979748482790696,0.0008884913730348887,0.2838720030247757,3.5496478698597698,-0.3508010070432055,0.5740740740740741,0.4111111111111111,20
topk_cost_sensitivity_v1,C_technical_semantic,LogisticRegression,10,model_topk,0.0025,54,0.3802800521112375,0.00784507444347644,0.0027538173337206327,0.4515383944813582,3.5496478698597698,-0.23611724891107977,0.5185185185185185,0.35370370370370374,20
topk_cost_sensitivity_v1,C_technical_semantic,RandomForest,5,model_topk,0.0025,54,0.20487587325677725,0.005510372599724993,0.0004191154899691848,0.30114339698399706,3.5496478698597698,-0.2632660464748485,0.5555555555555556,0.4407407407407407,20
topk_cost_sensitivity_v1,C_technical_semantic,RandomForest,10,model_topk,0.0025,54,0.27961823831603283,0.00646427299703628,0.0013730158872804741,0.37037016545017437,3.5496478698597698,-0.31736494855258346,0.5185185185185185,0.35185185185185197,20
topk_cost_sensitivity_v1,D_all,LogisticRegression,5,model_topk,0.0025,54,0.46093992359443203,0.009848495505602906,0.0047572383958471,0.4644112726731545,3.5496478698597698,-0.3508010070432055,0.6296296296296297,0.3444444444444444,20
topk_cost_sensitivity_v1,D_all,LogisticRegression,10,model_topk,0.0025,54,0.8286321774841034,0.013483725480304467,0.008392468370548663,0.7038982340017581,3.5496478698597698,-0.23611724891107977,0.5925925925925926,0.27777777777777785,20
topk_cost_sensitivity_v1,D_all,RandomForest,5,model_topk,0.0025,54,0.3931614276230342,0.00809716961480706,0.0030059125050512525,0.4551605028106343,3.5496478698597698,-0.2632660464748485,0.5555555555555556,0.36666666666666664,20
topk_cost_sensitivity_v1,D_all,RandomForest,10,model_topk,0.0025,54,0.37031511582905363,0.007860486367665674,0.002769229257909863,0.4344963764419797,3.5496478698597698,-0.31736494855258346,0.5555555555555556,0.31111111111111117,20
topk_cost_sensitivity_v1,A_technical,LogisticRegression,5,model_topk,0.005,54,-0.14321914822737003,0.00022080102571719757,-0.004870456084038611,0.009898213482690054,3.5496478698597698,-0.3983503127142092,0.48148148148148145,0.3185185185185185,20
topk_cost_sensitivity_v1,A_technical,LogisticRegression,10,model_topk,0.005,54,0.3267044877756051,0.00728455982983509,0.002193302720079283,0.4004912103572481,3.5496478698597698,-0.2730677116248824,0.5370370370370371,0.30000000000000004,20
topk_cost_sensitivity_v1,A_technical,RandomForest,5,model_topk,0.005,54,0.42491940223052227,0.008665109070322391,0.003573851960566588,0.46900417384464066,3.5496478698597698,-0.33739942312305493,0.6296296296296297,0.3185185185185185,20
topk_cost_sensitivity_v1,A_technical,RandomForest,10,model_topk,0.005,54,0.4310324105958445,0.008533350000752182,0.003442092890996374,0.48929498123030285,3.5496478698597698,-0.3307094266539461,0.5925925925925926,0.2888888888888889,20
topk_cost_sensitivity_v1,B_technical_keyword,LogisticRegression,5,model_topk,0.005,54,0.19663926820483923,0.006253957810006359,0.001162700700250548,0.2902582858222877,3.5496478698597698,-0.3983503127142092,0.5925925925925926,0.3,20
topk_cost_sensitivity_v1,B_technical_keyword,LogisticRegression,10,model_topk,0.005,54,0.5846637710922447,0.010708889836213008,0.005617632726457204,0.5731928029133389,3.5496478698597698,-0.2730677116248824,0.5740740740740741,0.26851851851851855,20
topk_cost_sensitivity_v1,B_technical_keyword,RandomForest,5,model_topk,0.005,54,-0.017540127344537915,0.0014902100005259795,-0.0036010471092298236,0.08777461707925953,3.5496478698597698,-0.33739942312305493,0.5555555555555556,0.3148148148148148,20
topk_cost_sensitivity_v1,B_technical_keyword,RandomForest,10,model_topk,0.005,54,0.3737391276776043,0.007921645583473498,0.0028303884737176897,0.4390113681449856,3.5496478698597698,-0.3307094266539461,0.5740740740740741,0.28518518518518526,20
topk_cost_sensitivity_v1,C_technical_semantic,LogisticRegression,5,model_topk,0.005,54,0.12500831659196043,0.004951970705012919,-0.00013928640474288945,0.23472228908508203,3.5496478698597698,-0.35707222170912434,0.5740740740740741,0.4111111111111111,20
topk_cost_sensitivity_v1,C_technical_semantic,LogisticRegression,10,model_topk,0.005,54,0.31561287428669926,0.006960815184217179,0.0018695580744613738,0.39987130450925557,3.5496478698597698,-0.2415915386160129,0.5185185185185185,0.35370370370370374,20
topk_cost_sensitivity_v1,C_technical_semantic,RandomForest,5,model_topk,0.005,54,0.13539167650649286,0.004408520747873144,-0.000682736361882666,0.24104535651859585,3.5496478698597698,-0.2685673759539575,0.5370370370370371,0.4407407407407407,20
topk_cost_sensitivity_v1,C_technical_semantic,RandomForest,10,model_topk,0.005,54,0.220073189102983,0.005584643367406655,0.000493386257650844,0.3196542533927782,3.5496478698597698,-0.32181699385305174,0.5185185185185185,0.35185185185185197,20
topk_cost_sensitivity_v1,D_all,LogisticRegression,5,model_topk,0.005,54,0.39399949239888876,0.008987384394491793,0.003896127284735989,0.4231428819047912,3.5496478698597698,-0.35707222170912434,0.6296296296296297,0.3444444444444444,20
topk_cost_sensitivity_v1,D_all,LogisticRegression,10,model_topk,0.005,54,0.7613240988391756,0.012789281035860023,0.007698023926104219,0.6669005613677477,3.5496478698597698,-0.2415915386160129,0.5925925925925926,0.27777777777777785,20
topk_cost_sensitivity_v1,D_all,RandomForest,5,model_topk,0.005,54,0.32527857407011984,0.007180502948140394,0.0020892458383845857,0.4023772751362342,3.5496478698597698,-0.2685673759539575,0.5555555555555556,0.36666666666666664,20
topk_cost_sensitivity_v1,D_all,RandomForest,10,model_topk,0.005,54,0.31341804175197585,0.007082708589887898,0.0019914514801320856,0.3905669820696313,3.5496478698597698,-0.32181699385305174,0.5370370370370371,0.31111111111111117,20
topk_cost_sensitivity_v1,A_technical,LogisticRegression,5,model_topk,0.01,54,-0.21554073058598433,-0.0013717915668753956,-0.006463048676631205,-0.06125707727601446,3.5496478698597698,-0.4203680746904691,0.4444444444444444,0.3185185185185185,20
topk_cost_sensitivity_v1,A_technical,LogisticRegression,10,model_topk,0.01,54,0.22234230299498536,0.005784559829835088,0.0006933027200792829,0.31655602024247176,3.5496478698597698,-0.282780853260018,0.5185185185185185,0.30000000000000004,20
topk_cost_sensitivity_v1,A_technical,RandomForest,5,model_topk,0.01,54,0.30548285978237866,0.0070725164777298,0.0019812593679739967,0.3798647030055904,3.5496478698597698,-0.34679714516707516,0.6296296296296297,0.3185185185185185,20
topk_cost_sensitivity_v1,A_technical,RandomForest,10,model_topk,0.01,54,0.3225919427731283,0.007088905556307738,0.00199764844655193,0.40431618770618427,3.5496478698597698,-0.33774110948313385,0.5925925925925926,0.2888888888888889,20
topk_cost_sensitivity_v1,B_technical_keyword,LogisticRegression,5,model_topk,0.01,54,0.10201108853708907,0.004753957810006358,-0.0003372992997494508,0.21988334628099226,3.5496478698597698,-0.40888146646796486,0.5555555555555556,0.3,20
topk_cost_sensitivity_v1,B_technical_keyword,LogisticRegression,10,model_topk,0.01,54,0.47311885280314825,0.009366297243620415,0.004275040133864611,0.4996130860321548,3.5496478698597698,-0.282780853260018,0.5740740740740741,0.26851851851851855,20
topk_cost_sensitivity_v1,B_technical_keyword,RandomForest,5,model_topk,0.01,54,-0.09946981773112651,-8.386407354809262e-05,-0.005175121183303897,-0.004896532364038645,3.5496478698597698,-0.34679714516707516,0.5555555555555556,0.3148148148148148,20
topk_cost_sensitivity_v1,B_technical_keyword,RandomForest,10,model_topk,0.01,54,0.2704139839512152,0.006495719657547568,0.0014044625477917629,0.3576945403353394,3.5496478698597698,-0.33774110948313385,0.5740740740740741,0.28518518518518526,20
topk_cost_sensitivity_v1,C_technical_semantic,LogisticRegression,5,model_topk,0.01,54,0.0054930711505356555,0.002896415149457362,-0.0021948419602984444,0.1368221756188904,3.5496478698597698,-0.3694705010042193,0.5370370370370371,0.4111111111111111,20
topk_cost_sensitivity_v1,C_technical_semantic,LogisticRegression,10,model_topk,0.01,54,0.1949255946446491,0.005192296665698659,0.00010103955594285545,0.29696079332222647,3.5496478698597698,-0.2524566304344672,0.5185185185185185,0.35370370370370374,20
topk_cost_sensitivity_v1,C_technical_semantic,RandomForest,5,model_topk,0.01,54,0.007843997481404408,0.0022048170441694398,-0.002886440065586369,0.12058073716715273,3.5496478698597698,-0.27908905889012703,0.5185185185185185,0.4407407407407407,20
topk_cost_sensitivity_v1,C_technical_semantic,RandomForest,10,model_topk,0.01,54,0.10886386094200984,0.003825384108147392,-0.0012658730016084153,0.2183725917983729,3.5496478698597698,-0.3306609840957395,0.5,0.35185185185185197,20
topk_cost_sensitivity_v1,D_all,LogisticRegression,5,model_topk,0.01,54,0.26880364369720966,0.007265162172269575,0.002173905062513768,0.34080307327597437,3.5496478698597698,-0.3694705010042193,0.6111111111111112,0.3444444444444444,20
topk_cost_sensitivity_v1,D_all,LogisticRegression,10,model_topk,0.01,54,0.6337145716737722,0.011400392146971135,0.006309135037215329,0.5928522174871049,3.5496478698597698,-0.2524566304344672,0.5925925925925926,0.27777777777777785,20
topk_cost_sensitivity_v1,D_all,RandomForest,5,model_topk,0.01,54,0.19892832289452045,0.005347169614807061,0.0002559125050512517,0.2975997368067254,3.5496478698597698,-0.27908905889012703,0.5370370370370371,0.36666666666666664,20
topk_cost_sensitivity_v1,D_all,RandomForest,10,model_topk,0.01,54,0.2063135354381398,0.005527153034332343,0.0004358959245765297,0.30314703935246806,3.5496478698597698,-0.3306609840957395,0.5370370370370371,0.31111111111111117,20
