ticker,date,stock_return_T20,VNINDEX_return_T20,excess_return_T20,label_outperform_T20
ABB,2021-10-13,0.11894647408666104,,,
ABB,2021-10-14,0.09770603228547148,0.05065200991486152,0.04705402237060996,1
ABB,2021-10-15,0.10819949281487728,0.05792345803116228,0.05027603478371501,1
ABB,2021-10-18,0.10238907849829348,0.05807112709866491,0.044317951399628575,1
ABB,2021-10-19,0.10291595197255576,0.050970021428622614,0.05194593054393315,1
ABB,2021-10-20,0.10238907849829348,0.058867843306069645,0.04352123519222384,1
ABB,2021-10-21,0.09260832625318605,0.06142536305668078,0.031182963196505264,1
ABB,2021-10-22,0.1288395904436861,0.04542771587342709,0.083411874570259,1
ABB,2021-10-25,0.21583986074847705,0.044644146094990456,0.1711957146534866,1
ABB,2021-10-26,0.18879310344827593,0.05173789010009844,0.1370552133481775,1
ABB,2021-10-27,0.24083333333333345,0.04627482396593163,0.19455850936740182,1
ABB,2021-10-28,0.23701842546063645,0.043671462646295955,0.1933469628143405,1
ABB,2021-10-29,0.20500000000000007,0.0337610003669675,0.17123899963303257,1
ABB,2021-11-01,0.16350123864574728,0.03187696755318026,0.13162427109256702,1
ABB,2021-11-02,0.11328443357783224,0.01788689533618837,0.09539753824164388,1
ABB,2021-11-03,0.06538461538461537,0.02831129266772847,0.0370733227168869,1
ABB,2021-11-04,0.05076923076923068,0.023274921634422796,0.02749430913480788,1
ABB,2021-11-05,0.030516431924882736,-0.00905589388332384,0.039572325808206577,1
ABB,2021-11-08,-0.003144654088050425,-0.03678870513842614,0.03364405105037571,1
ABB,2021-11-09,-0.02769461077844304,-0.010078686281217886,-0.017615924497225155,0
ABB,2021-11-10,-0.018982536066818545,-0.008293402137854788,-0.010689133928963757,0
ABB,2021-11-11,0.010061919504644079,0.0038499675180361237,0.006211951986607955,1
ABB,2021-11-12,-0.009153318077803174,-0.006671779661592048,-0.0024815384162111265,0
ABB,2021-11-15,0.0,-0.0002438082854181456,0.0002438082854181456,1
ABB,2021-11-16,0.0,0.00652596406287298,-0.00652596406287298,0
ABB,2021-11-17,-0.004643962848297267,-0.00023715147203295928,-0.004406811376264308,0
ABB,2021-11-18,-0.004665629860031051,0.0046127783485163665,-0.009278408208547417,0
ABB,2021-11-19,-0.027966742252456656,0.018893517402829962,-0.04686025965528662,0
ABB,2021-11-22,-0.0701503221188261,0.020784245983762162,-0.09093456810258826,0
ABB,2021-11-23,-0.06308919506889044,0.010323647369895328,-0.07341284243878576,0
ABB,2021-11-24,-0.13633310946944266,-0.007522483494193488,-0.12881062597524917,0
ABB,2021-11-25,-0.14556533513879488,-0.02921755585317254,-0.11634777928562234,0
ABB,2021-11-26,-0.09336099585062252,-0.010716462495730106,-0.08264453335489241,0
ABB,2021-11-29,-0.02129169623846705,0.002720831874141405,-0.024012528112608456,0
ABB,2021-11-30,0.03660322108345526,0.010788398582289416,0.025814822501165846,1
