baseline_config,comparison_config,model,metric,mean_delta,ci_lower_95,ci_upper_95,n_paired_dates,n_folds,date_start,date_end,bootstrap_samples,bootstrap_block_dates,rng_seed,status,artifact_schema_version
A_technical,D_all,RandomForest,balanced_accuracy,0.010142290171679462,-0.0006163386507077288,0.0204225351636565,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
A_technical,D_all,RandomForest,daily_rank_ic,0.015658839291403374,-0.0024375891461400918,0.03463158169118439,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
A_technical,D_all,RandomForest,f1,0.03841629336333979,0.023001519808989353,0.0540149937456781,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
A_technical,D_all,RandomForest,precision_at_10_by_date,0.01604477611940298,-0.006718749999999997,0.04076492537313432,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,LogisticRegression,auc,0.0014059612885919184,-0.014539459218346104,0.018485090355157052,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,LogisticRegression,balanced_accuracy,-0.0007424446358683098,-0.013971928346666398,0.013938933607461202,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,LogisticRegression,daily_rank_ic,-0.017571521343588834,-0.04801632433295066,0.013528186863271272,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,LogisticRegression,f1,-0.052746709844962616,-0.07724448555444863,-0.02705600764153859,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,LogisticRegression,precision_at_10_by_date,-0.018190298507462684,-0.048607742537313425,0.012220149253731345,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,RandomForest,auc,0.00898528691276557,-0.0038286382901144755,0.021843966788400976,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,RandomForest,balanced_accuracy,0.008617332529260346,-0.0038800746580244785,0.020883728649826672,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,RandomForest,daily_rank_ic,0.007250124965940604,-0.01571148605002094,0.028838075716306158,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,RandomForest,f1,-0.0006092705078614263,-0.01812483208459863,0.0167008945052548,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,C_technical_semantic,RandomForest,precision_at_10_by_date,-0.004477611940298508,-0.028358208955223875,0.01847014925373134,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,LogisticRegression,auc,0.012208593205148664,0.006278370217312764,0.017942403661822346,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,LogisticRegression,balanced_accuracy,0.007202510163156988,0.0010771054225205503,0.01376556715002552,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,LogisticRegression,daily_rank_ic,0.01594474830081677,0.006537630086201663,0.02502106097152355,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,LogisticRegression,f1,0.0016499695039590774,-0.0054664334335924655,0.008721485527163722,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,LogisticRegression,precision_at_10_by_date,-0.001119402985074627,-0.013059701492537313,0.010729944029850735,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,RandomForest,auc,0.008613345568222883,0.00016228828521229363,0.017869694830714267,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,RandomForest,balanced_accuracy,0.010709239812447202,0.0008586655918653668,0.02046604459363905,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,RandomForest,daily_rank_ic,0.012607189990667655,-0.002382166810760958,0.028192765705125206,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,RandomForest,f1,0.021362283100836186,0.00971609054294686,0.03333271042521379,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
B_technical_keyword,D_all,RandomForest,precision_at_10_by_date,0.008208955223880599,-0.014458955223880594,0.03003964552238805,1072,3,2022-02-11,2026-06-01,2000,20,42,ok,outperform_ml_bootstrap_delta_v1
