artifact_schema_version,config,model,top_k,draws,periods,model_cumulative_net_return,null_cumulative_net_return_mean,null_cumulative_net_return_std,null_cumulative_net_return_p05,null_cumulative_net_return_p50,null_cumulative_net_return_p95,model_percentile_vs_null,one_sided_null_p_value,null_mean_net_return_mean,null_mean_net_return_std,null_mean_net_excess_return_mean,null_mean_net_excess_return_std,round_trip_cost_rate,holding_period_days
topk_random_null_summary_v1,A_technical,LogisticRegression,5,200,54,-0.14321914822737003,0.05650543666608963,0.29938247953205815,-0.3441745695885145,0.009842417240975121,0.5225817488203343,0.28,0.7213930348258707,0.0033254118770524423,0.005131066187950714,-0.0017658452327033644,0.005131066187950713,0.005,20
topk_random_null_summary_v1,A_technical,LogisticRegression,10,200,54,0.3267044877756051,0.039281500955278215,0.20103846568950418,-0.24408462789451618,0.024534758244562638,0.3737345066157017,0.905,0.09950248756218906,0.0030285766242750933,0.003545069269403241,-0.0020626804854807137,0.003545069269403241,0.005,20
topk_random_null_summary_v1,A_technical,RandomForest,5,200,54,0.42491940223052227,0.05650543666608963,0.29938247953205815,-0.3441745695885145,0.009842417240975121,0.5225817488203343,0.87,0.13432835820895522,0.0033254118770524423,0.005131066187950714,-0.0017658452327033644,0.005131066187950713,0.005,20
topk_random_null_summary_v1,A_technical,RandomForest,10,200,54,0.4310324105958445,0.039281500955278215,0.20103846568950418,-0.24408462789451618,0.024534758244562638,0.3737345066157017,0.965,0.03980099502487562,0.0030285766242750933,0.003545069269403241,-0.0020626804854807137,0.003545069269403241,0.005,20
topk_random_null_summary_v1,B_technical_keyword,LogisticRegression,5,200,54,0.19663926820483923,0.05650543666608963,0.29938247953205815,-0.3441745695885145,0.009842417240975121,0.5225817488203343,0.68,0.32338308457711445,0.0033254118770524423,0.005131066187950714,-0.0017658452327033644,0.005131066187950713,0.005,20
topk_random_null_summary_v1,B_technical_keyword,LogisticRegression,10,200,54,0.5846637710922447,0.039281500955278215,0.20103846568950418,-0.24408462789451618,0.024534758244562638,0.3737345066157017,0.995,0.009950248756218905,0.0030285766242750933,0.003545069269403241,-0.0020626804854807137,0.003545069269403241,0.005,20
topk_random_null_summary_v1,B_technical_keyword,RandomForest,5,200,54,-0.017540127344537915,0.05650543666608963,0.29938247953205815,-0.3441745695885145,0.009842417240975121,0.5225817488203343,0.455,0.5472636815920398,0.0033254118770524423,0.005131066187950714,-0.0017658452327033644,0.005131066187950713,0.005,20
topk_random_null_summary_v1,B_technical_keyword,RandomForest,10,200,54,0.3737391276776043,0.039281500955278215,0.20103846568950418,-0.24408462789451618,0.024534758244562638,0.3737345066157017,0.95,0.05472636815920398,0.0030285766242750933,0.003545069269403241,-0.0020626804854807137,0.003545069269403241,0.005,20
topk_random_null_summary_v1,C_technical_semantic,LogisticRegression,5,200,54,0.12500831659196043,0.05650543666608963,0.29938247953205815,-0.3441745695885145,0.009842417240975121,0.5225817488203343,0.63,0.373134328358209,0.0033254118770524423,0.005131066187950714,-0.0017658452327033644,0.005131066187950713,0.005,20
topk_random_null_summary_v1,C_technical_semantic,LogisticRegression,10,200,54,0.31561287428669926,0.039281500955278215,0.20103846568950418,-0.24408462789451618,0.024534758244562638,0.3737345066157017,0.9,0.1044776119402985,0.0030285766242750933,0.003545069269403241,-0.0020626804854807137,0.003545069269403241,0.005,20
topk_random_null_summary_v1,C_technical_semantic,RandomForest,5,200,54,0.13539167650649286,0.05650543666608963,0.29938247953205815,-0.3441745695885145,0.009842417240975121,0.5225817488203343,0.64,0.36318407960199006,0.0033254118770524423,0.005131066187950714,-0.0017658452327033644,0.005131066187950713,0.005,20
topk_random_null_summary_v1,C_technical_semantic,RandomForest,10,200,54,0.220073189102983,0.039281500955278215,0.20103846568950418,-0.24408462789451618,0.024534758244562638,0.3737345066157017,0.825,0.1791044776119403,0.0030285766242750933,0.003545069269403241,-0.0020626804854807137,0.003545069269403241,0.005,20
topk_random_null_summary_v1,D_all,LogisticRegression,5,200,54,0.39399949239888876,0.05650543666608963,0.29938247953205815,-0.3441745695885145,0.009842417240975121,0.5225817488203343,0.845,0.15920398009950248,0.0033254118770524423,0.005131066187950714,-0.0017658452327033644,0.005131066187950713,0.005,20
topk_random_null_summary_v1,D_all,LogisticRegression,10,200,54,0.7613240988391756,0.039281500955278215,0.20103846568950418,-0.24408462789451618,0.024534758244562638,0.3737345066157017,0.995,0.009950248756218905,0.0030285766242750933,0.003545069269403241,-0.0020626804854807137,0.003545069269403241,0.005,20
topk_random_null_summary_v1,D_all,RandomForest,5,200,54,0.32527857407011984,0.05650543666608963,0.29938247953205815,-0.3441745695885145,0.009842417240975121,0.5225817488203343,0.815,0.1890547263681592,0.0033254118770524423,0.005131066187950714,-0.0017658452327033644,0.005131066187950713,0.005,20
topk_random_null_summary_v1,D_all,RandomForest,10,200,54,0.31341804175197585,0.039281500955278215,0.20103846568950418,-0.24408462789451618,0.024534758244562638,0.3737345066157017,0.9,0.1044776119402985,0.0030285766242750933,0.003545069269403241,-0.0020626804854807137,0.003545069269403241,0.005,20
