term,ngram,count
nội_bộ,unigram,373
hai,unigram,373
ngay,unigram,372
tp hcm,bigram,372
kỹ_thương,unigram,371
500,unigram,369
về ngày,bigram,368
sacombank,unigram,368
bctc,unigram,367
tiếp_tục,unigram,366
thông_báo nbsp,bigram,365
giam,unigram,365
kỹ_thương việt_nam,bigram,364
2021,unigram,362
riêng_lẻ,unigram,361
xanh,unigram,361
gan,unigram,358
giao_dịch chứng_khoán,bigram,355
cổ_phiếu để,bigram,353
thông_qua hợp_đồng,bigram,353
duoc,unigram,352
điều_chỉnh,unigram,351
bat,unigram,351
ssb,unigram,350
đặt,unigram,350
30,unigram,349
thang,unigram,348
hà_nội,unigram,348
giao_dịch với,bigram,347
chủ_tịch,unigram,346
thế_giới,unigram,345
trụ_sở,unigram,345
cổ_phần đầu_tư,bigram,341
ng aacute,bigram,341
ý_kiến,unigram,339
mục_tiêu,unigram,339
mức,unigram,337
vietcombank,unigram,337
để thực_hiện,bigram,333
hdbank,unigram,333
công_chúng,unigram,333
cổ_phiếu của,bigram,329
msn,unigram,329
ra công_chúng,bigram,328
dự_án,unigram,328
15,unigram,328
cuối_cùng,unigram,328
chấp_thuận,unigram,326
lấy ý_kiến,bigram,326
bảo_hiểm,unigram,326
người nội_bộ,bigram,325
vnm,unigram,324
the,unigram,324
triển_khai,unigram,324
nh,unigram,324
đăng_ký cuối_cùng,bigram,323
bằng văn_bản,bigram,322
ngày đăng_ký,bigram,321
lon,unigram,321
sang,unigram,320
thông_báo thay_đổi,bigram,319
chi_trả,unigram,318
100,unigram,318
lãi_suất,unigram,317
kỷ_lục,unigram,314
tăng vốn,bigram,313
lai,unigram,313
tiền_mặt,unigram,313
năm 2026,bigram,313
trả cổ_tức,bigram,312
cp,unigram,312
ky,unigram,312
công_văn,unigram,311
thanh_toán,unigram,311
dự_kiến,unigram,310
ý_kiến cổ_đông,bigram,309
thịnh_vượng,unigram,308
cổ_đông bằng,bigram,308
nhuan,unigram,308
việt_nam nbsp,bigram,308
thi,unigram,306
diem,unigram,306
tức năm,bigram,302
tới,unigram,302
việt_nam thịnh_vượng,bigram,302
giấy,unigram,301
nhnn,unigram,301
muốn,unigram,298
quân_đội,unigram,298
tpb,unigram,298
hàng,unigram,298
phát_triển thành_phố,bigram,298
tên,unigram,298
sở,unigram,297
phát_hành trái_phiếu,bigram,296
nâng,unigram,296
da,unigram,296
nhóm,unigram,295
dat,unigram,295
công_bố nghị_quyết,bigram,294
vietjet,unigram,292
pv,unigram,292
tiep tuc,bigram,290
trong năm,bigram,290
việc thông_qua,bigram,290
va,unigram,289
di_động,unigram,289
hđqt số,bigram,287
thông_báo ngày,bigram,287
công_văn của,bigram,285
tuan,unigram,284
hóa,unigram,284
kiểm_toán,unigram,283
thế_giới di_động,bigram,282
công_nghiệp,unigram,282
acirc,unigram,282
năm trước,bigram,281
tháng đầu,bigram,280
việc phê_duyệt,bigram,280
17,unigram,279
vượt,unigram,278
của người,bigram,278
công_thương,unigram,277
bằng tiền,bigram,277
đối_với,unigram,276
giao,unigram,275
còn,unigram,275
bcm,unigram,272
tăng vốn_điều_lệ,bigram,272
điều_lệ,unigram,271
thông_tin,unigram,269
thứ,unigram,269
niêm_yết,unigram,269
agrave ng,bigram,269
sở giao_dịch,bigram,268
giao_dịch cổ_phiếu,bigram,265
chí_minh thông_báo,bigram,264
quỹ,unigram,262
cổ_phần quân_đội,bigram,261
pgd,unigram,261
vinamilk,unigram,261
25,unigram,261
cuối,unigram,260
chứng_nhận,unigram,260
hợp_tác,unigram,259
nhà_đầu_tư,unigram,259
làm,unigram,259
đang,unigram,258
kỳ năm,bigram,258
cong,unigram,257
nước,unigram,257
nbsp nghị_quyết,bigram,256
cao nhất,bigram,256
du_an,unigram,255
gdkhq,unigram,255
ngày gdkhq,bigram,255
triệu cổ_phiếu,bigram,254
của ngân_hàng,bigram,254
để trả,bigram,253
ngành,unigram,252
giấy chứng_nhận,bigram,252
pow,unigram,251
acirc agrave,bigram,250
nợ,unigram,250
có_thể,unigram,250
tỷ giá,bigram,249
dan,unigram,247
top,unigram,245
mot,unigram,245
phát_triển việt_nam,bigram,244
dòng,unigram,244
chủ_trương,unigram,243
tro,unigram,243
lo,unigram,242
ký,unigram,241
viet,unigram,241
ng acirc,bigram,240
tam_diem,unigram,239
200,unigram,239
địa_chỉ,unigram,238
luc,unigram,238
no,unigram,237
thành_viên,unigram,236
thông_báo quyết_định,bigram,235
nhận được,bigram,234
tuần,unigram,230
công_thương việt_nam,bigram,230
cổ_phần sài,bigram,229
trả cổ,bigram,229
đề_xuất,unigram,229
phương_án phát_hành,bigram,229
nha,unigram,229
dang,unigram,228
bị,unigram,228
danh_sách,unigram,226
18,unigram,226
sao,unigram,225
trong quý,bigram,225
ngoại,unigram,224
cổ_phần công_thương,bigram,223
vao,unigram,223
nhưng,unigram,223
nhieu,unigram,223
tỷ usd,bigram,223
tham_dự,unigram,222
điện,unigram,222
tình_hình,unigram,221
phó,unigram,221
người có,bigram,220
khối,unigram,220
trai,unigram,220
tài_sản,unigram,219
vẫn,unigram,218
300,unigram,218
tổng_giám_đốc,unigram,217
gia,unigram,216
vjc,unigram,216
tnhh,unigram,215
hòa,unigram,214
nvl,unigram,214
14,unigram,213
thủ_tướng,unigram,212
chia cổ_tức,bigram,211
tmcp kỹ_thương,bigram,211
biến_động,unigram,211
muc,unigram,209
dich,unigram,208
bên,unigram,208
tiên_phong,unigram,208
long,unigram,207
kết_quả kinh_doanh,bigram,207
chưa,unigram,207
năm 2021,bigram,207
tcb nghị_quyết,bigram,207
liên_quan đến,bigram,206
nbsp th,bigram,205
tmcp việt_nam,bigram,205
dịch_vụ,unigram,205
thay_đổi địa_chỉ,bigram,205
gvr,unigram,204
việt_nam công_bố,bigram,204
thuong,unigram,203
trong tháng,bigram,203
co_dong,unigram,202
thi truong,bigram,201
nhờ,unigram,201
cổ_phần tập_đoàn,bigram,201
giấy_phép,unigram,201
quốc_tế việt_nam,bigram,200
nhà,unigram,200
bất_thường,unigram,200
khách_hàng,unigram,200
giữ,unigram,199
ngoại_thương,unigram,198
những,unigram,198
tài_liệu họp,bigram,198
mb,unigram,198
hợp_đồng giao_dịch,bigram,198
cong_ty,unigram,197
ba,unigram,197
ngoại_thương việt_nam,bigram,197
16,unigram,196
ocirc ng_ty,bigram,195
trụ_sở chi_nhánh,bigram,195
50,unigram,195
them,unigram,195
ng_ty,unigram,195
sab,unigram,195
sắp,unigram,193
bvh,unigram,193
13,unigram,193
chiến_lược,unigram,192
giúp,unigram,192
nửa,unigram,192
ubcknn,unigram,192
cổ_tức bằng,bigram,192
doanh_nghiep,unigram,192
cbtt về,bigram,191
dinh,unigram,191
chứng_nhận đăng_ký,bigram,191
địa_điểm chi_nhánh,bigram,190
đồng trong,bigram,190
19,unigram,189
22,unigram,189
chiều,unigram,188
quản_trị,unigram,188
trước thuế,bigram,188
truoc,unigram,187
petrolimex,unigram,187
báo,unigram,187
noi,unigram,186
aacute nbsp,bigram,186
26,unigram,186
cần,unigram,186
địa_điểm phòng,bigram,185
retail,unigram,185
tmcp phát_triển,bigram,185
gioi,unigram,184
chuyen,unigram,184
trung_tâm,unigram,184
400,unigram,183
dien,unigram,182
ha,unigram,182
công_bố báo_cáo,bigram,182
sàn,unigram,182
tang,unigram,181
ngo,unigram,180
thành,unigram,179
sử_dụng,unigram,179
vuot,unigram,179
nguồn,unigram,179
giao dich,bigram,178
mua lại,bigram,178
ban rong,bigram,178
kinh_tế,unigram,177
chỉ,unigram,177
suat,unigram,177
mat,unigram,177
24,unigram,177
gelex,unigram,177
kết_quả giao_dịch,bigram,176
trái_phiếu ra,bigram,176
đặt mục_tiêu,bigram,176
plx,unigram,175
tin tuc,bigram,175
của ubcknn,bigram,175
dòng tiền,bigram,175
mở_rộng,unigram,175
thep,unigram,174
tai,unigram,174
chương_trình,unigram,174
sở_hữu,unigram,174
cổ_phần quốc_tế,bigram,174
khu,unigram,174
cổ_phần tiên_phong,bigram,174
và hoạt_động,bigram,173
link,unigram,173
chào_bán trái_phiếu,bigram,173
