variant,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,ticker,n_train,n_test,n_features,train_start,train_end,test_start,test_end
vn30_direct_material,Logistic_Regression,Config_A,0.4938218390804598,0.4888945621649221,0.5573341094295693,0.4922028015278847,0.5034795495118125,0.494614841320914,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,Random_Forest,Config_A,0.5120689655172413,0.5060753341433779,0.4848661233993015,0.5115262168693184,0.5213571267173112,0.5117293159561774,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,XGBoost,Config_A,0.5100574712643678,0.5039346246973365,0.4845750873108265,0.5095674598910591,0.5151797948938858,0.5097393030197719,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,LightGBM,Config_A,0.5133620689655173,0.507359567437669,0.4915599534342258,0.5129797747377131,0.5159402133912279,0.5130898518589971,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,Logistic_Regression,Config_LLM,0.493103448275862,0.491723641597697,0.7954016298020955,0.4457693679667891,0.4973134082076801,0.4968778864106958,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,Random_Forest,Config_LLM,0.5093390804597702,0.5034347399411188,0.4479045401629802,0.507120085055607,0.506228618262399,0.5085720203652586,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,XGBoost,Config_LLM,0.5099137931034483,0.5042158516020236,0.4350989522700815,0.5067318809637882,0.5062837862837103,0.5089796690975833,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,LightGBM,Config_LLM,0.5093390804597702,0.5043298969072165,0.3559371362048894,0.496792540443338,0.506002867085371,0.5074237326881428,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,Logistic_Regression,Config_Hybrid,0.5063218390804598,0.5,0.5337601862630966,0.5061104238040858,0.5199976644436487,0.5066644291133872,10d,ALL,27900,6960,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,Random_Forest,Config_Hybrid,0.5252873563218391,0.5196195005945303,0.5087310826542492,0.5250363516192994,0.5311356584947522,0.5250806378083959,10d,ALL,27900,6960,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,XGBoost,Config_Hybrid,0.5172413793103449,0.5118085767557489,0.479336437718277,0.5163064157158717,0.518009551004983,0.5167681053517605,10d,ALL,27900,6960,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,LightGBM,Config_Hybrid,0.507183908045977,0.50093399750934,0.4682770663562282,0.5061915938886308,0.5124792872159508,0.5066981245515534,10d,ALL,27900,6960,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material,Logistic_Regression,Config_A,0.5153846153846153,0.4692373121633116,0.5196232339089482,0.5144499391040488,0.5250231385303094,0.5157438203443045,1d,ALL,28110,7020,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,Random_Forest,Config_A,0.5401709401709401,0.4894348894348894,0.3127158555729984,0.5078114004222378,0.5268043857799865,0.520895085543996,1d,ALL,28110,7020,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,XGBoost,Config_A,0.5076923076923077,0.45949177877429,0.482574568288854,0.5052819823696022,0.5156066060964553,0.5055636857089642,1d,ALL,28110,7020,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,LightGBM,Config_A,0.5235042735042735,0.4757281553398058,0.4923076923076923,0.5206785466851225,0.5305988182054489,0.5208604954367666,1d,ALL,28110,7020,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,Logistic_Regression,Config_LLM,0.5329059829059829,0.4639570552147239,0.1899529042386185,0.463116473663947,0.5066533354892453,0.5038421626799351,1d,ALL,28110,7020,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,Random_Forest,Config_LLM,0.5132478632478632,0.4638629283489096,0.4675039246467818,0.5093587565089019,0.5132498531455507,0.5093712582816698,1d,ALL,28110,7020,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,XGBoost,Config_LLM,0.5166666666666667,0.464841108857336,0.4317111459968603,0.509003588052764,0.5156937567926578,0.5094670462709203,1d,ALL,28110,7020,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,LightGBM,Config_LLM,0.5085470085470085,0.4587612822906941,0.4627943485086342,0.5046582454818753,0.5077643942944744,0.5046696644759598,1d,ALL,28110,7020,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,Logistic_Regression,Config_Hybrid,0.5286324786324786,0.4801663467690339,0.4712715855572998,0.5237747792183558,0.5321328996948294,0.523771385998989,1d,ALL,28110,7020,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,Random_Forest,Config_Hybrid,0.5383190883190884,0.4856115107913669,0.2967032967032967,0.5022799116181087,0.5237835437053169,0.5178431737753771,1d,ALL,28110,7020,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,XGBoost,Config_Hybrid,0.5206552706552706,0.4723587223587223,0.4828885400313972,0.5173720857664391,0.5265026536138475,0.517454700263417,1d,ALL,28110,7020,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,LightGBM,Config_Hybrid,0.5321937321937322,0.4842004468560485,0.4762951334379905,0.5274684163573052,0.5386956459446681,0.5274565628076524,1d,ALL,28110,7020,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_direct_material,Logistic_Regression,Config_A,0.4905797101449275,0.4943132108486439,0.4876294591484464,0.4905794426483105,0.4897319940204123,0.4906021127517933,20d,ALL,27660,6900,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,Random_Forest,Config_A,0.5042028985507246,0.5084589357120886,0.4755466052934407,0.5038910303433553,0.5143919537039028,0.5044204989084027,20d,ALL,27660,6900,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,XGBoost,Config_A,0.5114492753623189,0.5167144221585482,0.466915995397008,0.5106260560849778,0.5057455479092953,0.5117874369508405,20d,ALL,27660,6900,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,LightGBM,Config_A,0.4978260869565217,0.5017182130584192,0.4620253164556962,0.4973010141174342,0.500714344288741,0.4980979386016799,20d,ALL,27660,6900,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,Logistic_Regression,Config_LLM,0.5018840579710145,0.5034216529215652,0.8253739930955121,0.4411299801163562,0.496056360772937,0.4994276507533635,20d,ALL,27660,6900,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,Random_Forest,Config_LLM,0.4878260869565217,0.4908575031525851,0.4479286536248562,0.4871420177840234,0.4827753292268479,0.4881290464385963,20d,ALL,27660,6900,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,XGBoost,Config_LLM,0.4991304347826087,0.5036179450072359,0.4004602991944764,0.4945054945054945,0.4866332252938709,0.4998796823075185,20d,ALL,27660,6900,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,LightGBM,Config_LLM,0.492463768115942,0.4950682852807284,0.3754315304948216,0.4857568536809933,0.4840675681307336,0.4933524474904015,20d,ALL,27660,6900,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,Logistic_Regression,Config_Hybrid,0.4944927536231884,0.4982708933717579,0.4974108170310702,0.4944702856358833,0.4956651182205349,0.4944705954314229,20d,ALL,27660,6900,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,Random_Forest,Config_Hybrid,0.516231884057971,0.5206958608278345,0.4994246260069045,0.5161495654585216,0.5169742049621974,0.5163595092651345,20d,ALL,27660,6900,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,XGBoost,Config_Hybrid,0.505072463768116,0.5088895365782571,0.502301495972382,0.5050719543903752,0.5069074286428702,0.5050935049955368,20d,ALL,27660,6900,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,LightGBM,Config_Hybrid,0.5128985507246376,0.5180307306365632,0.475258918296893,0.5123328835011837,0.5064956850311346,0.5131843656905025,20d,ALL,27660,6900,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_direct_material,Logistic_Regression,Config_A,0.5064377682403434,0.4912774338773213,0.5153482880755608,0.5064144931957225,0.521705932752826,0.5067024616391129,5d,ALL,28020,6990,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,Random_Forest,Config_A,0.51931330472103,0.5047425474254743,0.4397874852420307,0.5151204849125472,0.5180186528932176,0.5169509330707656,5d,ALL,28020,6990,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,XGBoost,Config_A,0.5226037195994278,0.5079167960260789,0.4828807556080283,0.5211811719604125,0.5251308714757051,0.5214237203914656,5d,ALL,28020,6990,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,LightGBM,Config_A,0.5220314735336195,0.5075441412520064,0.4666469893742621,0.519700077315372,0.5259861945383878,0.5203862376077307,5d,ALL,28020,6990,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,Logistic_Regression,Config_LLM,0.5012875536480687,0.4443181818181818,0.1154073199527744,0.4121432977338733,0.4907339045538783,0.489824703840907,5d,ALL,28020,6990,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,Random_Forest,Config_LLM,0.5024320457796853,0.4865671641791044,0.4811097992916174,0.5017845097227683,0.4973308233586614,0.5017986531161029,5d,ALL,28020,6990,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,XGBoost,Config_LLM,0.5022889842632332,0.4857679074131998,0.4583825265643447,0.500612523699292,0.4961128197177614,0.50098471136657,5d,ALL,28020,6990,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,LightGBM,Config_LLM,0.4978540772532189,0.4809016906700062,0.4533648170011806,0.4961374418620125,0.4926874303073132,0.496532491787653,5d,ALL,28020,6990,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,Logistic_Regression,Config_Hybrid,0.5,0.4847621760182284,0.5023612750885478,0.4999152436882647,0.5169575704695083,0.5000701433743683,5d,ALL,28020,6990,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,Random_Forest,Config_Hybrid,0.5216022889842632,0.5076976906927921,0.4282762691853601,0.5161204179208441,0.5239741613441832,0.5188299724605312,5d,ALL,28020,6990,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,XGBoost,Config_Hybrid,0.5125894134477825,0.4968386023294509,0.4406729634002361,0.5090078814826691,0.5111863522626483,0.5104530835879582,5d,ALL,28020,6990,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,LightGBM,Config_Hybrid,0.5171673819742489,0.5022086306489976,0.436245572609209,0.5128373564523504,0.5152048874854387,0.5147635414406401,5d,ALL,28020,6990,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_direct_material,Logistic_Regression,Config_A,0.5052552552552553,0.5431261770244821,0.409194097616345,0.5026611110505498,0.5245491375466191,0.511197814114295,60d,ALL,26700,6660,26,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,Random_Forest,Config_A,0.4857357357357357,0.5193283873486919,0.3774120317820658,0.4818736410412499,0.5074733532743403,0.4924368832379717,60d,ALL,26700,6660,26,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,XGBoost,Config_A,0.5007507507507507,0.5378759040730872,0.4009648127128263,0.4978175034632552,0.515779552456624,0.5069237328870254,60d,ALL,26700,6660,26,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,LightGBM,Config_A,0.5139639639639639,0.5590778097982709,0.3853575482406356,0.5084243341312294,0.5311257155742547,0.5219198455488893,60d,ALL,26700,6660,26,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,Logistic_Regression,Config_LLM,0.5085585585585586,0.5220523633807767,0.8430760499432464,0.4237489450486847,0.502301682413885,0.4878645555838681,60d,ALL,26700,6660,141,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,Random_Forest,Config_LLM,0.5241741741741742,0.5573876495311995,0.489216799091941,0.5241543381528204,0.5276987772620398,0.5263367158725011,60d,ALL,26700,6660,141,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,XGBoost,Config_LLM,0.528078078078078,0.5614317961947759,0.4940408626560726,0.5280650443163724,0.5198516205929024,0.5301836966341588,60d,ALL,26700,6660,141,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,LightGBM,Config_LLM,0.5183183183183183,0.5524568393094289,0.4721906923950056,0.5181512840350108,0.5062689209125761,0.5211718768097477,60d,ALL,26700,6660,141,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,Logistic_Regression,Config_Hybrid,0.5166666666666667,0.5527499135247319,0.4534619750283768,0.51601170094304,0.5360284579211935,0.5205766507794946,60d,ALL,26700,6660,167,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,Random_Forest,Config_Hybrid,0.5139639639639639,0.5546666666666666,0.4131668558456299,0.5110857302566155,0.526000283768445,0.5201994993513864,60d,ALL,26700,6660,167,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,XGBoost,Config_Hybrid,0.5106606606606606,0.5445378151260504,0.4597048808172531,0.5103745280898605,0.5214730640766523,0.5138128995923,60d,ALL,26700,6660,167,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material,LightGBM,Config_Hybrid,0.5072072072072072,0.5422486033519553,0.4406923950056753,0.5063838681948735,0.5236676546682806,0.5113219628089601,60d,ALL,26700,6660,167,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_direct_material_lag1,Logistic_Regression,Config_A,0.4938218390804598,0.4888945621649221,0.5573341094295693,0.4922028015278847,0.5034795495118125,0.494614841320914,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material_lag1,Random_Forest,Config_A,0.5120689655172413,0.5060753341433779,0.4848661233993015,0.5115262168693184,0.5213571267173112,0.5117293159561774,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material_lag1,XGBoost,Config_A,0.5100574712643678,0.5039346246973365,0.4845750873108265,0.5095674598910591,0.5151797948938858,0.5097393030197719,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material_lag1,LightGBM,Config_A,0.5133620689655173,0.507359567437669,0.4915599534342258,0.5129797747377131,0.5159402133912279,0.5130898518589971,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material_lag1,Logistic_Regression,Config_LLM,0.492816091954023,0.4915830945558739,0.7988940628637952,0.4441196434227793,0.4938361298344695,0.4966377238269032,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_direct_material_lag1,Random_Forest,Config_LLM,0.5147988505747126,0.5093502377179081,0.4676949941792782,0.5134311893946353,0.5121378318505139,0.5142107206991737,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
