cutoff,model,ba_A,ba_C,delta_C_minus_A
2023Q4,LightGBM,0.6898801038590775,0.6898801038590775,0.0
2023Q4,Logistic_Regression,0.6941884736788515,0.6587287445270339,-0.03545972915181761
2023Q4,Random_Forest,0.7005714794827411,0.7040843600448019,0.003512880562060783
2023Q4,XGBoost,0.6995787088891152,0.6995787088891152,0.0
2024Q1,LightGBM,0.6978103442894154,0.6978103442894154,0.0
2024Q1,Logistic_Regression,0.6862611979898243,0.6974357773824016,0.011174579392577266
2024Q1,Random_Forest,0.6894294097449825,0.6949854855323532,0.005556075787370718
2024Q1,XGBoost,0.6893669819271467,0.6893669819271467,0.0
2024Q3,LightGBM,0.7229477611940298,0.7229477611940298,0.0
2024Q3,Logistic_Regression,0.746087271973466,0.6656301824212272,-0.08045708955223885
2024Q3,Random_Forest,0.7056384742951907,0.7180503731343284,0.012411898839137736
2024Q3,XGBoost,0.7041614842454395,0.7232587064676617,0.01909722222222221
2025Q1,LightGBM,0.7598997493734336,0.7429824561403509,-0.016917293233082775
2025Q1,Logistic_Regression,0.7269423558897243,0.7058897243107769,-0.021052631578947434
2025Q1,Random_Forest,0.7350877192982456,0.7422305764411028,0.0071428571428572285
2025Q1,XGBoost,0.7293233082706767,0.7276942355889724,-0.0016290726817043133
2025Q3,LightGBM,0.6399879190576865,0.6432346723044398,0.0032467532467532756
2025Q3,Logistic_Regression,0.5979311386288131,0.6032165508909695,0.005285412262156397
2025Q3,Random_Forest,0.6755511929930534,0.6716248867411658,-0.003926306251887612
2025Q3,XGBoost,0.641875566294171,0.6522953790395651,0.010419812745394164
