variant,ticker,horizon,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid,delta_ci_low,delta_ci_high,delta_boot_mean
vn30_direct_material,ALL,10d,LightGBM,6960,0.5130898518589971,0.5066981245515534,-0.006391727307443751,972,929,1901,0.3241489987886483,-0.018829938084733953,0.006788747401774602,-0.006028069869430435
vn30_direct_material,ALL,10d,Logistic_Regression,6960,0.494614841320914,0.5066644291133872,0.012049587792473171,454,541,995,0.00581158802625029,0.0026198859015383546,0.02080928972510491,0.012037973160494214
vn30_direct_material,ALL,10d,Random_Forest,6960,0.5117293159561774,0.5250806378083959,0.013351321852218434,773,865,1638,0.02302903513658612,0.0025141451368521973,0.025493067521775756,0.013686688383202672
vn30_direct_material,ALL,10d,XGBoost,6960,0.5097393030197719,0.5167681053517605,0.0070288023319886594,1019,1069,2088,0.27396949422446226,-0.00591978691163589,0.019843084010154985,0.007297852142824429
vn30_direct_material,ALL,1d,LightGBM,7020,0.5208604954367666,0.5274565628076524,0.006596067370885805,863,924,1787,0.14911256000123538,-0.00468174978507715,0.0188408184418667,0.006649354146480995
vn30_direct_material,ALL,1d,Logistic_Regression,7020,0.5157438203443045,0.523771385998989,0.008027565654684432,512,605,1117,0.005389352264093644,-0.0016246537042357845,0.0177300342568957,0.008062181117209419
vn30_direct_material,ALL,1d,Random_Forest,7020,0.520895085543996,0.5178431737753771,-0.0030519117686188535,940,927,1867,0.7635884266451899,-0.015532588939925268,0.008045715019174064,-0.0030313039107658286
vn30_direct_material,ALL,1d,XGBoost,7020,0.5055636857089642,0.517454700263417,0.01189101455445285,1190,1281,2471,0.06718664294905295,-0.0017945699879852448,0.02470951249583404,0.011666164531106159
vn30_direct_material,ALL,20d,LightGBM,6900,0.4980979386016799,0.5131843656905025,0.01508642708882263,832,936,1768,0.013387733627228747,0.003708362985221109,0.026895056071940013,0.015396765877213166
vn30_direct_material,ALL,20d,Logistic_Regression,6900,0.4906021127517933,0.4944705954314229,0.0038684826796296368,407,434,841,0.352128338501851,-0.0035127999453793963,0.012914837585309862,0.00419742234480882
vn30_direct_material,ALL,20d,Random_Forest,6900,0.5044204989084027,0.5163595092651345,0.011939010356731838,809,892,1701,0.044202758196134444,0.0006696468401931888,0.02373562076361243,0.012234846437430771
vn30_direct_material,ALL,20d,XGBoost,6900,0.5117874369508405,0.5050935049955368,-0.006693931955303656,1026,982,2008,0.3262663231148075,-0.018610634269883096,0.0047636273372003105,-0.006461165282337736
vn30_direct_material,ALL,5d,LightGBM,6990,0.5203862376077307,0.5147635414406401,-0.005622696167090657,922,888,1810,0.4243270352214241,-0.017156124946034544,0.005893765858285131,-0.005613169376282917
vn30_direct_material,ALL,5d,Logistic_Regression,6990,0.5067024616391129,0.5000701433743683,-0.006632318264744641,740,695,1435,0.23501752784530613,-0.01753562230770193,0.003674106872390167,-0.006692971824671458
vn30_direct_material,ALL,5d,Random_Forest,6990,0.5169509330707656,0.5188299724605312,0.0018790393897656354,930,946,1876,0.7119092767682333,-0.010172565119649053,0.013712944896531154,0.001994000691566472
vn30_direct_material,ALL,5d,XGBoost,6990,0.5214237203914656,0.5104530835879582,-0.010970636803507405,1138,1068,2206,0.13619662150738526,-0.024291435988867592,0.0018541049193347512,-0.010906668170659944
vn30_direct_material,ALL,60d,LightGBM,6660,0.5219198455488893,0.5113219628089601,-0.010597882739929121,973,928,1901,0.30215140136757873,-0.023612735916101295,0.002688892333509084,-0.010525267341609289
vn30_direct_material,ALL,60d,Logistic_Regression,6660,0.511197814114295,0.5205766507794946,0.009378836665199564,263,339,602,0.0019440490523139273,0.0017997375906163154,0.01647172785161115,0.009320826369788496
vn30_direct_material,ALL,60d,Random_Forest,6660,0.4924368832379717,0.5201994993513864,0.02776261611341474,642,830,1472,9.35057763833956e-07,0.017462038457515816,0.03889097724289284,0.027932538641599173
vn30_direct_material,ALL,60d,XGBoost,6660,0.5069237328870254,0.5138128995923,0.006889166705274619,900,966,1866,0.1266223955901318,-0.005727525845495335,0.01933052244169131,0.007005782367568781
vn30_direct_material_lag1,ALL,10d,LightGBM,6960,0.5130898518589971,0.5174849592813754,0.004395107422378253,891,924,1815,0.43871254183104486,-0.007802419195058201,0.016570753769469485,0.004594196456677089
vn30_direct_material_lag1,ALL,10d,Logistic_Regression,6960,0.494614841320914,0.5113720452073856,0.01675720388647156,472,592,1064,0.0002325692953824973,0.008057761254718144,0.02640476311341919,0.016863414120166068
vn30_direct_material_lag1,ALL,10d,Random_Forest,6960,0.5117293159561774,0.5224215061464443,0.010692190190266904,789,864,1653,0.06513046304154534,0.000174397807268656,0.022337531006161718,0.010969272389832245
vn30_direct_material_lag1,ALL,10d,XGBoost,6960,0.5097393030197719,0.5194488747705737,0.009709571750801782,1005,1071,2076,0.14754596513617632,-0.003032536902072816,0.022196321394728335,0.00989064679058053
vn30_direct_material_lag1,ALL,1d,LightGBM,7020,0.5208604954367666,0.5225607322459622,0.001700236809195621,906,937,1843,0.4703612963249904,-0.011074859722649414,0.0143695614104325,0.00198095600082807
vn30_direct_material_lag1,ALL,1d,Logistic_Regression,7020,0.5157438203443045,0.5199664742037624,0.004222653859457859,484,547,1031,0.049814260600402484,-0.004465058515296388,0.012870335023731291,0.004286505780686151
vn30_direct_material_lag1,ALL,1d,Random_Forest,7020,0.520895085543996,0.5134262831599393,-0.007468802384056672,962,909,1871,0.2205789132152951,-0.019646126287973333,0.004233100961232354,-0.0075611954983506756
vn30_direct_material_lag1,ALL,1d,XGBoost,7020,0.5055636857089642,0.523742117446718,0.018178431737753797,1184,1332,2516,0.0031701339856331405,0.004401531269103923,0.031806576145563356,0.018169799446089704
vn30_direct_material_lag1,ALL,20d,LightGBM,6900,0.4980979386016799,0.5022497391996387,0.004151800597958777,904,933,1837,0.49877589341916284,-0.007906363534064806,0.016448472480573042,0.004201945469061155
vn30_direct_material_lag1,ALL,20d,Logistic_Regression,6900,0.4906021127517933,0.4906367292946022,3.461654280895177e-05,417,418,835,0.9724128364214054,-0.007871224842863457,0.008298283610443023,9.815624861474992e-05
vn30_direct_material_lag1,ALL,20d,Random_Forest,6900,0.5044204989084027,0.516638458105245,0.01221795919684232,790,875,1665,0.037266661594109754,0.000619950972849777,0.02396350186115997,0.012553509764889892
vn30_direct_material_lag1,ALL,20d,XGBoost,6900,0.5117874369508405,0.4978554547605476,-0.013931982190292902,1070,976,2046,0.03771726626862533,-0.02574787569568153,-0.0004532674094436108,-0.01345202300436342
vn30_direct_material_lag1,ALL,5d,LightGBM,6990,0.5203862376077307,0.5171949599035561,-0.0031912777041746,927,909,1836,0.6745190847612755,-0.01434729284762436,0.00876018829223529,-0.003129585674483564
vn30_direct_material_lag1,ALL,5d,Logistic_Regression,6990,0.5067024616391129,0.4971010136700914,-0.009601447969021515,735,670,1405,0.08297247912568104,-0.019391921029663334,0.0009965078313436302,-0.009598825749962866
vn30_direct_material_lag1,ALL,5d,Random_Forest,6990,0.5169509330707656,0.5217873842880152,0.0048364512172496266,898,936,1834,0.3750374176272746,-0.007425065410084369,0.018286335099372716,0.004854731671972202
vn30_direct_material_lag1,ALL,5d,XGBoost,6990,0.5214237203914656,0.5170752408966027,-0.004348479494862834,1192,1162,2354,0.5364554309198859,-0.018171243249583087,0.010166312539774205,-0.004142155480033346
vn30_direct_material_lag1,ALL,60d,LightGBM,6660,0.5219198455488893,0.5071883180059765,-0.014731527542912737,929,854,1783,0.07575680130377463,-0.027124023855004634,-0.000913735460599844,-0.014477322177014218
vn30_direct_material_lag1,ALL,60d,Logistic_Regression,6660,0.511197814114295,0.5225103662350298,0.011312552120734787,260,350,610,0.00026517028646188705,0.004014954488828643,0.0185059225619776,0.011333706194969224
vn30_direct_material_lag1,ALL,60d,Random_Forest,6660,0.4924368832379717,0.5216900075864626,0.029253124348490867,633,832,1465,1.9385425215460408e-07,0.018085053306870966,0.04083681428925965,0.02928792967842476
vn30_direct_material_lag1,ALL,60d,XGBoost,6660,0.5069237328870254,0.5132234647548009,0.006299731867775438,927,986,1913,0.177452144907962,-0.00640708325534822,0.0192131818657475,0.0065070954755445725
vn30_material,ALL,10d,LightGBM,6960,0.5130898518589971,0.5201330243043214,0.007043172445324264,870,919,1789,0.24679016124875255,-0.005073162685758042,0.01924900971325897,0.0072613488460646245
vn30_material,ALL,10d,Logistic_Regression,6960,0.494614841320914,0.5101751964576184,0.015560355136704451,450,562,1012,0.0004278820164146093,0.006295454283661399,0.02429958056302637,0.015574389361788267
vn30_material,ALL,10d,Random_Forest,6960,0.5117293159561774,0.5201075875519802,0.008378271595802733,801,859,1660,0.15467858846841512,-0.002038918631002759,0.02078474149279041,0.008508026850047621
vn30_material,ALL,10d,XGBoost,6960,0.5097393030197719,0.5062106969141585,-0.003528606105613341,1115,1092,2207,0.624517167063724,-0.017391496108333265,0.010324460095560857,-0.0035447130678378505
vn30_material,ALL,1d,LightGBM,7020,0.5208604954367666,0.5214432057047069,0.0005827102679403229,860,871,1731,0.7915477640562505,-0.010880140559994325,0.012004481210780744,0.0005130194618288346
vn30_material,ALL,1d,Logistic_Regression,7020,0.5157438203443045,0.5228108453290051,0.007067024984700576,549,623,1172,0.03067948544744161,-0.0021652447405667574,0.016808303466746617,0.007020454898847675
vn30_material,ALL,1d,Random_Forest,7020,0.520895085543996,0.5076896469148285,-0.013205438629167454,996,899,1895,0.025876042104679083,-0.024981213534633426,-0.0010383619792454562,-0.013250252634192534
vn30_material,ALL,1d,XGBoost,7020,0.5055636857089642,0.5075166963786819,0.0019530106697177585,1236,1262,2498,0.6029998938167912,-0.0119539112955119,0.01576432624864792,0.0018293088082193315
vn30_material,ALL,20d,LightGBM,6900,0.4980979386016799,0.5024197971672241,0.004321858565544179,876,906,1782,0.47742310263977533,-0.007552834285235191,0.016223776587096707,0.00455568112460098
vn30_material,ALL,20d,Logistic_Regression,6900,0.4906021127517933,0.4914258520374692,0.0008237392856759174,408,414,822,0.8343494377052795,-0.006611732883618615,0.009114425678950433,0.0010550368544363967
vn30_material,ALL,20d,Random_Forest,6900,0.5044204989084027,0.5070967273587645,0.0026762284503618616,823,842,1665,0.6415892592487881,-0.008837178877687358,0.014414636468065714,0.0028285460384753175
vn30_material,ALL,20d,XGBoost,6900,0.5117874369508405,0.5051156864695697,-0.006671750481270777,1043,998,2041,0.31933355303551786,-0.018856174199849942,0.006486402511579028,-0.006378524485659623
vn30_material,ALL,5d,LightGBM,6990,0.5203862376077307,0.5208318446986359,0.0004456070909051313,926,933,1859,0.8710684117771105,-0.011449360984974113,0.01170682347879635,0.0003847995460325149
vn30_material,ALL,5d,Logistic_Regression,6990,0.5067024616391129,0.4978827517442428,-0.008819709894870131,730,670,1400,0.10890270308516223,-0.01934128662053182,0.0015078485656101605,-0.008781693249385113
vn30_material,ALL,5d,Random_Forest,6990,0.5169509330707656,0.5182133499230062,0.0012624168522405999,922,934,1856,0.7806619820959357,-0.010824066577549182,0.013501633325372799,0.0014066622289462159
vn30_material,ALL,5d,XGBoost,6990,0.5214237203914656,0.5136837759686177,-0.0077399444228478664,1129,1080,2209,0.2972630334479314,-0.020848522781112513,0.005146540559851468,-0.007863597188641989
vn30_material,ALL,60d,LightGBM,6660,0.5219198455488893,0.5048494000324307,-0.017070445516458532,944,854,1798,0.03381638288415201,-0.029519726589506037,-0.004196633032747502,-0.016973931972268253
