variant,ticker,horizon,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid,delta_ci_low,delta_ci_high,delta_boot_mean
vn30_material,ALL,60d,Logistic_Regression,6660,0.511197814114295,0.5213036264449026,0.010105812330607589,275,356,631,0.0012552627128680088,0.002427430467181277,0.017598925589260437,0.010075351531867184
vn30_material,ALL,60d,Random_Forest,6660,0.4924368832379717,0.5215305688109523,0.029093685572980588,609,807,1416,1.3773690589396584e-07,0.0180224718235689,0.040079457419730874,0.02891838673138211
vn30_material,ALL,60d,XGBoost,6660,0.5069237328870254,0.5075319891009752,0.000608256213949776,965,985,1950,0.6507076434395742,-0.01216217821175002,0.013525297236015789,0.0005530353292515154
vn30_material_lag1,ALL,10d,LightGBM,6960,0.5130898518589971,0.512562782529642,-0.0005270693293550899,915,914,1829,0.9813510155522269,-0.012367752756272795,0.012423771255660668,-0.00040957268471845324
vn30_material_lag1,ALL,10d,Logistic_Regression,6960,0.494614841320914,0.5039175902079736,0.009302748887059564,514,581,1095,0.042940743520835004,-0.0006021112381094123,0.01916919644239142,0.009433158801118826
vn30_material_lag1,ALL,10d,Random_Forest,6960,0.5117293159561774,0.5203005104528535,0.008571194496676093,844,904,1748,0.1513564610862353,-0.0018920746155969557,0.020642369247672942,0.008939682215173293
vn30_material_lag1,ALL,10d,XGBoost,6960,0.5097393030197719,0.5244698254047747,0.014730522385002831,995,1099,2094,0.02305336165574608,0.0019782642857101187,0.027719926573996176,0.014813588232594713
vn30_material_lag1,ALL,1d,LightGBM,7020,0.5208604954367666,0.5274831705824442,0.006622675145677603,855,916,1771,0.1472890876333662,-0.005323346699065073,0.017612847349184273,0.006637704901159793
vn30_material_lag1,ALL,1d,Logistic_Regression,7020,0.5157438203443045,0.5201766756246176,0.004432855280313008,491,555,1046,0.047887048253439785,-0.004416860253283361,0.013106559415616871,0.004412220460967163
vn30_material_lag1,ALL,1d,Random_Forest,7020,0.520895085543996,0.5238884602080728,0.0029933746640767867,910,935,1845,0.5606675968263666,-0.008428021811765708,0.014659589861549126,0.0028806542190777515
vn30_material_lag1,ALL,1d,XGBoost,7020,0.5055636857089642,0.5192720112816965,0.013708325572732383,1190,1298,2488,0.03038500009942848,-0.0010401580384021445,0.02685978297154514,0.013414433578722655
vn30_material_lag1,ALL,20d,LightGBM,6900,0.4980979386016799,0.5025701942828259,0.004472255681146009,875,906,1781,0.4627402206574859,-0.006997926283772426,0.016833614225819752,0.004801982046559336
vn30_material_lag1,ALL,20d,Logistic_Regression,6900,0.4906021127517933,0.4906953757676134,9.326301582013308e-05,460,462,922,0.9475172518798698,-0.007673629957595232,0.009330654931111565,0.0003676446030597235
vn30_material_lag1,ALL,20d,Random_Forest,6900,0.5044204989084027,0.5117958390243378,0.007375340115935103,827,878,1705,0.21691007099468884,-0.004222100893551952,0.02022131705419928,0.007782658794939346
vn30_material_lag1,ALL,20d,XGBoost,6900,0.5117874369508405,0.4999260617532237,-0.01186137519761682,1031,951,1982,0.07238738135904621,-0.023351694327084394,0.0009486184035521261,-0.011535591605602882
vn30_material_lag1,ALL,5d,LightGBM,6990,0.5203862376077307,0.5225414255624745,0.002155187954743787,931,950,1881,0.6614198213551072,-0.009732620689509171,0.014361502543468423,0.0021336711567564092
vn30_material_lag1,ALL,5d,Logistic_Regression,6990,0.5067024616391129,0.4976679786318371,-0.009034483007275829,760,697,1457,0.09892692834031702,-0.019791117232950593,0.0020544893978360207,-0.008981158541240963
vn30_material_lag1,ALL,5d,Random_Forest,6990,0.5169509330707656,0.5185435809962589,0.0015926479254932957,924,938,1862,0.7456785488117839,-0.01093043312221719,0.014492233618654147,0.0016974428595945951
vn30_material_lag1,ALL,5d,XGBoost,6990,0.5214237203914656,0.5248604179627349,0.003436697571269298,1108,1132,2240,0.6121791091049016,-0.00984425118594095,0.016044523036791117,0.0033407341646800423
vn30_material_lag1,ALL,60d,LightGBM,6660,0.5219198455488893,0.5178091845421483,-0.004110661006740957,900,898,1798,0.9623925847114138,-0.01635896294983891,0.008705011190891303,-0.003912165877363305
vn30_material_lag1,ALL,60d,Logistic_Regression,6660,0.511197814114295,0.5195878046167388,0.008389990502443823,261,333,594,0.003127529075213481,0.0014472941328004447,0.015878753343918247,0.008496275986644783
vn30_material_lag1,ALL,60d,Random_Forest,6660,0.4924368832379717,0.5193101893140911,0.02687330607611943,631,811,1442,2.091386608053961e-06,0.015238743719944122,0.037818577666681084,0.027000278819933884
vn30_material_lag1,ALL,60d,XGBoost,6660,0.5069237328870254,0.5077308803771226,0.0008071474900971376,917,941,1858,0.57778770946948,-0.011505562783426316,0.013612160533226324,0.0009707890160724679
