cutoff,n_test,balanced_accuracy,auc_roc,strategy_cumulative_return_net,buy_hold_cumulative_return
2024Q3,556,0.7229477611940298,0.7969656923714759,0.6563161481250483,0.28176241976194016
2025Q1,400,0.7598997493734336,0.8235087719298245,0.6029637241532273,0.2535019227787234
2025Q3,240,0.6399879190576865,0.7097553609181516,0.11822656976213186,0.00719634361017385
