model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_A,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_A,0.7275,0.7120418848167539,0.7157894736842105,0.7268837815320818,0.7785714285714286,0.7269423558897243
Random_Forest,Config_A,0.735,0.7142857142857143,0.7368421052631579,0.7346749768466372,0.8096365914786967,0.7350877192982456
XGBoost,Config_A,0.73,0.7157894736842105,0.7157894736842105,0.7293233082706767,0.8068170426065163,0.7293233082706767
LightGBM,Config_A,0.76,0.7422680412371134,0.7578947368421053,0.7596153846153846,0.8235087719298245,0.7598997493734336
Majority_Class,Config_B,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_B,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_B,0.4675,0.45660377358490567,0.6368421052631579,0.4572384137601529,0.4951378446115289,0.4755639097744361
Random_Forest,Config_B,0.5,0.4789915966386555,0.6,0.4975379358858406,0.5056892230576442,0.5047619047619047
XGBoost,Config_B,0.49,0.4692982456140351,0.5631578947368421,0.4889651544377364,0.48129072681704266,0.49348370927318297
LightGBM,Config_B,0.4875,0.46887966804979253,0.5947368421052631,0.48440319670018045,0.4923182957393484,0.4926065162907268
Majority_Class,Config_C,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_C,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_C,0.7275,0.7076923076923077,0.7263157894736842,0.7271162572367391,0.7796741854636591,0.7274436090225564
Random_Forest,Config_C,0.7375,0.7135678391959799,0.7473684210526316,0.7373013341339387,0.8129699248120301,0.73796992481203
XGBoost,Config_C,0.7475,0.7236180904522613,0.7578947368421053,0.7473089023574078,0.8058145363408521,0.7479949874686718
LightGBM,Config_C,0.7475,0.7192118226600985,0.7684210526315789,0.7474226481860069,0.8243358395989975,0.7484962406015037
