model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_A,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_A,0.7275,0.7120418848167539,0.7157894736842105,0.7268837815320818,0.7785714285714286,0.7269423558897243
Random_Forest,Config_A,0.735,0.7142857142857143,0.7368421052631579,0.7346749768466372,0.8096365914786967,0.7350877192982456
XGBoost,Config_A,0.73,0.7157894736842105,0.7157894736842105,0.7293233082706767,0.8068170426065163,0.7293233082706767
LightGBM,Config_A,0.76,0.7422680412371134,0.7578947368421053,0.7596153846153846,0.8235087719298245,0.7598997493734336
Majority_Class,Config_B,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_B,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_B,0.53,0.625,0.02631578947368421,0.36910634585053187,0.492406015037594,0.506015037593985
Random_Forest,Config_B,0.535,0.75,0.031578947368421054,0.3758179804691433,0.5023684210526316,0.5110275689223058
XGBoost,Config_B,0.4675,0.4707379134860051,0.9736842105263158,0.3265407751104647,0.5029323308270677,0.49160401002506265
LightGBM,Config_B,0.5375,0.6666666666666666,0.05263157894736842,0.39331830293092845,0.5093107769423558,0.5144110275689223
Majority_Class,Config_C,0.475,0.475,1.0,0.3220338983050847,0.5,0.5
Naive_Momentum,Config_C,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374
Logistic_Regression,Config_C,0.7075,0.6994535519125683,0.6736842105263158,0.7061611969536199,0.7518045112781955,0.7058897243107769
Random_Forest,Config_C,0.7425,0.7253886010362695,0.7368421052631579,0.742034049001008,0.8108145363408523,0.7422305764411028
XGBoost,Config_C,0.7275,0.7055837563451777,0.7315789473684211,0.7272118675350839,0.8090225563909774,0.7276942355889724
LightGBM,Config_C,0.7425,0.7185929648241206,0.7526315789473684,0.7423051182456732,0.8183458646616542,0.7429824561403509
