universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
liquid100_mat10,any_relevance,1week,LightGBM,1344,0.6996798099517132,0.6990041400917534,-0.0006756698599598154,61,56,117,0.6454967635578218
liquid100_mat10,any_relevance,1week,Logistic_Regression,1344,0.675730110775428,0.6812688821752266,0.0055387713997986365,26,37,63,0.16864291143970342
liquid100_mat10,any_relevance,1week,Random_Forest,1344,0.6317513190624973,0.6273917421953675,-0.004359576867129733,40,35,75,0.5665734423986843
liquid100_mat10,any_relevance,1week,XGBoost,1344,0.6726401046642738,0.6560367013539219,-0.016603403310351927,96,74,170,0.09220360536584948
liquid100_mat10,any_relevance,2month,LightGBM,140,0.6662439230606637,0.6306277742549145,-0.03561614880574926,10,5,15,0.2101135253906249
liquid100_mat10,any_relevance,2month,Logistic_Regression,140,0.5764109067850349,0.5703868103994927,-0.006024096385542244,1,0,1,0.4999999999999999
liquid100_mat10,any_relevance,2month,Random_Forest,140,0.6574719932361024,0.6782921158317481,0.020820122595645696,3,6,9,0.34374999999999994
liquid100_mat10,any_relevance,2month,XGBoost,140,0.5714436694145001,0.6602198266751216,0.08877615726062149,3,15,18,0.0044250488281250035
liquid100_mat10,any_relevance,2week,LightGBM,672,0.6898316858135186,0.6849425594442959,-0.004889126369222674,26,27,53,0.8919231511047493
liquid100_mat10,any_relevance,2week,Logistic_Regression,672,0.6551536200908362,0.657691691156826,0.0025380710659898,2,3,5,0.6875000000000002
liquid100_mat10,any_relevance,2week,Random_Forest,672,0.6556078012289608,0.6741811381244991,0.018573336895538306,18,30,48,0.08543313315739452
liquid100_mat10,any_relevance,2week,XGBoost,672,0.6481699171787336,0.6695271172855999,0.02135720010686626,31,40,71,0.288784280414105
liquid100_mat10,any_relevance,month,LightGBM,308,0.7034259259259259,0.6780555555555556,-0.025370370370370265,18,7,25,0.028959274291992188
liquid100_mat10,any_relevance,month,Logistic_Regression,308,0.6192592592592592,0.6217592592592592,0.0025000000000000577,1,2,3,0.6249999999999999
liquid100_mat10,any_relevance,month,Random_Forest,308,0.7149074074074073,0.7149074074074073,0.0,7,7,14,0.7905273437500002
liquid100_mat10,any_relevance,month,XGBoost,308,0.6724074074074073,0.6616666666666666,-0.010740740740740717,16,10,26,0.24778856337070473
liquid100_mat10,any_relevance,quarter,LightGBM,84,0.6587301587301587,0.5873015873015873,-0.0714285714285714,7,2,9,0.10937499999999997
liquid100_mat10,any_relevance,quarter,Logistic_Regression,84,0.5873015873015872,0.5873015873015873,1.1102230246251565e-16,3,1,4,0.375
liquid100_mat10,any_relevance,quarter,Random_Forest,84,0.6031746031746031,0.6031746031746031,0.0,1,1,2,0.4999999999999998
liquid100_mat10,any_relevance,quarter,XGBoost,84,0.5952380952380952,0.6428571428571428,0.04761904761904756,5,9,14,0.3017578125000001
liquid100_mat10,direct,1week,LightGBM,1344,0.6996798099517132,0.6933922069873732,-0.0062876029643399445,53,46,99,0.48411841360729185
