segment_type,segment_name,n_samples,keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any
sector,Banking,425,vi phạm,negative,12,0,0.0,1.0,1.0,chi_square,22528.0,0.92431997255206,0.9490576406314507,,,,,,False,False,False,False
sector,Banking,425,khởi tố,negative,1,0,inf,1.0,1.0,fisher_exact,22666.5,0.33217778678993615,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,đại hội cổ đông,neutral,20,0,2.2062782679006316,0.13744991715549965,0.903523357885178,chi_square,23340.0,0.09452824209050664,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,thay CEO,neutral,1,0,inf,1.0,1.0,fisher_exact,22666.5,0.33217778678993615,0.5812036498075347,,,,,,False,False,False,False
sector,Banking,425,sáp nhập,neutral,3,0,0.47235023041474655,0.6145991451578623,1.0,fisher_exact,22449.5,0.5381031003344274,0.7399891335297363,,,,,,False,False,False,False
sector,Banking,425,mua lại,neutral,51,0,0.010309936890511299,0.9191235053930707,1.0,chi_square,22867.0,0.6709304597352101,0.8051165516822522,,,,,,False,False,False,False
sector,Banking,425,thoái vốn,neutral,8,0,inf,0.007447644675529781,0.31280107637225085,fisher_exact,23391.0,0.005480613083401579,0.23018574950286633,,,,,,False,False,False,False
sector,Banking,425,doanh thu tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lợi nhuận sau thuế tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lãi khủng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,doanh thu kỷ lục,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lợi nhuận cải thiện,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,cổ tức cao,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,phát hành thưởng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,giảm nợ,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,cải thiện tài chính,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,dòng tiền dương,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,tiền mặt dồi dào,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
