universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
HOSE100_quality,direct_indirect,2month,Logistic_Regression,488,0.6263127900350077,0.619270536513881,-0.007042253521126751,7,5,12,0.5810546875
HOSE100_quality,direct_indirect,2month,Random_Forest,488,0.6908328584222097,0.6881258650166897,-0.002706993405519942,15,16,31,0.860050065908581
HOSE100_quality,direct_indirect,2month,XGBoost,488,0.6575958642025563,0.6816127981763414,0.024016933973785015,30,38,68,0.3355576182340152
HOSE100_quality,direct_indirect,2week,LightGBM,2400,0.7155108765766955,0.7173126293674048,0.0018017527907092656,63,74,137,0.3491151663767812
HOSE100_quality,direct_indirect,2week,Logistic_Regression,2400,0.6806791481115921,0.6803902977360866,-0.00028885037550552273,2,1,3,0.6249999999999999
HOSE100_quality,direct_indirect,2week,Random_Forest,2400,0.687285143246471,0.6952861691186566,0.008001025872185541,64,79,143,0.21115264054329347
HOSE100_quality,direct_indirect,2week,XGBoost,2400,0.6956242406343828,0.7022820474958098,0.006657806861427029,147,151,298,0.8171092142290026
HOSE100_quality,direct_indirect,month,LightGBM,1088,0.6825638224352051,0.684494324365707,0.0019305019305019266,47,50,97,0.7620362195292425
HOSE100_quality,direct_indirect,month,Logistic_Regression,1088,0.7217863246802154,0.691874924993896,-0.029911399686319395,78,48,126,0.007519595098399954
HOSE100_quality,direct_indirect,month,Random_Forest,1088,0.7028392655402302,0.6925453243781218,-0.010293941162108466,48,35,83,0.15565646371399716
HOSE100_quality,direct_indirect,month,XGBoost,1088,0.667442591879891,0.6571507198516845,-0.010291872028206472,80,70,150,0.4158554937643098
HOSE100_quality,direct_indirect,quarter,LightGBM,388,0.7008928571428572,0.6783126293995859,-0.022580227743271286,24,13,37,0.07295138851623056
HOSE100_quality,direct_indirect,quarter,Logistic_Regression,388,0.604684265010352,0.6145833333333333,0.009899068322981264,2,6,8,0.17968749999999994
HOSE100_quality,direct_indirect,quarter,Random_Forest,388,0.6961697722567288,0.713185817805383,0.017016045548654213,13,18,31,0.3770855874754488
HOSE100_quality,direct_indirect,quarter,XGBoost,388,0.6953286749482401,0.6847179089026916,-0.010610766045548559,19,19,38,0.8714146793645343
HOSE100_quality,indirect_only,1week,LightGBM,4888,0.7109460249491262,0.7109460249491262,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,1week,Logistic_Regression,4888,0.6882435520738569,0.6881069027161089,-0.0001366493577480421,1,0,1,0.4999999999999999
HOSE100_quality,indirect_only,1week,Random_Forest,4888,0.6498761038410589,0.6482581042853639,-0.0016179995556949711,118,120,238,0.897100788341282
HOSE100_quality,indirect_only,1week,XGBoost,4888,0.6735175546058172,0.6918500277190276,0.0183324731132104,203,264,467,0.004754142956148239
HOSE100_quality,indirect_only,2month,LightGBM,488,0.6817959781812262,0.6817959781812262,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,2month,Logistic_Regression,488,0.6263127900350077,0.6263127900350077,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,2month,Random_Forest,488,0.6908328584222097,0.6935398518277294,0.00270699340551972,13,12,25,0.8450189828872682
HOSE100_quality,indirect_only,2month,XGBoost,488,0.6575958642025563,0.6633762110233656,0.005780346820809301,21,25,46,0.5600646295802107
HOSE100_quality,indirect_only,2week,LightGBM,2400,0.7155108765766955,0.7155108765766955,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,2week,Logistic_Regression,2400,0.6806791481115921,0.6806791481115921,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,2week,Random_Forest,2400,0.687285143246471,0.7005865087445241,0.013301365498053053,56,83,139,0.022154955980559474
HOSE100_quality,indirect_only,2week,XGBoost,2400,0.6956242406343828,0.6956242406343828,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,month,LightGBM,1088,0.6825638224352051,0.6825638224352051,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,month,Logistic_Regression,1088,0.7217863246802154,0.6995948635820018,-0.022191461098213572,70,49,119,0.05477979691370258
HOSE100_quality,indirect_only,month,Random_Forest,1088,0.7028392655402302,0.6986637533261328,-0.004175512214097399,35,39,74,0.6444639138942256
HOSE100_quality,indirect_only,month,XGBoost,1088,0.667442591879891,0.667442591879891,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,quarter,LightGBM,388,0.7008928571428572,0.7008928571428572,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,quarter,Logistic_Regression,388,0.604684265010352,0.6380046583850931,0.03332039337474113,48,62,110,0.1836571719017746
HOSE100_quality,indirect_only,quarter,Random_Forest,388,0.6961697722567288,0.6880822981366459,-0.008087474120082927,17,14,31,0.5966148958541452
HOSE100_quality,indirect_only,quarter,XGBoost,388,0.6953286749482401,0.6953286749482401,0.0,0,0,0,1.0
