event_variant,universe,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
core_material,HOSE100_quality_core_material,Logistic_Regression,Config_A,0.6853518821603928,0.42332506203473946,0.694060211554109,0.6452188712611271,0.7509688317158156,0.6882435520738569,direct,1week,0.02,24489,247,4888,16,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,Random_Forest,Config_A,0.7917348608837971,0.654014598540146,0.3645240032546786,0.6693229898082572,0.7746644307614716,0.6498761038410589,direct,1week,0.02,24489,247,4888,16,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,XGBoost,Config_A,0.7207446808510638,0.4563543003851091,0.5785191212367778,0.6574595693278427,0.7533077706007524,0.6735175546058172,direct,1week,0.02,24489,247,4888,16,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,LightGBM,Config_A,0.7217675941080196,0.4641095890410959,0.6891781936533767,0.6761808229416861,0.7846419464383441,0.7109460249491262,direct,1week,0.02,24489,247,4888,16,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,Logistic_Regression,Config_LLM,0.28109656301145663,0.2507091424830897,0.9349064279902359,0.25445527295556775,0.5007253868266461,0.49819931948842217,direct,1week,0.02,24489,247,4888,36,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,Random_Forest,Config_LLM,0.28518821603927985,0.25093468220804926,0.9283970707892596,0.2607915512465374,0.5011726938780865,0.4987708229048785,direct,1week,0.02,24489,247,4888,36,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,XGBoost,Config_LLM,0.28600654664484454,0.25148384260276985,0.9308380797396257,0.2615241507912142,0.5035895751550342,0.5001279767378096,direct,1week,0.02,24489,247,4888,36,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,LightGBM,Config_LLM,0.28477905073649756,0.25169769989047097,0.9349064279902359,0.2593332058467453,0.5045994906281224,0.5006590079278865,direct,1week,0.02,24489,247,4888,36,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,Logistic_Regression,Config_Hybrid,0.685556464811784,0.42353525322740815,0.694060211554109,0.6453945077055839,0.7510637857853979,0.6883802014316049,direct,1week,0.02,24489,247,4888,52,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,Random_Forest,Config_Hybrid,0.7927577741407529,0.6661538461538462,0.35231895850284783,0.6663034439618173,0.7741868807276817,0.6465065686201039,direct,1week,0.02,24489,247,4888,52,1036,1132,0.25143207855973815
core_material,HOSE100_quality_core_material,XGBoost,Config_Hybrid,0.7229950900163666,0.46209824135839905,0.6200162733930025,0.6666228097658908,0.7620940240978752,0.6888001563740087,direct,1week,0.02,24489,247,4888,52,1036,1132,0.25143207855973815
