cutoff,test_quarters,test_samples,model,Config_A,Config_C,delta_C_minus_A,auc_A,auc_C,auc_delta_C_minus_A
2024Q1,9,269,LightGBM,0.6813676355941641,0.6875765675464974,0.006208931952333296,0.7725247800423211,0.7813787726918364,0.008853992649515363
2024Q1,9,269,Logistic_Regression,0.6766343690834169,0.6753536028510969,-0.0012807662323199853,0.7292571555852543,0.7310947767011917,0.0018376211159374378
2024Q1,9,269,Random_Forest,0.6933400155919367,0.7031963470319634,0.009856331440026733,0.7568493150684932,0.7573504844637488,0.000501169395255574
2024Q1,9,269,XGBoost,0.7072613876823699,0.691001225080744,-0.016260162601625883,0.775865909344025,0.7811003452500278,0.00523443590600281
2024Q3,7,209,LightGBM,0.7130807522123894,0.6901733038348083,-0.022907448377581074,0.7817109144542773,0.7702802359882005,-0.011430678466076816
2024Q3,7,209,Logistic_Regression,0.6696165191740413,0.6792496312684366,0.009633112094395324,0.7492625368731564,0.7493547197640118,9.218289085544118e-05
2024Q3,7,209,Random_Forest,0.7354811946902655,0.6873156342182891,-0.0481655604719764,0.8128687315634219,0.7740597345132744,-0.03880899705014751
2024Q3,7,209,XGBoost,0.7070888643067846,0.7159384218289085,0.008849557522123908,0.7829092920353983,0.8064159292035399,0.02350663716814161
2025Q1,5,150,LightGBM,0.7227669816366553,0.7213407024425031,-0.001426279194152169,0.8021037618113745,0.8122660010697095,0.010162239258334926
2025Q1,5,150,Logistic_Regression,0.7249064004278838,0.6974505259404529,-0.02745587448743092,0.7534319843109288,0.7548582635050812,0.0014262791941523911
2025Q1,5,150,Random_Forest,0.7755393118202889,0.7466571581387056,-0.02888215368158331,0.8297379211980745,0.796666072383669,-0.0330718488144055
2025Q1,5,150,XGBoost,0.7298092351577821,0.7354252094847566,0.005615974326974582,0.8144054198609377,0.8270636477090391,0.012658227848101333
2025Q3,3,90,LightGBM,0.6950000000000001,0.6699999999999999,-0.025000000000000133,0.771,0.759,-0.01200000000000001
2025Q3,3,90,Logistic_Regression,0.5375,0.5175000000000001,-0.019999999999999907,0.6075,0.605,-0.0025000000000000577
2025Q3,3,90,Random_Forest,0.6975,0.63,-0.0675,0.799,0.741,-0.05800000000000005
2025Q3,3,90,XGBoost,0.7050000000000001,0.6475,-0.05750000000000011,0.7755,0.7765,0.0010000000000000009
2026Q1,3,90,LightGBM,0.6950000000000001,0.6699999999999999,-0.025000000000000133,0.771,0.759,-0.01200000000000001
2026Q1,3,90,Logistic_Regression,0.5375,0.5175000000000001,-0.019999999999999907,0.6075,0.605,-0.0025000000000000577
2026Q1,3,90,Random_Forest,0.6975,0.63,-0.0675,0.799,0.741,-0.05800000000000005
2026Q1,3,90,XGBoost,0.7050000000000001,0.6475,-0.05750000000000011,0.7755,0.7765,0.0010000000000000009
