model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
Logistic_Regression,Config_A,0.6909722222222222,0.45143884892086333,0.6419437340153452,0.6499414657116901,0.7338105466416682,0.675595317913297,direct,1week,0.02,7320,244,1440,16,263,279,0.27152777777777776
Random_Forest,Config_A,0.7680555555555556,0.6432160804020101,0.3273657289002558,0.6440233883502331,0.7613620571534454,0.6298411103986503,direct,1week,0.02,7320,244,1440,16,263,279,0.27152777777777776
XGBoost,Config_A,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,direct,1week,0.02,7320,244,1440,16,263,279,0.27152777777777776
LightGBM,Config_A,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,direct,1week,0.02,7320,244,1440,16,263,279,0.27152777777777776
Logistic_Regression,Config_LLM,0.30486111111111114,0.2737388724035608,0.9437340153452686,0.2735406075701076,0.4998451819903989,0.5052321173008516,direct,1week,0.02,7320,244,1440,36,263,279,0.27152777777777776
Random_Forest,Config_LLM,0.3138888888888889,0.27403482210446634,0.9258312020460358,0.2885033926513891,0.5034730433807377,0.5058135991164402,direct,1week,0.02,7320,244,1440,36,263,279,0.27152777777777776
XGBoost,Config_LLM,0.31319444444444444,0.27586206896551724,0.9411764705882353,0.2851948051948052,0.5111237349418152,0.5101497224247182,direct,1week,0.02,7320,244,1440,36,263,279,0.27152777777777776
LightGBM,Config_LLM,0.30416666666666664,0.27387120651369357,0.9462915601023018,0.27215349506354936,0.5029573896952158,0.5055576008328477,direct,1week,0.02,7320,244,1440,36,263,279,0.27152777777777776
Logistic_Regression,Config_Hybrid,0.69375,0.4548736462093863,0.6445012787723785,0.6527131782945736,0.7342494008421124,0.6783040235615945,direct,1week,0.02,7320,244,1440,52,263,279,0.27152777777777776
Random_Forest,Config_Hybrid,0.7777777777777778,0.6858638743455497,0.3350383631713555,0.6554601491211542,0.7749482517755312,0.6389205161900628,direct,1week,0.02,7320,244,1440,52,263,279,0.27152777777777776
XGBoost,Config_Hybrid,0.7458333333333333,0.5304136253041363,0.5575447570332481,0.6837550013320884,0.745125670776455,0.6867800048273962,direct,1week,0.02,7320,244,1440,52,263,279,0.27152777777777776
LightGBM,Config_Hybrid,0.7166666666666667,0.48296593186372744,0.6163682864450127,0.6682739540398622,0.7638111073998133,0.6852098820213623,direct,1week,0.02,7320,244,1440,52,263,279,0.27152777777777776
Logistic_Regression,Config_A,0.7125,0.5323741007194245,0.6577777777777778,0.6837756810259044,0.7462805836139169,0.6975757575757575,direct,2week,0.02,3690,123,720,16,257,279,0.3125
Random_Forest,Config_A,0.7736111111111111,0.7039473684210527,0.47555555555555556,0.707149826201307,0.7851447811447811,0.6923232323232323,direct,2week,0.02,3690,123,720,16,257,279,0.3125
XGBoost,Config_A,0.7361111111111112,0.5764192139737991,0.5866666666666667,0.6944000142970753,0.7686644219977553,0.6953535353535354,direct,2week,0.02,3690,123,720,16,257,279,0.3125
LightGBM,Config_A,0.7333333333333333,0.5652173913043478,0.6355555555555555,0.6993710801242181,0.7716184062850728,0.7066666666666667,direct,2week,0.02,3690,123,720,16,257,279,0.3125
Logistic_Regression,Config_LLM,0.6486111111111111,0.325,0.11555555555555555,0.4737921571459522,0.49955555555555564,0.5032323232323233,direct,2week,0.02,3690,123,720,36,257,279,0.3125
Random_Forest,Config_LLM,0.6458333333333334,0.25806451612903225,0.07111111111111111,0.44516803611847294,0.4788282828282828,0.4890909090909091,direct,2week,0.02,3690,123,720,36,257,279,0.3125
XGBoost,Config_LLM,0.6388888888888888,0.2891566265060241,0.10666666666666667,0.4630810885227846,0.48603815937149264,0.49373737373737375,direct,2week,0.02,3690,123,720,36,257,279,0.3125
LightGBM,Config_LLM,0.6444444444444445,0.2876712328767123,0.09333333333333334,0.45838573561043267,0.4857687991021325,0.49414141414141416,direct,2week,0.02,3690,123,720,36,257,279,0.3125
Logistic_Regression,Config_Hybrid,0.7125,0.5321428571428571,0.6622222222222223,0.6843543177847196,0.7463164983164983,0.6987878787878787,direct,2week,0.02,3690,123,720,52,257,279,0.3125
Random_Forest,Config_Hybrid,0.7708333333333334,0.6973684210526315,0.4711111111111111,0.7035565725350654,0.7862312008978676,0.6890909090909091,direct,2week,0.02,3690,123,720,52,257,279,0.3125
XGBoost,Config_Hybrid,0.7458333333333333,0.5882352941176471,0.6222222222222222,0.7087217669464642,0.763070707070707,0.7121212121212122,direct,2week,0.02,3690,123,720,52,257,279,0.3125
LightGBM,Config_Hybrid,0.7486111111111111,0.5887096774193549,0.6488888888888888,0.7150796583229666,0.7763950617283951,0.7214141414141414,direct,2week,0.02,3690,123,720,52,257,279,0.3125
Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,direct,month,0.02,1680,56,330,16,232,279,0.3787878787878788
Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,direct,month,0.02,1680,56,330,16,232,279,0.3787878787878788
XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,direct,month,0.02,1680,56,330,16,232,279,0.3787878787878788
LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,direct,month,0.02,1680,56,330,16,232,279,0.3787878787878788
Logistic_Regression,Config_LLM,0.5878787878787879,0.417910447761194,0.224,0.500534188034188,0.5228682926829269,0.5168780487804878,direct,month,0.02,1680,56,330,36,232,279,0.3787878787878788
Random_Forest,Config_LLM,0.5757575757575758,0.3469387755102041,0.136,0.45366822761458775,0.48782439024390245,0.4899512195121951,direct,month,0.02,1680,56,330,36,232,279,0.3787878787878788
XGBoost,Config_LLM,0.5757575757575758,0.3469387755102041,0.136,0.45366822761458775,0.484,0.4899512195121951,direct,month,0.02,1680,56,330,36,232,279,0.3787878787878788
LightGBM,Config_LLM,0.5787878787878787,0.39705882352941174,0.216,0.4910741032497143,0.5049756097560976,0.508,direct,month,0.02,1680,56,330,36,232,279,0.3787878787878788
Logistic_Regression,Config_Hybrid,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5904780487804878,0.6051707317073171,direct,month,0.02,1680,56,330,52,232,279,0.3787878787878788
Random_Forest,Config_Hybrid,0.6909090909090909,0.6055045871559633,0.528,0.6623329721921272,0.7214243902439024,0.6591219512195122,direct,month,0.02,1680,56,330,52,232,279,0.3787878787878788
XGBoost,Config_Hybrid,0.6484848484848484,0.5319148936170213,0.6,0.634746765390634,0.6854243902439023,0.6390243902439025,direct,month,0.02,1680,56,330,52,232,279,0.3787878787878788
LightGBM,Config_Hybrid,0.6666666666666666,0.5524475524475524,0.632,0.6544699969540055,0.6980292682926829,0.6599024390243902,direct,month,0.02,1680,56,330,52,232,279,0.3787878787878788
Logistic_Regression,Config_A,0.54,0.453125,0.4603174603174603,0.5289244913749943,0.5931399379675241,0.5290093048713739,direct,2month,0.02,840,28,150,16,205,279,0.42
Random_Forest,Config_A,0.7266666666666667,0.6833333333333333,0.6507936507936508,0.7175141242937852,0.7850757161101988,0.7162014230979749,direct,2month,0.02,840,28,150,16,205,279,0.42
XGBoost,Config_A,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,direct,2month,0.02,840,28,150,16,205,279,0.42
LightGBM,Config_A,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,direct,2month,0.02,840,28,150,16,205,279,0.42
Logistic_Regression,Config_LLM,0.4533333333333333,0.4,0.6031746031746031,0.45177393474772687,0.4927020616675789,0.47400109469074986,direct,2month,0.02,840,28,150,36,205,279,0.42
Random_Forest,Config_LLM,0.4666666666666667,0.4044943820224719,0.5714285714285714,0.4665718349928876,0.4894179894179894,0.4811165845648604,direct,2month,0.02,840,28,150,36,205,279,0.42
XGBoost,Config_LLM,0.49333333333333335,0.42696629213483145,0.6031746031746031,0.49324324324324326,0.5226236088305054,0.5084838533114395,direct,2month,0.02,840,28,150,36,205,279,0.42
LightGBM,Config_LLM,0.41333333333333333,0.3563218390804598,0.49206349206349204,0.41333333333333333,0.41990512680167846,0.4241926655719759,direct,2month,0.02,840,28,150,36,205,279,0.42
Logistic_Regression,Config_Hybrid,0.5466666666666666,0.4603174603174603,0.4603174603174603,0.5347564313081554,0.5933223864258347,0.5347564313081554,direct,2month,0.02,840,28,150,52,205,279,0.42
Random_Forest,Config_Hybrid,0.7133333333333334,0.6785714285714286,0.6031746031746031,0.7005432007056966,0.7675606641123883,0.6981390257252327,direct,2month,0.02,840,28,150,52,205,279,0.42
XGBoost,Config_Hybrid,0.6933333333333334,0.6307692307692307,0.6507936507936508,0.6865915697674418,0.7777777777777777,0.6874657909140668,direct,2month,0.02,840,28,150,52,205,279,0.42
LightGBM,Config_Hybrid,0.72,0.6666666666666666,0.6666666666666666,0.7126436781609196,0.7940156905674147,0.7126436781609196,direct,2month,0.02,840,28,150,52,205,279,0.42
Logistic_Regression,Config_A,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6101694915254237,0.6394204483324221,direct,quarter,0.02,540,18,90,16,174,279,0.34444444444444444
Random_Forest,Config_A,0.7666666666666667,0.6470588235294118,0.7096774193548387,0.7471571906354515,0.7867687260798251,0.753143794423182,direct,quarter,0.02,540,18,90,16,174,279,0.34444444444444444
XGBoost,Config_A,0.6777777777777778,0.5238095238095238,0.7096774193548387,0.6658558443221099,0.7441224712957901,0.6853471842536906,direct,quarter,0.02,540,18,90,16,174,279,0.34444444444444444
LightGBM,Config_A,0.7333333333333333,0.6129032258064516,0.6129032258064516,0.7047566976489885,0.7813012575177694,0.7047566976489885,direct,quarter,0.02,540,18,90,16,174,279,0.34444444444444444
Logistic_Regression,Config_LLM,0.5333333333333333,0.3829787234042553,0.5806451612903226,0.5248868778280543,0.5574084199015856,0.5445598687807545,direct,quarter,0.02,540,18,90,36,174,279,0.34444444444444444
Random_Forest,Config_LLM,0.5222222222222223,0.375,0.5806451612903226,0.5149768141371098,0.5289775833788957,0.536085292509568,direct,quarter,0.02,540,18,90,36,174,279,0.34444444444444444
XGBoost,Config_LLM,0.4888888888888889,0.3333333333333333,0.4838709677419355,0.47621457489878544,0.49617277200656096,0.48769819573537454,direct,quarter,0.02,540,18,90,36,174,279,0.34444444444444444
LightGBM,Config_LLM,0.5111111111111111,0.3617021276595745,0.5483870967741935,0.502262443438914,0.5300710770913067,0.5199562602515035,direct,quarter,0.02,540,18,90,36,174,279,0.34444444444444444
Logistic_Regression,Config_Hybrid,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6156369600874794,0.6394204483324221,direct,quarter,0.02,540,18,90,52,174,279,0.34444444444444444
Random_Forest,Config_Hybrid,0.7444444444444445,0.6333333333333333,0.6129032258064516,0.7148367543738807,0.7963367960634227,0.7132312739201749,direct,quarter,0.02,540,18,90,52,174,279,0.34444444444444444
XGBoost,Config_Hybrid,0.6888888888888889,0.5365853658536586,0.7096774193548387,0.6759259259259259,0.8053581191908146,0.693821760524877,direct,quarter,0.02,540,18,90,52,174,279,0.34444444444444444
LightGBM,Config_Hybrid,0.7333333333333333,0.6060606060606061,0.6451612903225806,0.709051724137931,0.7856752323674139,0.7124111536358666,direct,quarter,0.02,540,18,90,52,174,279,0.34444444444444444
Logistic_Regression,Config_A,0.6909722222222222,0.45143884892086333,0.6419437340153452,0.6499414657116901,0.7338105466416682,0.675595317913297,direct_indirect,1week,0.02,7320,244,1440,16,272,288,0.27152777777777776
Random_Forest,Config_A,0.7680555555555556,0.6432160804020101,0.3273657289002558,0.6440233883502331,0.7613620571534454,0.6298411103986503,direct_indirect,1week,0.02,7320,244,1440,16,272,288,0.27152777777777776
XGBoost,Config_A,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,direct_indirect,1week,0.02,7320,244,1440,16,272,288,0.27152777777777776
LightGBM,Config_A,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,direct_indirect,1week,0.02,7320,244,1440,16,272,288,0.27152777777777776
Logistic_Regression,Config_LLM,0.3055555555555556,0.27293064876957496,0.9360613810741688,0.27577632754222625,0.4997208399669397,0.5033023778583428,direct_indirect,1week,0.02,7320,244,1440,36,272,288,0.27152777777777776
Random_Forest,Config_LLM,0.3145833333333333,0.2728658536585366,0.9156010230179028,0.2909309424968981,0.5018444066813114,0.503081731718675,direct_indirect,1week,0.02,7320,244,1440,36,272,288,0.27152777777777776
XGBoost,Config_LLM,0.31319444444444444,0.27416918429003023,0.928388746803069,0.2871982882668702,0.5069546200375952,0.5061390826484363,direct_indirect,1week,0.02,7320,244,1440,36,272,288,0.27152777777777776
LightGBM,Config_LLM,0.3055555555555556,0.27293064876957496,0.9360613810741688,0.27577632754222625,0.5048981004927358,0.5033023778583428,direct_indirect,1week,0.02,7320,244,1440,36,272,288,0.27152777777777776
Logistic_Regression,Config_Hybrid,0.6930555555555555,0.4538878842676311,0.6419437340153452,0.6517369379464911,0.734171382317589,0.6770252511830778,direct_indirect,1week,0.02,7320,244,1440,52,272,288,0.27152777777777776
Random_Forest,Config_Hybrid,0.775,0.675392670157068,0.329923273657289,0.6511534009851686,0.7742131709897869,0.6354096825865092,direct_indirect,1week,0.02,7320,244,1440,52,272,288,0.27152777777777776
XGBoost,Config_Hybrid,0.7208333333333333,0.48661800486618007,0.5115089514066496,0.652648935889343,0.7454523733478967,0.6551825023954125,direct_indirect,1week,0.02,7320,244,1440,52,272,288,0.27152777777777776
LightGBM,Config_Hybrid,0.7131944444444445,0.4786821705426357,0.6317135549872123,0.6676634007837896,0.7710375732337947,0.6876394276365995,direct_indirect,1week,0.02,7320,244,1440,52,272,288,0.27152777777777776
Logistic_Regression,Config_A,0.7125,0.5323741007194245,0.6577777777777778,0.6837756810259044,0.7462805836139169,0.6975757575757575,direct_indirect,2week,0.02,3690,123,720,16,266,288,0.3125
Random_Forest,Config_A,0.7736111111111111,0.7039473684210527,0.47555555555555556,0.707149826201307,0.7851447811447811,0.6923232323232323,direct_indirect,2week,0.02,3690,123,720,16,266,288,0.3125
XGBoost,Config_A,0.7361111111111112,0.5764192139737991,0.5866666666666667,0.6944000142970753,0.7686644219977553,0.6953535353535354,direct_indirect,2week,0.02,3690,123,720,16,266,288,0.3125
LightGBM,Config_A,0.7333333333333333,0.5652173913043478,0.6355555555555555,0.6993710801242181,0.7716184062850728,0.7066666666666667,direct_indirect,2week,0.02,3690,123,720,16,266,288,0.3125
Logistic_Regression,Config_LLM,0.6486111111111111,0.325,0.11555555555555555,0.4737921571459522,0.4896026936026936,0.5032323232323233,direct_indirect,2week,0.02,3690,123,720,36,266,288,0.3125
Random_Forest,Config_LLM,0.6472222222222223,0.2542372881355932,0.06666666666666667,0.44295530971294894,0.4647497194163861,0.4888888888888889,direct_indirect,2week,0.02,3690,123,720,36,266,288,0.3125
XGBoost,Config_LLM,0.6388888888888888,0.2891566265060241,0.10666666666666667,0.4630810885227846,0.4755061728395062,0.49373737373737375,direct_indirect,2week,0.02,3690,123,720,36,266,288,0.3125
LightGBM,Config_LLM,0.6388888888888888,0.3157894736842105,0.13333333333333333,0.47767857142857145,0.48617732884399556,0.501010101010101,direct_indirect,2week,0.02,3690,123,720,36,266,288,0.3125
Logistic_Regression,Config_Hybrid,0.7125,0.5321428571428571,0.6622222222222223,0.6843543177847196,0.7463164983164983,0.6987878787878787,direct_indirect,2week,0.02,3690,123,720,52,266,288,0.3125
Random_Forest,Config_Hybrid,0.7680555555555556,0.68125,0.48444444444444446,0.7039699636856035,0.7860022446689113,0.6907070707070707,direct_indirect,2week,0.02,3690,123,720,52,266,288,0.3125
XGBoost,Config_Hybrid,0.7152777777777778,0.5396825396825397,0.6044444444444445,0.6786770900683791,0.7643905723905724,0.6850505050505051,direct_indirect,2week,0.02,3690,123,720,52,266,288,0.3125
LightGBM,Config_Hybrid,0.7430555555555556,0.5793650793650794,0.6488888888888888,0.7100256666470739,0.7842244668911337,0.7173737373737373,direct_indirect,2week,0.02,3690,123,720,52,266,288,0.3125
Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,direct_indirect,month,0.02,1680,56,330,16,238,288,0.3787878787878788
Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,direct_indirect,month,0.02,1680,56,330,16,238,288,0.3787878787878788
XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,direct_indirect,month,0.02,1680,56,330,16,238,288,0.3787878787878788
LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,direct_indirect,month,0.02,1680,56,330,16,238,288,0.3787878787878788
Logistic_Regression,Config_LLM,0.5696969696969697,0.37681159420289856,0.208,0.4816601035352418,0.5008780487804878,0.4991219512195122,direct_indirect,month,0.02,1680,56,330,36,238,288,0.3787878787878788
Random_Forest,Config_LLM,0.5727272727272728,0.34615384615384615,0.144,0.45573218233498264,0.49219512195121945,0.4890731707317073,direct_indirect,month,0.02,1680,56,330,36,238,288,0.3787878787878788
XGBoost,Config_LLM,0.5696969696969697,0.33962264150943394,0.144,0.4538206909413026,0.47890731707317075,0.4866341463414634,direct_indirect,month,0.02,1680,56,330,36,238,288,0.3787878787878788
LightGBM,Config_LLM,0.5696969696969697,0.37681159420289856,0.208,0.4816601035352418,0.5013853658536584,0.4991219512195122,direct_indirect,month,0.02,1680,56,330,36,238,288,0.3787878787878788
Logistic_Regression,Config_Hybrid,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5904390243902439,0.6051707317073171,direct_indirect,month,0.02,1680,56,330,52,238,288,0.3787878787878788
Random_Forest,Config_Hybrid,0.693939393939394,0.6111111111111112,0.528,0.6649948236523906,0.7243317073170732,0.6615609756097561,direct_indirect,month,0.02,1680,56,330,52,238,288,0.3787878787878788
XGBoost,Config_Hybrid,0.6333333333333333,0.5142857142857142,0.576,0.6185335562455219,0.6754731707317074,0.6221463414634146,direct_indirect,month,0.02,1680,56,330,52,238,288,0.3787878787878788
LightGBM,Config_Hybrid,0.6666666666666666,0.5524475524475524,0.632,0.6544699969540055,0.6978731707317073,0.6599024390243902,direct_indirect,month,0.02,1680,56,330,52,238,288,0.3787878787878788
Logistic_Regression,Config_A,0.54,0.453125,0.4603174603174603,0.5289244913749943,0.5931399379675241,0.5290093048713739,direct_indirect,2month,0.02,840,28,150,16,208,288,0.42
Random_Forest,Config_A,0.7266666666666667,0.6833333333333333,0.6507936507936508,0.7175141242937852,0.7850757161101988,0.7162014230979749,direct_indirect,2month,0.02,840,28,150,16,208,288,0.42
