model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
XGBoost,Config_A,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,direct_indirect,2month,0.02,840,28,150,16,208,288,0.42
LightGBM,Config_A,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,direct_indirect,2month,0.02,840,28,150,16,208,288,0.42
Logistic_Regression,Config_LLM,0.43333333333333335,0.3804347826086957,0.5555555555555556,0.43270300333704115,0.44772851669403396,0.4501915708812261,direct_indirect,2month,0.02,840,28,150,36,208,288,0.42
Random_Forest,Config_LLM,0.4533333333333333,0.39325842696629215,0.5555555555555556,0.4532361308677098,0.46542601715015514,0.4674329501915709,direct_indirect,2month,0.02,840,28,150,36,208,288,0.42
XGBoost,Config_LLM,0.4666666666666667,0.4065934065934066,0.5873015873015873,0.4662871375200142,0.49069512862616305,0.48330596606458676,direct_indirect,2month,0.02,840,28,150,36,208,288,0.42
LightGBM,Config_LLM,0.41333333333333333,0.3493975903614458,0.4603174603174603,0.41291585127201563,0.3947272395548257,0.41981390257252327,direct_indirect,2month,0.02,840,28,150,36,208,288,0.42
Logistic_Regression,Config_Hybrid,0.58,0.5,0.5238095238095238,0.5716034271725826,0.6214194490056559,0.5722495894909688,direct_indirect,2month,0.02,840,28,150,52,208,288,0.42
Random_Forest,Config_Hybrid,0.7266666666666667,0.6964285714285714,0.6190476190476191,0.7144714239286876,0.7655537310709724,0.7118226600985222,direct_indirect,2month,0.02,840,28,150,52,208,288,0.42
XGBoost,Config_Hybrid,0.7133333333333334,0.6515151515151515,0.6825396825396826,0.7076023391812865,0.7748586024448093,0.7090859332238643,direct_indirect,2month,0.02,840,28,150,52,208,288,0.42
LightGBM,Config_Hybrid,0.7266666666666667,0.6617647058823529,0.7142857142857143,0.7222096752337503,0.7914614121510672,0.7249589490968802,direct_indirect,2month,0.02,840,28,150,52,208,288,0.42
Logistic_Regression,Config_A,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6101694915254237,0.6394204483324221,direct_indirect,quarter,0.02,540,18,90,16,175,288,0.34444444444444444
Random_Forest,Config_A,0.7666666666666667,0.6470588235294118,0.7096774193548387,0.7471571906354515,0.7867687260798251,0.753143794423182,direct_indirect,quarter,0.02,540,18,90,16,175,288,0.34444444444444444
XGBoost,Config_A,0.6777777777777778,0.5238095238095238,0.7096774193548387,0.6658558443221099,0.7441224712957901,0.6853471842536906,direct_indirect,quarter,0.02,540,18,90,16,175,288,0.34444444444444444
LightGBM,Config_A,0.7333333333333333,0.6129032258064516,0.6129032258064516,0.7047566976489885,0.7813012575177694,0.7047566976489885,direct_indirect,quarter,0.02,540,18,90,16,175,288,0.34444444444444444
Logistic_Regression,Config_LLM,0.5333333333333333,0.3829787234042553,0.5806451612903226,0.5248868778280543,0.5451066156369602,0.5445598687807545,direct_indirect,quarter,0.02,540,18,90,36,175,288,0.34444444444444444
Random_Forest,Config_LLM,0.5333333333333333,0.3877551020408163,0.6129032258064516,0.5275,0.5451066156369601,0.5522143247676325,direct_indirect,quarter,0.02,540,18,90,36,175,288,0.34444444444444444
XGBoost,Config_LLM,0.4888888888888889,0.3404255319148936,0.5161290322580645,0.4796380090497738,0.4975396391470749,0.4953526517222526,direct_indirect,quarter,0.02,540,18,90,36,175,288,0.34444444444444444
LightGBM,Config_LLM,0.5333333333333333,0.39215686274509803,0.6451612903225806,0.5296167247386759,0.5325314379442319,0.5598687807545106,direct_indirect,quarter,0.02,540,18,90,36,175,288,0.34444444444444444
Logistic_Regression,Config_Hybrid,0.6777777777777778,0.5357142857142857,0.4838709677419355,0.6344025773917916,0.6364133406232914,0.6317659923455441,direct_indirect,quarter,0.02,540,18,90,52,175,288,0.34444444444444444
Random_Forest,Config_Hybrid,0.7333333333333333,0.6060606060606061,0.6451612903225806,0.709051724137931,0.7974302897758339,0.7124111536358666,direct_indirect,quarter,0.02,540,18,90,52,175,288,0.34444444444444444
XGBoost,Config_Hybrid,0.6888888888888889,0.5365853658536586,0.7096774193548387,0.6759259259259259,0.8053581191908146,0.693821760524877,direct_indirect,quarter,0.02,540,18,90,52,175,288,0.34444444444444444
LightGBM,Config_Hybrid,0.7333333333333333,0.6060606060606061,0.6451612903225806,0.709051724137931,0.786768726079825,0.7124111536358666,direct_indirect,quarter,0.02,540,18,90,52,175,288,0.34444444444444444
Logistic_Regression,Config_A,0.6909722222222222,0.45143884892086333,0.6419437340153452,0.6499414657116901,0.7338105466416682,0.675595317913297,any_relevance,1week,0.02,7320,244,1440,16,275,291,0.27152777777777776
Random_Forest,Config_A,0.7680555555555556,0.6432160804020101,0.3273657289002558,0.6440233883502331,0.7613620571534454,0.6298411103986503,any_relevance,1week,0.02,7320,244,1440,16,275,291,0.27152777777777776
XGBoost,Config_A,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,any_relevance,1week,0.02,7320,244,1440,16,275,291,0.27152777777777776
LightGBM,Config_A,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,any_relevance,1week,0.02,7320,244,1440,16,275,291,0.27152777777777776
Logistic_Regression,Config_LLM,0.30625,0.27279521674140506,0.9335038363171355,0.27713422431973805,0.502289356078984,0.5029768943263466,any_relevance,1week,0.02,7320,244,1440,36,275,291,0.27152777777777776
Random_Forest,Config_LLM,0.3138888888888889,0.2719633307868602,0.9104859335038363,0.2907676969092722,0.5011263924478069,0.5010008313849019,any_relevance,1week,0.02,7320,244,1440,36,275,291,0.27152777777777776
XGBoost,Config_LLM,0.31180555555555556,0.273071104387292,0.9232736572890026,0.28614841593920376,0.505241869616417,0.5035815378914031,any_relevance,1week,0.02,7320,244,1440,36,275,291,0.27152777777777776
LightGBM,Config_LLM,0.30486111111111114,0.27204783258594917,0.9309462915601023,0.2756870455896474,0.5041776481803398,0.5012214775245698,any_relevance,1week,0.02,7320,244,1440,36,275,291,0.27152777777777776
Logistic_Regression,Config_Hybrid,0.6930555555555555,0.4538878842676311,0.6419437340153452,0.6517369379464911,0.7341274968975446,0.6770252511830778,any_relevance,1week,0.02,7320,244,1440,52,275,291,0.27152777777777776
Random_Forest,Config_Hybrid,0.775,0.675392670157068,0.329923273657289,0.6511534009851686,0.7742375517787005,0.6354096825865092,any_relevance,1week,0.02,7320,244,1440,52,275,291,0.27152777777777776
XGBoost,Config_Hybrid,0.7208333333333333,0.48661800486618007,0.5115089514066496,0.652648935889343,0.7450793472775192,0.6551825023954125,any_relevance,1week,0.02,7320,244,1440,52,275,291,0.27152777777777776
LightGBM,Config_Hybrid,0.7131944444444445,0.4786821705426357,0.6317135549872123,0.6676634007837896,0.7708474030802689,0.6876394276365995,any_relevance,1week,0.02,7320,244,1440,52,275,291,0.27152777777777776
Logistic_Regression,Config_A,0.7125,0.5323741007194245,0.6577777777777778,0.6837756810259044,0.7462805836139169,0.6975757575757575,any_relevance,2week,0.02,3690,123,720,16,268,291,0.3125
Random_Forest,Config_A,0.7736111111111111,0.7039473684210527,0.47555555555555556,0.707149826201307,0.7851447811447811,0.6923232323232323,any_relevance,2week,0.02,3690,123,720,16,268,291,0.3125
XGBoost,Config_A,0.7361111111111112,0.5764192139737991,0.5866666666666667,0.6944000142970753,0.7686644219977553,0.6953535353535354,any_relevance,2week,0.02,3690,123,720,16,268,291,0.3125
LightGBM,Config_A,0.7333333333333333,0.5652173913043478,0.6355555555555555,0.6993710801242181,0.7716184062850728,0.7066666666666667,any_relevance,2week,0.02,3690,123,720,16,268,291,0.3125
Logistic_Regression,Config_LLM,0.6486111111111111,0.32051282051282054,0.1111111111111111,0.4712505551346691,0.4872368125701459,0.502020202020202,any_relevance,2week,0.02,3690,123,720,36,268,291,0.3125
Random_Forest,Config_LLM,0.6472222222222223,0.2542372881355932,0.06666666666666667,0.44295530971294894,0.46483501683501677,0.4888888888888889,any_relevance,2week,0.02,3690,123,720,36,268,291,0.3125
XGBoost,Config_LLM,0.6388888888888888,0.2891566265060241,0.10666666666666667,0.4630810885227846,0.47531313131313135,0.49373737373737375,any_relevance,2week,0.02,3690,123,720,36,268,291,0.3125
LightGBM,Config_LLM,0.6375,0.30851063829787234,0.1288888888888889,0.474495174762793,0.4820516273849607,0.4987878787878788,any_relevance,2week,0.02,3690,123,720,36,268,291,0.3125
