variant,horizon,model,Config_A,Config_Hybrid,Config_LLM,delta_hybrid_minus_A,delta_llm_minus_A
material_events_only,20d,Random_Forest,0.502545676936014,0.5343245929210305,0.4922406543842214,0.031778915985016476,-0.010305022551792664
direct_material_only,10d,Random_Forest,0.490520728008089,0.521558572873032,0.5147034041118975,0.031037844864942987,0.02418267610380853
material_events_only,5d,Random_Forest,0.5148874101933555,0.5408364072520373,0.5222376922706014,0.02594899705868181,0.007350282077245862
material_events_only,10d,Random_Forest,0.490520728008089,0.5159372141171938,0.5108153979488661,0.025416486109104852,0.02029466994077711
material_events_only,1d,Logistic_Regression,0.5150471307645064,0.5380651018718791,0.5087318753504766,0.023017971107372692,-0.0063152554140297745
direct_material_only,20d,Random_Forest,0.502545676936014,0.523774940753765,0.49137680605458295,0.02122926381775092,-0.011168870881431092
direct_material_only,1d,Random_Forest,0.5099869155384656,0.5295602018745493,0.48586077064808136,0.019573286336083684,-0.024126144890384282
material_lag1,1d,Random_Forest,0.5099869155384656,0.5279713744025207,0.4999599455259153,0.017984458864055086,-0.010026970012550374
material_events_only,1d,Random_Forest,0.5099869155384656,0.5256615663969665,0.49149510000267027,0.015674650858500838,-0.018491815535795375
direct_material_only,10d,Logistic_Regression,0.4527300303336704,0.46813760893639556,0.49308464538494867,0.01540757860272518,0.0403546150512783
material_lag1,10d,Logistic_Regression,0.4527300303336704,0.4679028841061197,0.5157386007992681,0.015172853772449313,0.06300857046559777
direct_material_only,1d,Logistic_Regression,0.5150471307645064,0.5301743704771823,0.48829074207588985,0.015127239712675933,-0.026756388688616517
direct_material_lag1,10d,Logistic_Regression,0.4527300303336704,0.4677524194713274,0.4737288747652752,0.015022389137657022,0.020998844431604824
relevant_lag1,1d,Random_Forest,0.5099869155384656,0.524646853053486,0.4808139069134022,0.014659937515020371,-0.029173008625063446
material_lag1,1d,Logistic_Regression,0.5150471307645064,0.5289860877460012,0.5121498571390424,0.013938956981494832,-0.002897273625463992
direct_only,1d,Logistic_Regression,0.5150471307645064,0.5256749178883281,0.4914817485113087,0.01062778712382173,-0.023565382253197653
material_events_only,10d,Logistic_Regression,0.4527300303336704,0.4632565361837354,0.5263252925032501,0.010526505850065038,0.07359526216957973
direct_lag1,20d,Random_Forest,0.502545676936014,0.5129042122161914,0.464184695359682,0.010358535280177383,-0.038360981576332054
relevant_non_irrelevant,1d,Random_Forest,0.5099869155384656,0.5191994445779593,0.4838580469438436,0.009212529039493655,-0.026128868594622046
direct_material_lag1,10d,Random_Forest,0.490520728008089,0.49886850594636234,0.48987673937117815,0.008347777938273349,-0.0006439886369108416
direct_material_lag1,1d,Logistic_Regression,0.5150471307645064,0.5231648375123501,0.5007877379903335,0.008117706747843734,-0.014259392774172874
material_lag1,5d,Random_Forest,0.5148874101933555,0.5229519263223879,0.4778481966343604,0.008064516129032362,-0.03703921355899509
relevant_lag1,20d,Random_Forest,0.502545676936014,0.5103356012537268,0.47483372830823334,0.007789924317712749,-0.027711948627780703
direct_material_lag1,1d,Random_Forest,0.5099869155384656,0.5165825522710886,0.5012016342225426,0.006595636732622978,-0.008785281315923044
direct_only,10d,Logistic_Regression,0.4527300303336704,0.4587185227984014,0.4776891039530069,0.005988492464731043,0.024959073619336525
direct_material_only,5d,Random_Forest,0.5148874101933555,0.5195103428323449,0.506300026520083,0.0046229326389893854,-0.008587383673272497
relevant_non_irrelevant,10d,Logistic_Regression,0.4527300303336704,0.4573101738167461,0.48909432327025854,0.004580143483075727,0.03636429293658816
direct_lag1,1d,Random_Forest,0.5099869155384656,0.5118160698550027,0.492469758872066,0.0018291543165370738,-0.017517156666399636
direct_material_lag1,20d,Random_Forest,0.502545676936014,0.5034630379940371,0.4790688785261066,0.0009173610580230918,-0.023476798409907462
material_lag1,10d,Random_Forest,0.490520728008089,0.489569791516202,0.4796150512783476,-0.0009509364918869889,-0.01090567672974141
relevant_non_irrelevant,1d,Logistic_Regression,0.5150471307645064,0.5121098026649576,0.5016956394029213,-0.0029373280995487194,-0.013351491361585088
direct_material_lag1,5d,Random_Forest,0.5148874101933555,0.511150489416076,0.4914397391388206,-0.0037369207772794955,-0.02344767105453488
material_lag1,20d,Random_Forest,0.502545676936014,0.498501643605229,0.46636342787248686,-0.0040440333307850684,-0.03618224906352718
