model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end
Logistic_Regression,Config_A,0.49871244635193135,0.4083333333333333,0.3951612903225806,0.48516236046201905,0.47009559284439945,0.48532354501181346,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Random_Forest,Config_A,0.5218884120171674,0.4419047619047619,0.46774193548387094,0.5144703772346798,0.5294327715897584,0.5148874101933555,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Logistic_Regression,Config_LLM,0.5742489270386266,0.0,0.0,0.3647764449291167,0.5,0.5,5d,4670,1165,11,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Random_Forest,Config_LLM,0.4257510729613734,0.4257510729613734,1.0,0.2986152919927754,0.5,0.5,5d,4670,1165,11,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Logistic_Regression,Config_Hybrid,0.4901287553648069,0.3983402489626556,0.3870967741935484,0.4766444621918903,0.463899537104007,0.47680698201456195,5d,4670,1165,37,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Random_Forest,Config_Hybrid,0.5287553648068669,0.45119705340699817,0.4939516129032258,0.523177785945343,0.5298667365832489,0.5242553281257534,5d,4670,1165,37,2021-10-13,2025-07-11,2025-07-14,2026-06-19
Logistic_Regression,Config_A,0.5121739130434783,0.45787545787545786,0.4854368932038835,0.5092345153847734,0.49981499885329866,0.5096475804602094,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Random_Forest,Config_A,0.5130434782608696,0.45098039215686275,0.40194174757281553,0.5013642797191535,0.5202935555385675,0.502545676936014,20d,4610,1150,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Logistic_Regression,Config_LLM,0.5521739130434783,0.0,0.0,0.3557422969187675,0.5,0.5,20d,4610,1150,11,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Random_Forest,Config_LLM,0.44782608695652176,0.44782608695652176,1.0,0.30930930930930933,0.5,0.5,20d,4610,1150,11,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Logistic_Regression,Config_Hybrid,0.5121739130434783,0.4567669172932331,0.47184466019417476,0.508228961095091,0.5008669061998318,0.5083632749789772,20d,4610,1150,37,2021-10-13,2025-06-25,2025-06-26,2026-05-29
Random_Forest,Config_Hybrid,0.5113043478260869,0.4485776805251641,0.39805825242718446,0.49930896425207,0.5160507606452106,0.5006039293631985,20d,4610,1150,37,2021-10-13,2025-06-25,2025-06-26,2026-05-29
