keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any
báo lỗ,negative,1,0,0.0,0.45879299156391956,1.0,fisher_exact,294402.0,0.2780073766390083,0.6362277714658221,,,,,,False,False,False,False
lỗ nặng,negative,1,0,0.0,0.45879299156391956,1.0,fisher_exact,294402.0,0.2780073766390083,0.6362277714658221,,,,,,False,False,False,False
lỗ lớn,negative,1,0,0.0,0.45879299156391956,1.0,fisher_exact,294402.0,0.2780073766390083,0.6362277714658221,,,,,,False,False,False,False
lỗ lũy kế,negative,1,0,0.0,0.45879299156391956,1.0,fisher_exact,294402.0,0.2780073766390083,0.6362277714658221,,,,,,False,False,False,False
lao dốc,negative,5,0,1.272563176895307,1.0,1.0,fisher_exact,295042.5,0.7947955116601556,0.9376315658058767,,,,,,False,False,False,False
giảm sâu,negative,7,0,0.6344765342960289,0.70938040015918,1.0,fisher_exact,294208.5,0.5473883519809979,0.9075292210731479,,,,,,False,False,False,False
giảm mạnh,negative,24,0,3.4687851874383044,0.06253722240568978,1.0,chi_square,298673.0,0.039005494324569415,0.6362277714658221,,,,,,False,False,False,False
tụt dốc,negative,1,0,0.0,0.45879299156391956,1.0,fisher_exact,294402.0,0.2780073766390083,0.6362277714658221,,,,,,False,False,False,False
không đạt kế hoạch,negative,1,0,inf,1.0,1.0,fisher_exact,295172.5,0.3578781214495249,0.6362277714658221,,,,,,False,False,False,False
không chia cổ tức,negative,4,0,inf,0.12961297912499864,1.0,fisher_exact,296233.0,0.06539054469101334,0.6362277714658221,,,,,,False,False,False,False
nợ xấu,negative,47,0,3.249285696154507,0.07145459096584138,1.0,chi_square,299854.0,0.05218509505581867,0.6362277714658221,,,,,,False,False,False,False
đóng cửa,negative,13,0,1.8973438014381157,0.168375933728444,1.0,chi_square,297106.0,0.09728217767572814,0.6362277714658221,,,,,,False,False,False,False
bị phạt,negative,1,0,0.0,0.45879299156391956,1.0,fisher_exact,294402.0,0.2780073766390083,0.6362277714658221,,,,,,False,False,False,False
vi phạm,negative,7,0,2.12605548854041,0.4631755887416865,1.0,fisher_exact,295752.5,0.3574307595211599,0.6362277714658221,,,,,,False,False,False,False
bị kiểm toán từ chối,negative,1,0,inf,1.0,1.0,fisher_exact,295172.5,0.3578781214495249,0.6362277714658221,,,,,,False,False,False,False
cảnh báo,negative,2,0,0.0,0.21032977405462808,1.0,fisher_exact,293985.0,0.12464456229884989,0.6362277714658221,,,,,,False,False,False,False
đình chỉ,negative,1,0,inf,1.0,1.0,fisher_exact,295172.5,0.3578781214495249,0.6362277714658221,,,,,,False,False,False,False
khởi tố,negative,2,0,0.8475390156062425,1.0,1.0,fisher_exact,294755.0,0.906870494899897,0.9376315658058767,,,,,,False,False,False,False
đại hội cổ đông,neutral,20,0,0.0,1.0,1.0,chi_square,294936.0,0.9455704838916198,0.9455704838916198,,,,,,False,False,False,False
thay CEO,neutral,1,0,inf,1.0,1.0,fisher_exact,295172.5,0.3578781214495249,0.6362277714658221,,,,,,False,False,False,False
sáp nhập,neutral,8,0,0.846987951807229,1.0,1.0,fisher_exact,294562.0,0.812860458728667,0.9376315658058767,,,,,,False,False,False,False
mua lại,neutral,54,0,0.0,1.0,1.0,chi_square,294607.5,0.9393463517033905,0.9455704838916198,,,,,,False,False,False,False
niêm yết thêm,neutral,1,0,inf,1.0,1.0,fisher_exact,295172.5,0.3578781214495249,0.6362277714658221,,,,,,False,False,False,False
thoái vốn,neutral,17,0,0.4045091365975154,0.5247696907805599,1.0,chi_square,296198.5,0.3812142492691587,0.6593976203574637,,,,,,False,False,False,False
lợi nhuận sau thuế tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
lợi nhuận cải thiện,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
phát hành thưởng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
cải thiện tài chính,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
dòng tiền dương,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
tiền mặt dồi dào,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
đầu tư mới,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
xuất khẩu tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
lỗ ròng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
dưới kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
kết quả tiêu cực,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
lợi nhuận thấp hơn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
lỗ kỷ lục,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
kinh doanh sa sút,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
âm vốn chủ sở hữu,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
lợi nhuận không tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
doanh thu không tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
không tăng trưởng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
tăng trưởng chậm lại,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
không hoàn thành kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
chưa có lãi,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
hủy cổ tức,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
giảm cổ tức,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
phát hành pha loãng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
