ticker,quarter_id,y_true,pred_label,pred_proba_up,period_return
SSB,2025Q1,0,1,0.9310669257619848,-0.016189681098815
ABB,2025Q1,1,1,0.7722523761662339,0.0200476055093907
DGW,2025Q1,0,0,0.010773691404782983,-0.0792310355135226
VSC,2025Q1,1,1,0.9865804279888967,0.1681777253037897
HAH,2025Q1,1,1,0.9289304893905921,0.2867369664223876
SHB,2025Q1,1,1,0.9970985766983831,0.2964281081701119
BVB,2025Q1,0,0,0.010443616503360578,-0.0559227664181935
SCR,2025Q1,1,1,0.999444145459264,0.0686300785684166
SAB,2025Q1,0,0,0.019590375590229154,-0.0642491995506668
CTG,2025Q1,0,1,0.9376642615335334,-0.0334439210020791
SSI,2025Q1,0,0,0.08245116098796182,-0.0793658811700914
DCM,2025Q1,0,0,0.09332447007244177,-0.040258905551214
STB,2025Q1,1,1,0.897863512888945,0.0853526815678517
ELC,2025Q1,0,0,0.024016233232249835,-0.1188656623250532
BAB,2025Q1,0,0,0.09199531305792857,-0.0325162748382701
VIC,2025Q1,1,1,0.9981398250260798,0.823127481099072
VHC,2025Q1,0,0,0.0054287966391821695,-0.2226681400867277
OCB,2025Q1,0,0,0.4623889990217339,-0.0258205166182062
BSI,2025Q1,0,1,0.9968577136500381,-0.063522860059417
EIB,2025Q1,1,0,0.01271663436122968,0.0580675731117491
VND,2025Q1,1,1,0.9802628357383113,0.1764753332269818
NVL,2025Q1,1,1,0.9834790073756906,0.2536450228661928
GEX,2025Q1,1,1,0.9863591355623209,0.5018716400079646
FPT,2025Q1,0,0,0.0007322045101346803,-0.1787373343903866
BMP,2025Q1,1,0,0.48834625285535244,0.1342948621434339
VRE,2025Q1,1,1,0.9418503702623585,0.3622108116903356
VCB,2025Q1,0,0,0.339691304786004,-0.0874833967065018
MCH,2025Q1,0,0,0.024411774928855705,-0.1783257887601353
NT2,2025Q1,0,0,0.13598136896177576,-0.0883091246263163
KLB,2025Q1,1,0,0.01527342745919519,0.1856239510400592
HSG,2025Q1,0,0,0.0270611447747684,-0.1066060339181839
GVR,2025Q1,0,0,0.17311939395319573,-0.122816236352195
NKG,2025Q1,0,1,0.8501361005554773,-0.1221383742594746
VNM,2025Q1,0,0,0.4731134341624447,-0.0682986898726212
BCM,2025Q1,0,0,0.35774193747176763,-0.1847063149655944
VCG,2025Q1,1,1,0.8531679686530855,0.0823260745453061
NAB,2025Q1,0,0,0.04508659231635825,-0.0225721865615056
MWG,2025Q1,1,0,0.09829732140436587,0.0335745130733249
KDH,2025Q1,0,1,0.5527292020468668,-0.1486799184228016
EVF,2025Q1,0,0,0.1135748596513051,-0.0070038271195754
VCI,2025Q1,1,1,0.8246722924801922,0.0178311593436248
CMG,2025Q1,0,0,0.0005972610304846943,-0.2277018710495384
GAS,2025Q1,0,0,0.11897765278755082,-0.076707415056631
MSN,2025Q1,0,1,0.7914509455795099,-0.06990124627805
MSB,2025Q1,1,1,0.9737350564899828,0.0089905847146994
NLG,2025Q1,0,1,0.7396024764726241,-0.0004390779363336
HPG,2025Q1,0,0,0.13992700490799972,-0.0408219778828679
VPB,2025Q1,0,1,0.7899930311986246,-0.0547583547860898
MBS,2025Q1,0,0,0.19688730321982423,-0.0643982448654143
TCB,2025Q1,1,1,0.7513018736185798,0.1283736707633121
REE,2025Q1,1,1,0.5595211198205259,0.0428418188434472
HCM,2025Q1,0,0,0.3744824833675869,-0.1241780509169243
FRT,2025Q1,0,0,0.001291943040755813,-0.1102312618905549
VHM,2025Q1,1,1,0.9990863674924828,0.5302664567197662
MBB,2025Q1,1,1,0.9757077005035151,0.0523453082588782
PVT,2025Q1,0,0,0.03173308323686732,-0.1459445559282406
GMD,2025Q1,0,0,0.004451323306571416,-0.1258465146824002
ACB,2025Q1,0,0,0.4437263661797617,-0.0330171289390658
PPC,2025Q1,1,1,0.8260803474320386,0.0257725495619007
DIG,2025Q1,0,0,0.4305245639983503,-0.1201051606588045
POW,2025Q1,1,1,0.9444667930818116,0.0460938303185368
HDB,2025Q1,0,0,0.00959258811979265,-0.0621203783131712
TPB,2025Q1,0,0,0.003039686838164516,-0.1395491384862635
PDR,2025Q1,0,1,0.9205216740349708,-0.1256624821947503
VGC,2025Q1,0,0,0.4023890149096847,-0.1390350555811017
DPM,2025Q1,0,0,0.0036649049474439615,-0.0374251156534732
VJC,2025Q1,0,0,0.439962245106531,-0.098495618817006
LPB,2025Q1,0,0,0.09308385741496274,-0.0194535494307299
DXG,2025Q1,1,0,0.06879374708513745,0.0750156172605196
BVH,2025Q1,0,1,0.6410536712281906,-0.0882681090006066
PGB,2025Q1,0,1,0.6286551755364265,-0.0274718970343081
VBB,2025Q1,1,1,0.9736476926068457,0.1064346829159421
PNJ,2025Q1,0,0,0.0010500779643502858,-0.1777047202353453
BID,2025Q1,0,0,0.03571175968642416,-0.1067468203143119
VIB,2025Q1,0,0,0.10216628477190066,-0.0796433841870785
PHR,2025Q1,0,1,0.6745908306113723,-0.1425343705220671
CSV,2025Q1,0,0,0.0006849846649647825,-0.1958055456531848
ANV,2025Q1,0,0,0.004803147339327421,-0.0991014752949414
HDG,2025Q1,0,0,0.03930322933691635,-0.0818598549293971
PLX,2025Q1,0,0,0.0010150927877086485,-0.12455739481985
VIC,2025Q2,1,1,0.6710764629862842,0.5278741340668295
VCI,2025Q2,1,1,0.6254464797150049,0.1879001300325392
VGC,2025Q2,1,1,0.8227685335680349,0.2953729675644956
VND,2025Q2,1,1,0.9970933137405896,0.4522337347122404
VCG,2025Q2,1,1,0.9875782939555919,0.2808521077978624
VCB,2025Q2,1,0,0.13124300161239183,0.0978938321682343
VRE,2025Q2,1,0,0.17951327556451277,0.2314442017371521
STB,2025Q2,1,1,0.9987508337159348,0.2762555825823432
VPB,2025Q2,1,1,0.9024950174217133,0.5940966637002209
VHC,2025Q2,1,1,0.9653099060719127,0.0970729310454248
VBB,2025Q2,1,1,0.9981673135834384,0.2802349805698135
VSC,2025Q2,1,1,0.8345764281918395,0.6394535272914524
VIB,2025Q2,1,1,0.9649194517605162,0.2459179088480692
TPB,2025Q2,1,1,0.9354032299581291,0.3800476813017628
TCB,2025Q2,1,1,0.9958414834452437,0.2739075625929559
VHM,2025Q2,1,1,0.9486508071966977,0.4616781007800864
VNM,2025Q2,1,1,0.6869638340006438,0.095282965437582
VJC,2025Q2,1,1,0.675016417384239,0.4153860451197162
MSB,2025Q2,1,1,0.995417214394666,0.3142792360221936
DCM,2025Q2,1,1,0.9929014531392362,0.1916245053832103
BVB,2025Q2,1,1,0.7449272229418383,0.1711627382244836
PDR,2025Q2,1,1,0.9916320665549156,0.3696782007774575
HDG,2025Q2,1,1,0.9802073669249418,0.2796507118635916
HDB,2025Q2,1,0,0.4124508624616354,0.3324567230074387
HCM,2025Q2,1,1,0.6948340651787293,0.2878739080538871
PGB,2025Q2,1,1,0.9250640215621156,0.1309315011596729
BVH,2025Q2,1,1,0.9821065418130331,0.1424900764001252
PHR,2025Q2,1,1,0.9235187528330794,0.2016520810363834
HAH,2025Q2,1,1,0.77348060753068,0.1238146505916937
BAB,2025Q2,1,1,0.9770973156051164,0.2363339251472108
GVR,2025Q2,1,1,0.7696882760848651,0.0949097977282392
PNJ,2025Q2,1,1,0.8541558181375437,0.1193440286598004
GMD,2025Q2,1,1,0.9745465877753958,0.215608339525001
CMG,2025Q2,1,1,0.9845642647224414,0.2007589238724278
GEX,2025Q2,1,1,0.9907606624512791,0.7143317524109314
HPG,2025Q2,1,1,0.9163311201010278,0.2593249154222058
POW,2025Q2,1,1,0.8967319277762819,0.1816217632649214
OCB,2025Q2,1,1,0.9432856924258073,0.3105796419485703
NVL,2025Q2,1,1,0.9866690358341557,0.3303566045564804
BMP,2025Q2,1,1,0.9552337261475623,0.0726580359704769
MWG,2025Q2,1,1,0.940755789038818,0.1994392862614322
MCH,2025Q2,0,0,0.4895203452599188,-0.0121441374577423
BID,2025Q2,1,1,0.9842509084290686,0.1158636750602299
NAB,2025Q2,1,1,0.7373667593658705,0.1373357081269898
MBS,2025Q2,1,1,0.5682369997422021,0.3280052422466337
MBB,2025Q2,1,1,0.957155581901078,0.3275186060715738
NKG,2025Q2,1,1,0.8203763013909224,0.2769414715424218
LPB,2025Q2,1,1,0.8655401604391532,0.2614673651252411
NLG,2025Q2,1,1,0.9925180504581587,0.2482819309420047
KLB,2025Q2,1,1,0.9871941565452794,0.5784239025266771
NT2,2025Q2,1,1,0.6946419869804785,0.1636726567038924
BCM,2025Q2,1,1,0.9058801682789389,0.1395194190600523
BSI,2025Q2,1,0,0.004500742960457932,0.130859383288421
KDH,2025Q2,1,0,0.4529097703773964,0.2223833370019816
HSG,2025Q2,1,1,0.9931233793440523,0.2164468862263084
GAS,2025Q2,1,1,0.9844547506433908,0.0844935738381329
PLX,2025Q2,1,1,0.9341081432063288,0.0531676199244616
PPC,2025Q2,0,0,0.04006628505989186,-0.0596387634753686
CSV,2025Q2,1,1,0.9837474881911491,0.0434296902133239
ACB,2025Q2,1,0,0.153206545031099,0.1950070104377631
SAB,2025Q2,1,1,0.6470907269395242,0.0264862584939027
EIB,2025Q2,1,1,0.9333842571794622,0.2945834653151727
ANV,2025Q2,1,1,0.9916905139665828,0.6264492345790187
SCR,2025Q2,1,1,0.9887042735111023,0.397283556679797
DXG,2025Q2,1,1,0.9984698500767306,0.461292441257888
SHB,2025Q2,1,0,0.20284165436007234,0.4186324273119212
DPM,2025Q2,1,1,0.9879009847617992,0.3290544174024666
CTG,2025Q2,1,1,0.9520765112647064,0.2357627783837411
DIG,2025Q2,1,1,0.9929829105852258,0.397969476515645
ABB,2025Q2,1,1,0.9966166543650563,0.4813836073701686
