model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.48201438848920863,0.48201438848920863,1.0,0.32524271844660196,0.5,0.5
Naive_Momentum,Config_A,0.4856115107913669,0.47096774193548385,0.5447761194029851,0.4848048935370579,0.48766583747927034,0.48766583747927034
Logistic_Regression,Config_A,0.7446043165467626,0.7128378378378378,0.7873134328358209,0.7445514313816846,0.8045579394693202,0.746087271973466
Random_Forest,Config_A,0.7032374100719424,0.6655948553054662,0.7723880597014925,0.7027287132177819,0.7914788038971807,0.7056384742951907
XGBoost,Config_A,0.7014388489208633,0.6613924050632911,0.7798507462686567,0.7006797426317974,0.777142931177446,0.7041614842454395
LightGBM,Config_A,0.7194244604316546,0.6707317073170732,0.8208955223880597,0.717964726080849,0.7969656923714759,0.7229477611940298
Majority_Class,Config_B,0.48201438848920863,0.48201438848920863,1.0,0.32524271844660196,0.5,0.5
Naive_Momentum,Config_B,0.4856115107913669,0.47096774193548385,0.5447761194029851,0.4848048935370579,0.48766583747927034,0.48766583747927034
Logistic_Regression,Config_B,0.4784172661870504,0.47962962962962963,0.9664179104477612,0.3435708702449192,0.5044957504145937,0.49536173300165837
Random_Forest,Config_B,0.4748201438848921,0.4777777777777778,0.9626865671641791,0.3390437727983325,0.49784929519071314,0.49175995024875624
XGBoost,Config_B,0.47302158273381295,0.47689463955637706,0.9626865671641791,0.3354138874950536,0.494286380597015,0.49002383913764513
LightGBM,Config_B,0.5287769784172662,0.6875,0.041044776119402986,0.3805198339797238,0.507676461442786,0.5118418325041459
Majority_Class,Config_C,0.48201438848920863,0.48201438848920863,1.0,0.32524271844660196,0.5,0.5
Naive_Momentum,Config_C,0.4856115107913669,0.47096774193548385,0.5447761194029851,0.4848048935370579,0.48766583747927034,0.48766583747927034
Logistic_Regression,Config_C,0.6636690647482014,0.6327868852459017,0.7201492537313433,0.6633543469743919,0.7302938432835823,0.6656301824212272
Random_Forest,Config_C,0.7158273381294964,0.6785714285714286,0.7798507462686567,0.7154591625207296,0.7816192475124377,0.7180503731343284
XGBoost,Config_C,0.7212230215827338,0.6852459016393443,0.7798507462686567,0.7209621592568489,0.7822346600331676,0.7232587064676617
LightGBM,Config_C,0.7194244604316546,0.6707317073170732,0.8208955223880597,0.717964726080849,0.7969656923714759,0.7229477611940298
