ticker,avg_value_vnd,avg_volume,trading_days,ok_annotations,material_di,is_vn30,avg_value_bil_vnd
FPT,924514725737.1666,11180445.091666667,120,1101,42,True,924.5147257371666
SHB,918238885532.9166,61336669.025,120,100,7,True,918.2388855329166
HPG,875397219557.3334,35950507.50833333,120,1181,28,True,875.3972195573334
VHM,840810631500.0,6654954.166666667,120,100,8,True,840.8106315
SSI,796265077416.6666,26837596.666666668,120,942,48,True,796.2650774166666
VIC,785919491166.6666,4574170.833333333,120,100,11,True,785.9194911666666
STB,629216141333.3334,9950550.0,120,100,5,True,629.2161413333333
VCB,592227462333.3334,9203993.333333334,120,955,47,True,592.2274623333334
MBB,584342578250.0,21967682.5,120,100,15,True,584.34257825
MWG,576561239083.3334,6833959.166666667,120,100,4,True,576.5612390833334
VPB,481477037860.8333,17713431.075,120,100,9,True,481.4770378608333
MSN,467303888166.6667,6037727.5,120,100,12,True,467.3038881666667
CTG,432776572707.5,11729680.691666666,120,100,8,True,432.7765727075
TCB,415421568349.5,12725070.45,120,100,7,True,415.4215683495
HDB,394272708787.0833,14626049.541666666,120,100,9,True,394.27270878708333
BID,386260327250.0,8577182.5,120,100,8,True,386.26032725
ACB,355930026422.5,16968339.975,120,100,11,True,355.9300264225
VNM,344371762283.8333,5486969.05,120,610,20,True,344.37176228383333
PLX,312217431625.0,6369789.166666667,120,100,9,True,312.217431625
GEX,311620725336.6942,10733973.438016528,121,100,9,False,311.6207253366942
HCM,300668808051.9008,12100092.231404958,121,100,5,False,300.66880805190084
GAS,267843914500.0,2795917.5,120,100,6,True,267.8439145
VCI,262690740902.89255,9939529.388429752,121,100,20,False,262.69074090289257
NVL,254093907249.42148,17923010.925619833,121,100,10,False,254.09390724942148
VRE,243838368875.0,7916615.0,120,67,2,True,243.838368875
VND,242882799295.61984,14025726.85123967,121,100,11,False,242.88279929561983
POW,220637307125.0,15736598.333333334,120,100,12,True,220.637307125
EIB,203805847603.3058,9177322.314049587,121,100,13,False,203.80584760330578
DXG,199292895882.97522,15125581.404958678,121,100,14,False,199.29289588297522
TPB,199115906125.0,11873960.833333334,120,100,8,True,199.115906125
DPM,188250839462.8099,6790932.231404958,121,96,18,False,188.2508394628099
GVR,187367427833.33334,5179964.166666667,120,100,8,True,187.36742783333335
DCM,184339334214.87604,4352733.884297521,121,73,13,False,184.33933421487603
VCG,179074184793.38843,8349723.966942149,121,100,15,False,179.07418479338844
VJC,178044164498.5,1320145.95,120,100,13,True,178.0441644985
PDR,167853997768.59503,10155895.041322313,121,100,19,False,167.85399776859504
PVT,160713447534.38016,7563922.380165289,121,76,12,False,160.71344753438015
VSC,160190215330.57852,7011773.553719008,121,100,11,False,160.19021533057852
DIG,143685767396.6942,9766069.421487603,121,100,11,False,143.68576739669422
KDH,128322928057.85124,4916982.644628099,121,100,10,False,128.32292805785124
MSB,128280235041.32231,9584981.818181818,121,100,14,False,128.2802350413223
GMD,128277680236.94215,1769542.5123966942,121,96,22,False,128.27768023694216
VIB,112028084831.33333,6865183.133333334,120,100,15,True,112.02808483133333
PNJ,111760680422.2314,1512441.8842975206,121,100,20,False,111.7606804222314
DGW,99130914269.2562,2196043.876033058,121,100,15,False,99.1309142692562
HAH,96035983966.94215,1618297.520661157,121,100,13,False,96.03598396694215
MBS,95500796277.52066,4624600.966942149,121,100,15,False,95.50079627752066
EVF,95441079793.38843,7151383.47107438,121,100,18,False,95.44107979338843
NLG,81451082747.0248,2958719.8429752067,121,100,9,False,81.4510827470248
LPB,79759873172.14876,1789104.520661157,121,100,16,False,79.75987317214876
FRT,67679003121.900826,472949.5537190083,121,100,10,False,67.67900312190082
BVH,63153129000.0,867164.1666666666,120,100,8,True,63.153129
VHC,63045734793.38843,1029257.8512396694,121,100,23,False,63.04573479338843
HDG,55627669718.34711,2294002.041322314,121,100,16,False,55.62766971834711
NKG,54748736834.95868,4101634.6363636362,121,90,20,False,54.74873683495868
BCM,54648299511.5,865007.9583333334,120,100,21,True,54.6482995115
SAB,53433803334.333336,1108675.6916666667,120,100,14,True,53.433803334333334
VGC,50482514876.03306,1064104.132231405,121,100,11,False,50.48251487603306
REE,48130865391.4876,872375.3801652893,121,100,15,False,48.1308653914876
MCH,47798288906.77686,326921.4380165289,121,100,16,False,47.79828890677686
HSG,44675539243.71901,3692942.0495867766,121,100,17,False,44.67553924371901
PHR,39357152148.76033,614776.0330578513,121,67,7,False,39.35715214876033
SSB,30877425842.5,2167882.9,120,100,11,True,30.8774258425
OCB,30487784090.909092,2572521.487603306,121,100,16,False,30.48778409090909
ABB,30073056112.066116,2026394.2314049588,121,100,10,False,30.073056112066116
NT2,29737143636.363636,1154607.438016529,121,49,6,False,29.737143636363637
ANV,28113833719.008263,1101714.0495867769,121,70,13,False,28.113833719008262
BMP,26033030083.05785,184022.40495867768,121,72,12,False,26.03303008305785
BVB,25510757768.595043,1929790.9090909092,121,100,13,False,25.51075776859504
CSV,20415372644.628098,697805.785123967,121,64,11,False,20.415372644628096
NAB,19317078934.049587,1637921.2892561983,121,100,13,False,19.317078934049587
ELC,17179839462.809917,808551.2396694215,121,100,10,False,17.179839462809916
BSI,15731892232.892563,455541.97520661156,121,96,20,False,15.731892232892562
SCR,12822914826.446281,2028399.173553719,121,55,9,False,12.822914826446281
CMG,12073839334.46281,380092.4132231405,121,100,17,False,12.07383933446281
KLB,6988860869.565217,458820.8695652174,115,100,20,False,6.988860869565217
PPC,3852584644.628099,373004.95867768594,121,53,10,False,3.852584644628099
VBB,1175959377.0247934,103783.85950413223,121,100,14,False,1.1759593770247934
PGB,299801178.59504133,27440.07438016529,121,100,13,False,0.29980117859504135
BAB,169472402.47933885,15043.049586776859,121,100,11,False,0.16947240247933887
