model,balanced_accuracy,accuracy,f1_macro,precision_macro,recall_macro,auc_roc,n_train,n_test
Baseline_Majority,0.5,0.4231292517006803,0.29732313575525815,0.21156462585034014,0.5,0.5,1653,735
Baseline_Stratified,0.5223487835952194,0.5210884353741496,0.5185852300638611,0.521822517105536,0.5223487835952194,0.5223487835952193,1653,735
Logistic_Regression,0.6488351635017897,0.6462585034013606,0.6438050788064954,0.6453390207055896,0.6488351635017897,0.7035657950615787,1653,735
Random_Forest,0.7607459200388279,0.7605442176870748,0.757298311444653,0.7561231786895504,0.7607459200388279,0.8306740277862039,1653,735
XGBoost,0.7531358065886065,0.7537414965986394,0.750160099609188,0.7489818295739348,0.7531358065886065,0.8264575623369533,1653,735
LightGBM,0.75302963659528,0.7551020408163265,0.750941265060241,0.7497903783670474,0.75302963659528,0.8198446884669055,1653,735
