segment_type,segment_name,n_samples,n_tickers,model,ba_config_a,ba_config_b,ba_config_c,delta_ca,note
sector,Banking,425,25,LightGBM,0.6722990271377368,0.5190732206861239,0.6475934459805428,-0.024705581157194012,
sector,Banking,425,25,Random_Forest,0.7359190988223246,0.4943676395289298,0.6306963645673322,-0.1052227342549924,
sector,Banking,425,25,XGBoost,0.6482334869431643,0.5190732206861239,0.615847414234511,-0.032386072708653346,
sector,Banking,425,25,Logistic_Regression,0.6479774705581157,0.48630312339989756,0.631336405529954,-0.01664106502816176,
sector,Consumer,170,10,LightGBM,0.78,0.5,0.72,-0.06000000000000005,
sector,Consumer,170,10,Random_Forest,0.78,0.6,0.78,0.0,
sector,Consumer,170,10,XGBoost,0.78,0.5,0.72,-0.06000000000000005,
sector,Consumer,170,10,Logistic_Regression,0.8200000000000001,0.46,0.78,-0.040000000000000036,
sector,Energy,131,8,LightGBM,0.8,0.4,0.775,-0.025000000000000022,
sector,Energy,131,8,Random_Forest,0.8,0.5,0.75,-0.050000000000000044,
sector,Energy,131,8,XGBoost,0.7749999999999999,0.425,0.7749999999999999,0.0,
sector,Energy,131,8,Logistic_Regression,0.775,0.5,0.75,-0.025000000000000022,
sector,Industrial,168,10,LightGBM,0.6912972085385878,0.4811165845648604,0.7085385878489326,0.017241379310344862,
sector,Industrial,168,10,Random_Forest,0.7799671592775042,0.6436781609195402,0.5919540229885057,-0.1880131362889984,
sector,Industrial,168,10,XGBoost,0.7257799671592775,0.6502463054187192,0.7085385878489326,-0.017241379310344862,
sector,Industrial,168,10,Logistic_Regression,0.8054187192118227,0.458128078817734,0.6543513957307061,-0.15106732348111662,
sector,RealEstate,220,13,LightGBM,0.77988614800759,0.5199240986717267,0.7623339658444023,-0.01755218216318777,
sector,RealEstate,220,13,Random_Forest,0.7827324478178368,0.6138519924098672,0.8282732447817837,0.04554079696394686,
sector,RealEstate,220,13,XGBoost,0.77988614800759,0.5317836812144212,0.747628083491461,-0.032258064516129004,
sector,RealEstate,220,13,Logistic_Regression,0.6461100569259962,0.5493358633776091,0.6755218216318786,0.02941176470588236,
sector,Securities,101,6,LightGBM,0.625,0.425,0.6,-0.025000000000000022,
sector,Securities,101,6,Random_Forest,0.675,0.625,0.6000000000000001,-0.07499999999999996,
sector,Securities,101,6,XGBoost,0.625,0.475,0.6,-0.025000000000000022,
sector,Securities,101,6,Logistic_Regression,0.7250000000000001,0.475,0.75,0.02499999999999991,
sector,Technology,51,3,LightGBM,0.5,0.5,0.5,0.0,
sector,Technology,51,3,Random_Forest,0.8333333333333333,0.5416666666666666,0.5833333333333333,-0.25,
sector,Technology,51,3,XGBoost,0.875,0.25,0.875,0.0,
sector,Technology,51,3,Logistic_Regression,0.7916666666666666,0.5,0.9583333333333333,0.16666666666666663,
sector,Transport,82,5,LightGBM,0.5584415584415584,0.48051948051948057,0.487012987012987,-0.0714285714285714,
sector,Transport,82,5,Random_Forest,0.5941558441558441,0.5876623376623377,0.6396103896103896,0.045454545454545525,
sector,Transport,82,5,XGBoost,0.538961038961039,0.5974025974025974,0.6753246753246753,0.13636363636363635,
sector,Transport,82,5,Logistic_Regression,0.6136363636363636,0.5162337662337663,0.6688311688311688,0.05519480519480513,
cap_group,large_cap,510,30,LightGBM,0.7234801212337314,0.5087359600641825,0.7305223747548583,0.007042253521126862,
cap_group,large_cap,510,30,Random_Forest,0.7635942235692637,0.6036726689249421,0.7219646995899447,-0.04162952397931896,
cap_group,large_cap,510,30,XGBoost,0.7249064004278838,0.5524157603850954,0.7150115885184525,-0.009894811909431311,
cap_group,large_cap,510,30,Logistic_Regression,0.7249064004278838,0.5361918345516135,0.6825637368514887,-0.042342663576395045,
cap_group,mid_cap,838,50,LightGBM,0.7146931103765637,0.4806533151856893,0.7210123792857606,0.0063192689091968735,
cap_group,mid_cap,838,50,Random_Forest,0.7300213882947696,0.4600427765895392,0.6706526670555447,-0.059368721239224875,
cap_group,mid_cap,838,50,XGBoost,0.7246095015879188,0.4879123728044591,0.7318037461922353,0.007194244604316502,
cap_group,mid_cap,838,50,Logistic_Regression,0.7047767191652083,0.48966232419469824,0.6759673342407155,-0.02880938492449281,
