keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any,subgroup,subgroup_n
lợi nhuận giảm,negative,7,0,1.3123028391167193,1.0,1.0,fisher_exact,50705.5,0.7246098999387101,0.9035415269568388,,,,,,False,False,False,False,news_count>=15,636
thua lỗ,negative,3,0,0.4890625,0.6208887078806238,1.0,fisher_exact,50393.0,0.5508609342387951,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
lỗ ròng,negative,3,0,1.968652037617555,1.0,1.0,fisher_exact,50712.0,0.5754109730051649,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
sụt giảm,negative,11,0,0.3326621968685522,0.5640956790951398,1.0,chi_square,51024.0,0.3730840522458626,0.7180914250449922,,,,,,False,False,False,False,news_count>=15,636
báo lỗ,negative,4,0,2.9622641509433962,0.6238832678499713,1.0,fisher_exact,50870.0,0.3253635775668823,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lỗ lớn,negative,1,0,0.0,0.49528301886792453,1.0,fisher_exact,50397.0,0.31425488672528257,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lỗ kỷ lục,negative,1,0,inf,1.0,1.0,fisher_exact,50715.0,0.3234145728107669,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lỗ lũy kế,negative,2,0,0.98125,1.0,1.0,fisher_exact,50554.0,0.9893463773315961,0.9928974676361426,,,,,,False,False,False,False,news_count>=15,636
lao dốc,negative,6,0,4.968354430379747,0.21665768781563044,1.0,fisher_exact,51183.0,0.10714631774179958,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
giảm sâu,negative,13,0,0.0,1.0,1.0,chi_square,50685.0,0.8230306579105733,0.9365521279672041,,,,,,False,False,False,False,news_count>=15,636
giảm mạnh,negative,25,0,1.3835193591455275,0.23950258095457896,1.0,chi_square,51600.5,0.18137627032317438,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
tụt dốc,negative,1,0,0.0,0.49528301886792453,1.0,fisher_exact,50397.0,0.31425488672528257,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
không chia cổ tức,negative,5,0,inf,0.06157353093916745,0.6773088403308419,fisher_exact,51345.0,0.026374789785202798,0.29012268763723076,,,,,,False,False,False,False,news_count>=15,636
nợ xấu,negative,47,0,5.560478904623375,0.018370388268164502,0.404148541899619,chi_square,53195.5,0.01207385776062144,0.2465328725660489,,,,,,False,False,False,False,news_count>=15,636
nợ vay tăng,negative,2,0,0.0,0.24491160303075318,1.0,fisher_exact,50236.5,0.15371918022971526,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
đóng cửa,negative,13,0,0.0,1.0,1.0,chi_square,50697.0,0.806626105124847,0.9339881217235071,,,,,,False,False,False,False,news_count>=15,636
bị phạt,negative,7,0,0.7334905660377359,0.7227225178630926,1.0,fisher_exact,50391.0,0.6917423126023219,0.8980109365127421,,,,,,False,False,False,False,news_count>=15,636
vi phạm,negative,42,0,0.04970175615480477,0.8235830550824179,1.0,chi_square,50164.5,0.6939175418507553,0.8980109365127421,,,,,,False,False,False,False,news_count>=15,636
bị thanh tra,negative,1,0,0.0,0.49528301886792453,1.0,fisher_exact,50397.0,0.31425488672528257,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
bị kiểm toán từ chối,negative,1,0,inf,1.0,1.0,fisher_exact,50715.0,0.3234145728107669,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
cảnh báo,negative,14,0,0.0550226208823522,0.8145432642102206,1.0,chi_square,50861.5,0.6062499355134083,0.8698368639974988,,,,,,False,False,False,False,news_count>=15,636
đình chỉ,negative,3,0,0.4890625,0.6208887078806238,1.0,fisher_exact,50395.0,0.5557294641231338,0.8439360937409085,,,,,,False,False,False,False,news_count>=15,636
khởi tố,negative,2,0,0.98125,1.0,1.0,fisher_exact,50554.0,0.9893463773315961,0.9928974676361426,,,,,,False,False,False,False,news_count>=15,636
điều tra,negative,1,0,inf,1.0,1.0,fisher_exact,50715.0,0.3234145728107669,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
đại hội cổ đông,neutral,24,0,5.026359910527038,0.024964314132697098,0.4119111831895021,chi_square,52419.5,0.014941386216124175,0.2465328725660489,,,,,,False,False,False,False,news_count>=15,636
họp HĐQT,neutral,1,0,0.0,0.49528301886792453,1.0,fisher_exact,50397.0,0.31425488672528257,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
thay CEO,neutral,2,0,inf,0.49925716832565736,1.0,fisher_exact,50872.5,0.16156978031222058,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
sáp nhập,neutral,10,0,0.9810126582278481,1.0,1.0,fisher_exact,50532.0,0.9600605129507409,0.9928974676361426,,,,,,False,False,False,False,news_count>=15,636
mua lại,neutral,83,0,1.1772533708786685,0.2779158647652788,1.0,chi_square,52333.5,0.19045634333485206,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
niêm yết thêm,neutral,1,0,inf,1.0,1.0,fisher_exact,50715.0,0.3234145728107669,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
thoái vốn,neutral,27,0,2.320541268631441,0.12767559235216588,0.9362876772492166,chi_square,51944.5,0.08667967705246196,0.6507271551337646,,,,,,False,False,False,False,news_count>=15,636
lợi nhuận sau thuế tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
lợi nhuận cải thiện,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
phát hành thưởng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
cải thiện tài chính,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
dòng tiền dương,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
tiền mặt dồi dào,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
đầu tư mới,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
xuất khẩu tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
doanh thu giảm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
lợi nhuận âm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
dưới kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
kết quả tiêu cực,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
lợi nhuận thấp hơn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
lỗ nặng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
kinh doanh sa sút,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
