variant,horizon,model,Config_A,Config_Hybrid,Config_LLM,delta_hybrid_minus_A,delta_llm_minus_A
focused_material,10d,Logistic_Regression,0.4485981308411215,0.5357757009345794,0.5311028037383178,0.08717757009345789,0.08250467289719626
focused_direct_material,10d,Logistic_Regression,0.4485981308411215,0.5166355140186916,0.5119626168224299,0.06803738317757008,0.06336448598130845
focused_direct_material_lag1,20d,Random_Forest,0.523343221195982,0.5813051978696151,0.4379171442054878,0.05796197667363312,-0.0854260769904942
focused_direct_material,20d,Random_Forest,0.523343221195982,0.5804119193689745,0.44123744353805705,0.05706869817299254,-0.08210577765792493
focused_material_lag1,10d,Logistic_Regression,0.4485981308411215,0.4930591900311526,0.5152897196261682,0.04446105919003113,0.06669158878504672
focused_material,20d,Random_Forest,0.523343221195982,0.5653020292590845,0.461909256387784,0.04195880806310248,-0.06143396480819796
focused_material_lag1,20d,Random_Forest,0.523343221195982,0.5633806377671409,0.4613362098024675,0.04003741657115889,-0.0620070113935145
focused_direct_material_lag1,10d,Logistic_Regression,0.4485981308411215,0.4861557632398754,0.49838006230529597,0.037557632398753926,0.04978193146417448
focused_material,10d,Random_Forest,0.5221931464174455,0.5504423676012461,0.5343302180685359,0.028249221183800577,0.012137071651090348
focused_material_lag1,10d,Random_Forest,0.5221931464174455,0.5435264797507788,0.5140934579439252,0.021333333333333315,-0.008099688473520272
focused_direct_material,10d,Random_Forest,0.5221931464174455,0.5430903426791277,0.5269906542056074,0.020897196261682183,0.004797507788161903
focused_material,5d,Logistic_Regression,0.5025445292620865,0.5214788205358479,0.5272913236541437,0.01893429127376145,0.02474679439205718
focused_direct_material_lag1,10d,Random_Forest,0.5221931464174455,0.5390654205607477,0.5154143302180685,0.01687227414330217,-0.006778816199377036
focused_material_lag1,20d,Logistic_Regression,0.49790163823906153,0.5060759792354884,0.48497438144677407,0.008174340996426888,-0.012927256792287456
focused_direct_material,5d,Logistic_Regression,0.5025445292620865,0.5093174674449933,0.519133862196278,0.006772938182906807,0.016589332934191514
focused_material,20d,Logistic_Regression,0.49790163823906153,0.5005814737409829,0.48222712869952133,0.0026798355019214126,-0.015674509539540193
focused_material_lag1,5d,Logistic_Regression,0.5025445292620865,0.5043905602953649,0.5287257396597316,0.0018460310332784058,0.026181210397645094
focused_material,5d,Random_Forest,0.5365588983685077,0.5378062166342363,0.5077458464301751,0.0012473182657286586,-0.028813051938332612
focused_direct_material_lag1,5d,Logistic_Regression,0.5025445292620865,0.5020331287731378,0.5169385820485956,-0.00051140048894871,0.01439405278650907
focused_direct_material_lag1,1d,Random_Forest,0.5254027516221084,0.5244529239068758,0.5038897706433335,-0.000949827715232554,-0.021512980978774854
focused_direct_material_lag1,20d,Logistic_Regression,0.49790163823906153,0.4968735252477584,0.47059765387986247,-0.0010281129913031206,-0.027303984359199063
focused_direct_material_lag1,5d,Random_Forest,0.5365588983685077,0.5345507159606845,0.4939255600459013,-0.002008182407823189,-0.04263333832260635
focused_material,1d,Random_Forest,0.5254027516221084,0.5225532684764106,0.5038527643687141,-0.002849483145697773,-0.021549987253394298
focused_direct_material,1d,Logistic_Regression,0.5151067836613186,0.5081989457323541,0.49193263213295946,-0.006907837928964433,-0.02317415152835911
focused_direct_material,5d,Random_Forest,0.5365588983685077,0.5283764905453275,0.5048395948710273,-0.008182407823180138,-0.03171930349748042
focused_material_lag1,1d,Random_Forest,0.5254027516221084,0.5164883512471115,0.49069908964564435,-0.008914400374996911,-0.03470366197646402
focused_direct_material,20d,Logistic_Regression,0.49790163823906153,0.4884716510483381,0.4635694060540686,-0.00942998719072341,-0.03433223218499293
focused_material_lag1,5d,Random_Forest,0.5365588983685077,0.5236366811355586,0.4608716260040912,-0.012922217232949063,-0.07568727236441647
focused_material,1d,Logistic_Regression,0.5151067836613186,0.5008552561245385,0.5061471533951201,-0.014251527536780051,-0.008959630266198504
focused_direct_material_lag1,1d,Logistic_Regression,0.5151067836613186,0.49241371370301235,0.492224570521624,-0.022693069958306222,-0.022882213139694574
focused_material_lag1,1d,Logistic_Regression,0.5151067836613186,0.4878454946916555,0.49547701087984475,-0.027261288969663067,-0.01962977278147382
focused_direct_material,1d,Random_Forest,0.5254027516221084,0.48020575488688416,0.5070681984523153,-0.045196996735224204,-0.018334553169793044
