variant,ticker,horizon,model,Config_A,Config_Hybrid,Config_LLM,delta_hybrid_minus_A
material_lag1_per_ticker,SSI,10d,Random_Forest,0.4369047619047619,0.5997023809523809,0.4738095238095238,0.16279761904761902
direct_material_lag1_per_ticker,SSI,10d,Random_Forest,0.4369047619047619,0.5997023809523809,0.4738095238095238,0.16279761904761902
material_events_only_per_ticker,SSI,10d,Random_Forest,0.4369047619047619,0.5979166666666667,0.5223214285714286,0.16101190476190474
direct_material_only_per_ticker,SSI,10d,Random_Forest,0.4369047619047619,0.5979166666666667,0.5223214285714286,0.16101190476190474
direct_only_per_ticker,SSI,10d,Random_Forest,0.4369047619047619,0.5318452380952381,0.5232142857142857,0.09494047619047619
direct_only_per_ticker,FPT,1d,Random_Forest,0.5072240198660547,0.5956806381217549,0.5218225600120401,0.08845661825570017
relevant_non_irrelevant_per_ticker,SSI,10d,Random_Forest,0.4369047619047619,0.519047619047619,0.5232142857142857,0.08214285714285707
relevant_lag1_per_ticker,SSI,10d,Random_Forest,0.4369047619047619,0.5154761904761905,0.518154761904762,0.07857142857142863
direct_lag1_per_ticker,SSI,20d,Logistic_Regression,0.5435590264614452,0.6213890363181439,0.5404503753127606,0.07783000985669875
relevant_non_irrelevant_per_ticker,SSI,20d,Logistic_Regression,0.5435590264614452,0.6163090454166351,0.5285086056562287,0.07275001895518995
direct_material_lag1_per_ticker,VCB,10d,Logistic_Regression,0.5321691176470589,0.6041666666666666,0.6182598039215685,0.07199754901960775
direct_lag1_per_ticker,SSI,10d,Random_Forest,0.4369047619047619,0.5080357142857143,0.5056547619047619,0.07113095238095235
direct_only_per_ticker,SSI,20d,Random_Forest,0.4935173250435969,0.5605049662597619,0.47937675335506863,0.06698764121616496
relevant_lag1_per_ticker,SSI,20d,Logistic_Regression,0.5435590264614452,0.6103571157783001,0.5445826067177193,0.06679808931685494
direct_material_lag1_per_ticker,VCB,10d,Random_Forest,0.5248161764705883,0.5909926470588236,0.5873161764705883,0.06617647058823528
relevant_non_irrelevant_per_ticker,HPG,5d,Logistic_Regression,0.5,0.5651549508692366,0.4922146636432351,0.06515495086923662
material_lag1_per_ticker,HPG,10d,Random_Forest,0.5190476190476191,0.5827896512935883,0.505811773528309,0.0637420322459692
direct_material_only_per_ticker,VCB,10d,Random_Forest,0.5248161764705883,0.5885416666666666,0.6001838235294117,0.06372549019607832
material_events_only_per_ticker,HPG,5d,Random_Forest,0.5571806500377929,0.6174981103552533,0.5575585789871504,0.060317460317460325
relevant_non_irrelevant_per_ticker,VCB,10d,Logistic_Regression,0.5321691176470589,0.5922181372549019,0.5459558823529411,0.060049019607843035
direct_only_per_ticker,VCB,10d,Logistic_Regression,0.5321691176470589,0.5916053921568628,0.5940563725490197,0.05943627450980393
relevant_lag1_per_ticker,SSI,20d,Random_Forest,0.4935173250435969,0.5513685647130184,0.5110319205398438,0.05785123966942152
direct_material_only_per_ticker,VCB,10d,Logistic_Regression,0.5321691176470589,0.5885416666666666,0.6219362745098039,0.056372549019607754
direct_material_lag1_per_ticker,VCB,20d,Random_Forest,0.6452205882352942,0.69921875,0.6034773284313726,0.05399816176470584
direct_material_lag1_per_ticker,HPG,10d,Random_Forest,0.5190476190476191,0.5724409448818898,0.48263967004124486,0.0533933258342707
material_events_only_per_ticker,HPG,20d,Random_Forest,0.5478260869565218,0.6,0.4826086956521739,0.05217391304347818
direct_only_per_ticker,SSI,20d,Logistic_Regression,0.5435590264614452,0.5956478883918417,0.5335506861778755,0.052088861930396524
material_events_only_per_ticker,HPG,10d,Random_Forest,0.5190476190476191,0.5691413573303338,0.5250468691413573,0.050093738282714684
direct_only_per_ticker,HPG,5d,Logistic_Regression,0.5,0.549848828420257,0.4625850340136054,0.04984882842025695
relevant_non_irrelevant_per_ticker,SSI,20d,Random_Forest,0.4935173250435969,0.5417014178482068,0.5165668359996968,0.04818409280460989
direct_material_lag1_per_ticker,VCB,20d,Logistic_Regression,0.6482843137254902,0.6963848039215687,0.6269148284313726,0.04810049019607843
material_lag1_per_ticker,VCB,10d,Random_Forest,0.5248161764705883,0.5713848039215687,0.5024509803921569,0.04656862745098034
direct_material_only_per_ticker,HPG,10d,Random_Forest,0.5190476190476191,0.5643794525684289,0.5161604799400075,0.04533183352080983
material_events_only_per_ticker,HPG,10d,Logistic_Regression,0.5,0.5450693663292088,0.5437945256842894,0.04506936632920877
direct_material_only_per_ticker,VCB,20d,Random_Forest,0.6452205882352942,0.6884191176470589,0.6112898284313726,0.04319852941176472
material_events_only_per_ticker,VCB,10d,Random_Forest,0.5248161764705883,0.5652573529411764,0.5343137254901961,0.04044117647058809
direct_material_only_per_ticker,HPG,20d,Random_Forest,0.5478260869565218,0.5869565217391305,0.4739130434782609,0.03913043478260869
material_events_only_per_ticker,SSI,20d,Random_Forest,0.4935173250435969,0.5311623322465691,0.5506861778755023,0.03764500720297215
direct_material_only_per_ticker,SSI,20d,Random_Forest,0.4935173250435969,0.5311623322465691,0.5506861778755023,0.03764500720297215
relevant_non_irrelevant_per_ticker,FPT,1d,Random_Forest,0.5072240198660547,0.5445857476108059,0.508729024004816,0.037361727744751216
direct_material_only_per_ticker,VNM,1d,Random_Forest,0.5095238095238095,0.5461794019933555,0.4593576965669989,0.03665559246954597
material_events_only_per_ticker,VNM,1d,Random_Forest,0.5095238095238095,0.5461794019933555,0.4593576965669989,0.03665559246954597
direct_lag1_per_ticker,VCB,10d,Logistic_Regression,0.5321691176470589,0.5686274509803921,0.6050857843137255,0.03645833333333326
direct_only_per_ticker,FPT,5d,Random_Forest,0.5117554858934169,0.5474529780564263,0.4417319749216301,0.03569749216300944
relevant_lag1_per_ticker,VCB,10d,Logistic_Regression,0.5321691176470589,0.5661764705882353,0.5104166666666667,0.034007352941176405
material_lag1_per_ticker,HPG,5d,Random_Forest,0.5571806500377929,0.5905895691609977,0.5825018896447468,0.03340891912320476
direct_material_lag1_per_ticker,FPT,1d,Random_Forest,0.5072240198660547,0.5398826096771766,0.49303935585822856,0.03265858981112191
direct_lag1_per_ticker,SSI,20d,Random_Forest,0.4935173250435969,0.5260823413450603,0.5064447645765411,0.032565016301463356
relevant_non_irrelevant_per_ticker,SSI,1d,Random_Forest,0.494251179245283,0.5243219339622641,0.4840064858490566,0.03007075471698112
direct_material_only_per_ticker,HPG,5d,Random_Forest,0.5571806500377929,0.586885865457294,0.5454648526077097,0.029705215419501108
relevant_non_irrelevant_per_ticker,FPT,5d,Random_Forest,0.5117554858934169,0.539537617554859,0.42123824451410663,0.027782131661442055
direct_material_lag1_per_ticker,VCB,5d,Random_Forest,0.590929501571621,0.6181709324951354,0.5156413710522376,0.027241430923514387
material_lag1_per_ticker,FPT,1d,Random_Forest,0.5072240198660547,0.5334487169839717,0.5288960794642186,0.026224697117916973
direct_material_lag1_per_ticker,HPG,20d,Logistic_Regression,0.5,0.5260869565217392,0.5,0.026086956521739202
direct_material_lag1_per_ticker,VCB,5d,Logistic_Regression,0.5707977847627601,0.5968792096991469,0.5507783265978147,0.026081424936386766
direct_material_only_per_ticker,VCB,5d,Logistic_Regression,0.5707977847627601,0.5968792096991469,0.5535099535997605,0.026081424936386766
material_lag1_per_ticker,VNM,10d,Random_Forest,0.5593220338983051,0.5853404698186143,0.4843889384478145,0.02601843592030917
direct_material_lag1_per_ticker,VNM,10d,Random_Forest,0.5593220338983051,0.5853404698186143,0.4843889384478145,0.02601843592030917
material_lag1_per_ticker,VNM,1d,Random_Forest,0.5095238095238095,0.53421926910299,0.46744186046511627,0.024695459579180512
