model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy
Majority_Class,Config_A,0.35833333333333334,0.35833333333333334,1.0,0.26380368098159507,0.5,0.5
Naive_Momentum,Config_A,0.4875,0.36496350364963503,0.5813953488372093,0.4849156357418297,0.5082301419510722,0.5082301419510722
Logistic_Regression,Config_A,0.6125,0.46534653465346537,0.5465116279069767,0.5926338267233671,0.6162035638779825,0.5979311386288131
Random_Forest,Config_A,0.6791666666666667,0.5428571428571428,0.6627906976744186,0.665211326292143,0.7237617034128663,0.6755511929930534
XGBoost,Config_A,0.6458333333333334,0.5046728971962616,0.627906976744186,0.6317091224206098,0.7197976442162489,0.641875566294171
LightGBM,Config_A,0.65,0.5098039215686274,0.6046511627906976,0.6327601282424948,0.7097553609181516,0.6399879190576865
Majority_Class,Config_B,0.35833333333333334,0.35833333333333334,1.0,0.26380368098159507,0.5,0.5
Naive_Momentum,Config_B,0.4875,0.36496350364963503,0.5813953488372093,0.4849156357418297,0.5082301419510722,0.5082301419510722
Logistic_Regression,Config_B,0.6541666666666667,1.0,0.03488372093023256,0.4275697577516595,0.5031334944125642,0.5174418604651163
Random_Forest,Config_B,0.3541666666666667,0.35319148936170214,0.9651162790697675,0.27114559454534765,0.5087964361220175,0.48905164602839024
XGBoost,Config_B,0.3625,0.35864978902953587,0.9883720930232558,0.2758967482400268,0.531674720628209,0.5006795530051343
LightGBM,Config_B,0.6583333333333333,0.75,0.06976744186046512,0.45761217065373166,0.5255964965267289,0.5283902144367261
Majority_Class,Config_C,0.35833333333333334,0.35833333333333334,1.0,0.26380368098159507,0.5,0.5
Naive_Momentum,Config_C,0.4875,0.36496350364963503,0.5813953488372093,0.4849156357418297,0.5082301419510722,0.5082301419510722
Logistic_Regression,Config_C,0.6291666666666667,0.4835164835164835,0.5116279069767442,0.601722884152822,0.6190727876774389,0.6032165508909695
Random_Forest,Config_C,0.6708333333333333,0.5321100917431193,0.6744186046511628,0.6588394062078273,0.7238749622470553,0.6716248867411658
XGBoost,Config_C,0.6625,0.5247524752475248,0.6162790697674418,0.645197203920352,0.7188915735427363,0.6522953790395651
LightGBM,Config_C,0.6541666666666667,0.5148514851485149,0.6046511627906976,0.6364366410541877,0.7115675022651766,0.6432346723044398
